 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 11 	       28.419 	       27.560 	   0.88188 	   0.88154 	    0.009022 	     0.009038 	     0.018061 
200 	 11 	       29.106 	       28.044 	   0.88832 	   0.88806 	    0.009597 	     0.009601 	     0.019198 
300 	 11 	       30.824 	       29.706 	   0.89815 	   0.89799 	    0.010226 	     0.010222 	     0.020449 
400 	 11 	       28.298 	       27.427 	   0.89714 	   0.89733 	    0.008764 	     0.008741 	     0.017505 
500 	 11 	       29.205 	       28.428 	   0.89189 	   0.89196 	    0.009006 	     0.008995 	     0.018001 
600 	 11 	       28.813 	       28.009 	   0.88835 	   0.88853 	    0.008880 	     0.008861 	     0.017741 
700 	 11 	       28.235 	       27.481 	   0.88995 	   0.89008 	    0.008696 	     0.008679 	     0.017375 
800 	 11 	       28.010 	       27.252 	   0.89069 	   0.89074 	    0.008724 	     0.008714 	     0.017438 
900 	 11 	       27.609 	       26.758 	   0.89201 	   0.89194 	    0.008974 	     0.008973 	     0.017947 
1000 	 11 	       26.335 	       25.418 	   0.90004 	   0.90000 	    0.008446 	     0.008440 	     0.016886 
1100 	 11 	       24.629 	       23.691 	   0.90863 	   0.90868 	    0.007191 	     0.007178 	     0.014369 
1200 	 11 	       23.681 	       22.788 	   0.91404 	   0.91400 	    0.006537 	     0.006531 	     0.013068 
1300 	 11 	       23.303 	       22.418 	   0.91816 	   0.91807 	    0.006263 	     0.006261 	     0.012523 
1400 	 11 	       23.204 	       22.307 	   0.92007 	   0.91996 	    0.006165 	     0.006165 	     0.012330 
1500 	 11 	       23.153 	       22.264 	   0.92137 	   0.92123 	    0.006090 	     0.006094 	     0.012184 
1600 	 11 	       23.133 	       22.253 	   0.92233 	   0.92216 	    0.006036 	     0.006042 	     0.012077 
1700 	 11 	       23.149 	       22.278 	   0.92311 	   0.92292 	    0.006002 	     0.006009 	     0.012011 
1800 	 11 	       23.187 	       22.321 	   0.92376 	   0.92356 	    0.005983 	     0.005991 	     0.011975 
1900 	 11 	       23.233 	       22.372 	   0.92433 	   0.92413 	    0.005974 	     0.005983 	     0.011956 
2000 	 11 	       23.681 	       22.817 	   0.92579 	   0.92559 	    0.006096 	     0.006106 	     0.012202 
2100 	 11 	       23.145 	       22.313 	   0.92861 	   0.92848 	    0.005861 	     0.005866 	     0.011727 
2200 	 11 	       22.946 	       22.163 	   0.92934 	   0.92921 	    0.005735 	     0.005739 	     0.011473 
2300 	 11 	       22.770 	       22.036 	   0.92990 	   0.92978 	    0.005631 	     0.005635 	     0.011266 
2400 	 11 	       22.608 	       21.917 	   0.93047 	   0.93035 	    0.005534 	     0.005538 	     0.011073 
2500 	 11 	       22.455 	       21.813 	   0.93114 	   0.93101 	    0.005436 	     0.005440 	     0.010876 
2600 	 11 	       22.303 	       21.709 	   0.93199 	   0.93187 	    0.005326 	     0.005329 	     0.010655 
2700 	 11 	       22.141 	       21.599 	   0.93312 	   0.93299 	    0.005191 	     0.005195 	     0.010386 
2800 	 11 	       21.982 	       21.485 	   0.93439 	   0.93426 	    0.005039 	     0.005043 	     0.010082 
2900 	 11 	       21.837 	       21.368 	   0.93542 	   0.93529 	    0.004904 	     0.004908 	     0.009811 
3000 	 11 	       21.725 	       21.274 	   0.93642 	   0.93630 	    0.004836 	     0.004840 	     0.009676 
3100 	 11 	       21.117 	       20.667 	   0.93928 	   0.93920 	    0.004556 	     0.004556 	     0.009113 
3200 	 11 	       20.836 	       20.390 	   0.93974 	   0.93968 	    0.004466 	     0.004464 	     0.008930 
3300 	 11 	       20.596 	       20.149 	   0.93993 	   0.93988 	    0.004408 	     0.004405 	     0.008813 
3400 	 11 	       20.386 	       19.936 	   0.94006 	   0.94002 	    0.004365 	     0.004361 	     0.008726 
3500 	 11 	       20.227 	       19.775 	   0.94021 	   0.94018 	    0.004332 	     0.004327 	     0.008660 
3600 	 11 	       20.122 	       19.660 	   0.94043 	   0.94041 	    0.004304 	     0.004298 	     0.008602 
3700 	 11 	       20.058 	       19.585 	   0.94072 	   0.94072 	    0.004277 	     0.004269 	     0.008546 
3800 	 11 	       20.018 	       19.530 	   0.94111 	   0.94111 	    0.004247 	     0.004239 	     0.008485 
3900 	 11 	       19.995 	       19.494 	   0.94157 	   0.94158 	    0.004213 	     0.004204 	     0.008417 
4000 	 11 	       20.020 	       19.501 	   0.94243 	   0.94244 	    0.004181 	     0.004172 	     0.008353 
4100 	 11 	       19.724 	       19.208 	   0.94450 	   0.94454 	    0.004028 	     0.004018 	     0.008046 
4200 	 11 	       19.691 	       19.165 	   0.94531 	   0.94534 	    0.003972 	     0.003963 	     0.007935 
4300 	 11 	       19.663 	       19.131 	   0.94600 	   0.94604 	    0.003925 	     0.003916 	     0.007841 
4400 	 11 	       19.637 	       19.103 	   0.94663 	   0.94668 	    0.003883 	     0.003873 	     0.007756 
4500 	 11 	       19.613 	       19.076 	   0.94721 	   0.94725 	    0.003845 	     0.003835 	     0.007680 
4600 	 11 	       19.590 	       19.052 	   0.94772 	   0.94777 	    0.003811 	     0.003801 	     0.007612 
4700 	 11 	       19.568 	       19.030 	   0.94817 	   0.94822 	    0.003780 	     0.003771 	     0.007551 
4800 	 11 	       19.547 	       19.009 	   0.94857 	   0.94862 	    0.003754 	     0.003744 	     0.007498 
4900 	 11 	       19.529 	       18.990 	   0.94892 	   0.94897 	    0.003730 	     0.003721 	     0.007451 
5000 	 11 	       19.566 	       19.035 	   0.94945 	   0.94949 	    0.003729 	     0.003721 	     0.007450 
5100 	 11 	       19.353 	       18.826 	   0.95080 	   0.95085 	    0.003633 	     0.003624 	     0.007257 
5200 	 11 	       19.325 	       18.801 	   0.95127 	   0.95131 	    0.003602 	     0.003594 	     0.007196 
5300 	 11 	       19.293 	       18.773 	   0.95160 	   0.95164 	    0.003579 	     0.003571 	     0.007150 
5400 	 11 	       19.261 	       18.743 	   0.95186 	   0.95189 	    0.003560 	     0.003553 	     0.007113 
5500 	 11 	       19.231 	       18.717 	   0.95208 	   0.95211 	    0.003544 	     0.003537 	     0.007082 
5600 	 11 	       19.205 	       18.696 	   0.95227 	   0.95230 	    0.003531 	     0.003523 	     0.007054 
5700 	 11 	       19.184 	       18.680 	   0.95244 	   0.95247 	    0.003518 	     0.003511 	     0.007030 
5800 	 11 	       19.170 	       18.670 	   0.95260 	   0.95263 	    0.003508 	     0.003501 	     0.007008 
5900 	 11 	       19.162 	       18.665 	   0.95274 	   0.95277 	    0.003498 	     0.003491 	     0.006989 
6000 	 11 	       19.264 	       18.778 	   0.95306 	   0.95308 	    0.003523 	     0.003517 	     0.007040 
6100 	 11 	       19.081 	       18.601 	   0.95406 	   0.95410 	    0.003453 	     0.003447 	     0.006899 
6200 	 11 	       19.077 	       18.599 	   0.95432 	   0.95435 	    0.003438 	     0.003432 	     0.006871 
6300 	 11 	       19.072 	       18.596 	   0.95449 	   0.95452 	    0.003428 	     0.003422 	     0.006851 
6400 	 11 	       19.066 	       18.592 	   0.95462 	   0.95466 	    0.003420 	     0.003414 	     0.006835 
6500 	 11 	       19.061 	       18.587 	   0.95474 	   0.95478 	    0.003413 	     0.003407 	     0.006821 
6600 	 11 	       19.056 	       18.584 	   0.95486 	   0.95490 	    0.003407 	     0.003401 	     0.006808 
6700 	 11 	       19.053 	       18.583 	   0.95497 	   0.95501 	    0.003402 	     0.003395 	     0.006797 
6800 	 11 	       19.051 	       18.583 	   0.95507 	   0.95511 	    0.003397 	     0.003390 	     0.006787 
6900 	 11 	       19.050 	       18.584 	   0.95517 	   0.95521 	    0.003392 	     0.003386 	     0.006779 
7000 	 11 	       19.168 	       18.705 	   0.95537 	   0.95541 	    0.003431 	     0.003426 	     0.006857 
7100 	 11 	       19.003 	       18.543 	   0.95617 	   0.95622 	    0.003371 	     0.003364 	     0.006735 
