 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 9 	       26.850 	        0.000 	   0.88509 	   0.00000 	    0.009290 	    -1.#IND00 	    -1.#IND00 
200 	 9 	       26.041 	        0.000 	   0.89373 	   0.00000 	    0.008518 	    -1.#IND00 	    -1.#IND00 
300 	 9 	       27.751 	        0.000 	   0.89425 	   0.00000 	    0.009405 	    -1.#IND00 	    -1.#IND00 
400 	 9 	       29.085 	        0.000 	   0.89414 	   0.00000 	    0.009768 	    -1.#IND00 	    -1.#IND00 
500 	 9 	       35.948 	        0.000 	   0.88353 	   0.00000 	    0.014873 	    -1.#IND00 	    -1.#IND00 
600 	 9 	       33.566 	        0.000 	   0.88938 	   0.00000 	    0.013623 	    -1.#IND00 	    -1.#IND00 
700 	 9 	       32.811 	        0.000 	   0.89596 	   0.00000 	    0.012904 	    -1.#IND00 	    -1.#IND00 
800 	 9 	       32.795 	        0.000 	   0.90433 	   0.00000 	    0.012182 	    -1.#IND00 	    -1.#IND00 
900 	 9 	       35.140 	        0.000 	   0.90603 	   0.00000 	    0.013631 	    -1.#IND00 	    -1.#IND00 
1000 	 9 	       33.751 	        0.000 	   0.91179 	   0.00000 	    0.012416 	    -1.#IND00 	    -1.#IND00 
1100 	 9 	       25.786 	        0.000 	   0.92962 	   0.00000 	    0.007032 	    -1.#IND00 	    -1.#IND00 
1200 	 9 	       24.790 	        0.000 	   0.93441 	   0.00000 	    0.006044 	    -1.#IND00 	    -1.#IND00 
1300 	 9 	       24.573 	        0.000 	   0.93632 	   0.00000 	    0.005709 	    -1.#IND00 	    -1.#IND00 
1400 	 9 	       24.485 	        0.000 	   0.93711 	   0.00000 	    0.005600 	    -1.#IND00 	    -1.#IND00 
1500 	 9 	       24.473 	        0.000 	   0.93781 	   0.00000 	    0.005564 	    -1.#IND00 	    -1.#IND00 
1600 	 9 	       24.553 	        0.000 	   0.93853 	   0.00000 	    0.005599 	    -1.#IND00 	    -1.#IND00 
