 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 6 	       27.429 	       26.486 	   0.88711 	   0.88724 	    0.008223 	     0.008205 	     0.016428 
200 	 6 	       29.097 	       28.102 	   0.88746 	   0.88780 	    0.008785 	     0.008754 	     0.017539 
300 	 6 	       30.446 	       29.371 	   0.85833 	   0.85899 	    0.011038 	     0.010974 	     0.022012 
400 	 6 	       30.081 	       29.052 	   0.84592 	   0.84663 	    0.011900 	     0.011834 	     0.023734 
500 	 6 	       30.772 	       29.703 	   0.84338 	   0.84406 	    0.011994 	     0.011931 	     0.023925 
600 	 6 	       30.090 	       28.989 	   0.85845 	   0.85896 	    0.010727 	     0.010678 	     0.021405 
700 	 6 	       28.571 	       27.447 	   0.86851 	   0.86887 	    0.009873 	     0.009837 	     0.019710 
800 	 6 	       28.617 	       27.476 	   0.88424 	   0.88454 	    0.008563 	     0.008532 	     0.017095 
900 	 6 	       29.379 	       28.348 	   0.88054 	   0.88091 	    0.008820 	     0.008782 	     0.017602 
1000 	 6 	       31.114 	       30.030 	   0.88814 	   0.88851 	    0.008733 	     0.008694 	     0.017427 
1100 	 6 	       31.803 	       30.641 	   0.90545 	   0.90567 	    0.008490 	     0.008461 	     0.016951 
1200 	 6 	       31.176 	       30.010 	   0.90715 	   0.90736 	    0.008261 	     0.008234 	     0.016495 
1300 	 6 	       30.566 	       29.378 	   0.90808 	   0.90831 	    0.008004 	     0.007976 	     0.015979 
1400 	 6 	       30.109 	       28.877 	   0.90867 	   0.90893 	    0.007796 	     0.007766 	     0.015562 
1500 	 6 	       29.674 	       28.428 	   0.90930 	   0.90959 	    0.007613 	     0.007580 	     0.015193 
1600 	 6 	       29.281 	       28.020 	   0.91017 	   0.91049 	    0.007441 	     0.007407 	     0.014848 
1700 	 6 	       28.956 	       27.681 	   0.91128 	   0.91161 	    0.007288 	     0.007254 	     0.014542 
1800 	 6 	       28.734 	       27.450 	   0.91246 	   0.91279 	    0.007171 	     0.007137 	     0.014308 
1900 	 6 	       28.624 	       27.328 	   0.91363 	   0.91395 	    0.007085 	     0.007052 	     0.014136 
2000 	 6 	       29.941 	       28.594 	   0.91764 	   0.91791 	    0.007416 	     0.007386 	     0.014802 
2100 	 6 	       29.636 	       28.231 	   0.92367 	   0.92395 	    0.007224 	     0.007194 	     0.014418 
2200 	 6 	       29.667 	       28.270 	   0.92442 	   0.92467 	    0.007163 	     0.007134 	     0.014297 
2300 	 6 	       29.596 	       28.224 	   0.92444 	   0.92467 	    0.007148 	     0.007122 	     0.014270 
2400 	 6 	       29.516 	       28.169 	   0.92429 	   0.92449 	    0.007142 	     0.007117 	     0.014259 
2500 	 6 	       29.482 	       28.161 	   0.92408 	   0.92425 	    0.007139 	     0.007117 	     0.014256 
2600 	 6 	       29.517 	       28.212 	   0.92378 	   0.92392 	    0.007150 	     0.007129 	     0.014279 
2700 	 6 	       29.615 	       28.319 	   0.92336 	   0.92348 	    0.007181 	     0.007162 	     0.014344 
2800 	 6 	       29.768 	       28.477 	   0.92280 	   0.92290 	    0.007237 	     0.007220 	     0.014457 
2900 	 6 	       29.975 	       28.685 	   0.92209 	   0.92216 	    0.007316 	     0.007300 	     0.014616 
3000 	 6 	       30.834 	       29.535 	   0.92219 	   0.92223 	    0.007702 	     0.007688 	     0.015390 
3100 	 6 	       30.571 	       29.269 	   0.92195 	   0.92200 	    0.007706 	     0.007692 	     0.015399 
3200 	 6 	       30.891 	       29.608 	   0.92068 	   0.92071 	    0.007852 	     0.007841 	     0.015693 
3300 	 6 	       31.193 	       29.935 	   0.91933 	   0.91934 	    0.008010 	     0.008002 	     0.016012 
3400 	 6 	       31.495 	       30.254 	   0.91817 	   0.91814 	    0.008172 	     0.008167 	     0.016339 
3500 	 6 	       31.766 	       30.540 	   0.91739 	   0.91735 	    0.008303 	     0.008300 	     0.016602 
3600 	 6 	       31.948 	       30.740 	   0.91699 	   0.91695 	    0.008378 	     0.008376 	     0.016754 
3700 	 6 	       32.042 	       30.846 	   0.91682 	   0.91677 	    0.008405 	     0.008402 	     0.016807 
3800 	 6 	       32.064 	       30.878 	   0.91673 	   0.91670 	    0.008400 	     0.008396 	     0.016796 
3900 	 6 	       32.036 	       30.865 	   0.91671 	   0.91669 	    0.008378 	     0.008373 	     0.016750 
4000 	 6 	       32.385 	       31.227 	   0.91718 	   0.91718 	    0.008526 	     0.008519 	     0.017045 
4100 	 6 	       31.755 	       30.621 	   0.91756 	   0.91758 	    0.008342 	     0.008334 	     0.016676 
4200 	 6 	       31.688 	       30.569 	   0.91774 	   0.91777 	    0.008308 	     0.008299 	     0.016608 
4300 	 6 	       31.616 	       30.509 	   0.91790 	   0.91794 	    0.008265 	     0.008255 	     0.016520 
4400 	 6 	       31.557 	       30.462 	   0.91806 	   0.91811 	    0.008224 	     0.008214 	     0.016439 
4500 	 6 	       31.516 	       30.431 	   0.91822 	   0.91828 	    0.008190 	     0.008180 	     0.016370 
4600 	 6 	       31.491 	       30.413 	   0.91839 	   0.91845 	    0.008161 	     0.008150 	     0.016311 
4700 	 6 	       31.477 	       30.404 	   0.91857 	   0.91863 	    0.008136 	     0.008125 	     0.016261 
4800 	 6 	       31.472 	       30.403 	   0.91876 	   0.91882 	    0.008113 	     0.008102 	     0.016215 
4900 	 6 	       31.477 	       30.411 	   0.91895 	   0.91902 	    0.008092 	     0.008081 	     0.016173 
5000 	 6 	       31.826 	       30.756 	   0.91918 	   0.91925 	    0.008204 	     0.008192 	     0.016396 
5100 	 6 	       31.316 	       30.266 	   0.91969 	   0.91975 	    0.007965 	     0.007955 	     0.015921 
5200 	 6 	       31.317 	       30.272 	   0.92018 	   0.92024 	    0.007913 	     0.007903 	     0.015816 
5300 	 6 	       31.324 	       30.285 	   0.92062 	   0.92068 	    0.007868 	     0.007857 	     0.015725 
5400 	 6 	       31.340 	       30.307 	   0.92104 	   0.92110 	    0.007827 	     0.007817 	     0.015643 
5500 	 6 	       31.368 	       30.339 	   0.92144 	   0.92150 	    0.007792 	     0.007782 	     0.015574 
5600 	 6 	       31.408 	       30.383 	   0.92182 	   0.92188 	    0.007763 	     0.007753 	     0.015517 
5700 	 6 	       31.461 	       30.441 	   0.92219 	   0.92225 	    0.007741 	     0.007732 	     0.015473 
5800 	 6 	       31.525 	       30.508 	   0.92254 	   0.92260 	    0.007726 	     0.007716 	     0.015441 
5900 	 6 	       31.596 	       30.581 	   0.92288 	   0.92294 	    0.007715 	     0.007705 	     0.015420 
6000 	 6 	       31.925 	       30.903 	   0.92309 	   0.92314 	    0.007804 	     0.007794 	     0.015598 
6100 	 6 	       31.527 	       30.527 	   0.92363 	   0.92367 	    0.007563 	     0.007555 	     0.015118 
6200 	 6 	       31.576 	       30.580 	   0.92417 	   0.92421 	    0.007529 	     0.007521 	     0.015050 
6300 	 6 	       31.629 	       30.639 	   0.92462 	   0.92466 	    0.007506 	     0.007498 	     0.015004 
6400 	 6 	       31.686 	       30.701 	   0.92500 	   0.92505 	    0.007489 	     0.007480 	     0.014969 
6500 	 6 	       31.745 	       30.763 	   0.92534 	   0.92538 	    0.007476 	     0.007467 	     0.014943 
6600 	 6 	       31.806 	       30.827 	   0.92563 	   0.92568 	    0.007466 	     0.007458 	     0.014924 
6700 	 6 	       31.869 	       30.892 	   0.92590 	   0.92594 	    0.007460 	     0.007452 	     0.014912 
6800 	 6 	       31.932 	       30.956 	   0.92613 	   0.92617 	    0.007457 	     0.007449 	     0.014905 
6900 	 6 	       31.993 	       31.021 	   0.92633 	   0.92637 	    0.007455 	     0.007447 	     0.014902 
7000 	 6 	       32.170 	       31.196 	   0.92642 	   0.92646 	    0.007498 	     0.007491 	     0.014989 
7100 	 6 	       31.682 	       30.730 	   0.92697 	   0.92699 	    0.007237 	     0.007230 	     0.014467 
7200 	 6 	       31.686 	       30.740 	   0.92731 	   0.92734 	    0.007206 	     0.007200 	     0.014406 
7300 	 6 	       31.701 	       30.761 	   0.92758 	   0.92760 	    0.007186 	     0.007180 	     0.014367 
7400 	 6 	       31.719 	       30.783 	   0.92779 	   0.92781 	    0.007171 	     0.007165 	     0.014335 
7500 	 6 	       31.737 	       30.805 	   0.92798 	   0.92800 	    0.007157 	     0.007151 	     0.014309 
7600 	 6 	       31.755 	       30.827 	   0.92814 	   0.92816 	    0.007145 	     0.007140 	     0.014285 
7700 	 6 	       31.772 	       30.848 	   0.92830 	   0.92832 	    0.007135 	     0.007129 	     0.014264 
7800 	 6 	       31.789 	       30.867 	   0.92845 	   0.92846 	    0.007124 	     0.007119 	     0.014243 
7900 	 6 	       31.803 	       30.884 	   0.92860 	   0.92861 	    0.007114 	     0.007109 	     0.014222 
8000 	 6 	       31.814 	       30.894 	   0.92873 	   0.92873 	    0.007099 	     0.007094 	     0.014193 
8100 	 6 	       31.287 	       30.388 	   0.92941 	   0.92941 	    0.006826 	     0.006823 	     0.013649 
8200 	 6 	       31.234 	       30.340 	   0.92976 	   0.92976 	    0.006779 	     0.006776 	     0.013555 
8300 	 6 	       31.199 	       30.310 	   0.93005 	   0.93005 	    0.006743 	     0.006740 	     0.013483 
8400 	 6 	       31.165 	       30.280 	   0.93031 	   0.93031 	    0.006710 	     0.006707 	     0.013416 
8500 	 6 	       31.131 	       30.249 	   0.93058 	   0.93057 	    0.006676 	     0.006673 	     0.013349 
8600 	 6 	       31.095 	       30.216 	   0.93086 	   0.93085 	    0.006641 	     0.006639 	     0.013280 
8700 	 6 	       31.060 	       30.183 	   0.93115 	   0.93114 	    0.006605 	     0.006603 	     0.013208 
8800 	 6 	       31.028 	       30.152 	   0.93145 	   0.93144 	    0.006569 	     0.006567 	     0.013137 
8900 	 6 	       31.004 	       30.130 	   0.93175 	   0.93173 	    0.006538 	     0.006536 	     0.013074 
9000 	 6 	       30.908 	       30.033 	   0.93205 	   0.93203 	    0.006475 	     0.006474 	     0.012949 
9100 	 6 	       30.430 	       29.567 	   0.93288 	   0.93285 	    0.006224 	     0.006223 	     0.012447 
9200 	 6 	       30.381 	       29.521 	   0.93325 	   0.93322 	    0.006179 	     0.006179 	     0.012358 
9300 	 6 	       30.364 	       29.505 	   0.93350 	   0.93346 	    0.006154 	     0.006154 	     0.012308 
9400 	 6 	       30.357 	       29.497 	   0.93369 	   0.93365 	    0.006136 	     0.006135 	     0.012271 
9500 	 6 	       30.355 	       29.495 	   0.93385 	   0.93381 	    0.006122 	     0.006121 	     0.012243 
9600 	 6 	       30.356 	       29.496 	   0.93399 	   0.93395 	    0.006110 	     0.006110 	     0.012220 
9700 	 6 	       30.358 	       29.499 	   0.93412 	   0.93408 	    0.006101 	     0.006100 	     0.012201 
9800 	 6 	       30.362 	       29.502 	   0.93424 	   0.93420 	    0.006092 	     0.006092 	     0.012185 
9900 	 6 	       30.367 	       29.506 	   0.93436 	   0.93432 	    0.006085 	     0.006085 	     0.012171 
10000 	 6 	       30.229 	       29.366 	   0.93456 	   0.93452 	    0.006021 	     0.006020 	     0.012041 
10100 	 6 	       29.816 	       28.960 	   0.93531 	   0.93526 	    0.005813 	     0.005814 	     0.011627 
10200 	 6 	       29.772 	       28.918 	   0.93560 	   0.93555 	    0.005779 	     0.005780 	     0.011559 
10300 	 6 	       29.755 	       28.901 	   0.93580 	   0.93575 	    0.005760 	     0.005761 	     0.011521 
10400 	 6 	       29.744 	       28.889 	   0.93596 	   0.93590 	    0.005746 	     0.005746 	     0.011492 
10500 	 6 	       29.735 	       28.879 	   0.93609 	   0.93604 	    0.005734 	     0.005735 	     0.011469 
10600 	 6 	       29.729 	       28.871 	   0.93621 	   0.93616 	    0.005724 	     0.005724 	     0.011448 
10700 	 6 	       29.724 	       28.865 	   0.93633 	   0.93628 	    0.005715 	     0.005716 	     0.011431 
10800 	 6 	       29.720 	       28.860 	   0.93644 	   0.93638 	    0.005707 	     0.005708 	     0.011415 
10900 	 6 	       29.717 	       28.855 	   0.93655 	   0.93649 	    0.005700 	     0.005701 	     0.011402 
11000 	 6 	       29.538 	       28.673 	   0.93676 	   0.93670 	    0.005626 	     0.005626 	     0.011252 
11100 	 6 	       29.176 	       28.312 	   0.93750 	   0.93743 	    0.005450 	     0.005451 	     0.010901 
11200 	 6 	       29.130 	       28.265 	   0.93776 	   0.93770 	    0.005420 	     0.005421 	     0.010841 
11300 	 6 	       29.111 	       28.245 	   0.93794 	   0.93788 	    0.005403 	     0.005404 	     0.010807 
11400 	 6 	       29.097 	       28.230 	   0.93809 	   0.93802 	    0.005391 	     0.005392 	     0.010783 
11500 	 6 	       29.087 	       28.218 	   0.93821 	   0.93815 	    0.005380 	     0.005382 	     0.010762 
11600 	 6 	       29.078 	       28.207 	   0.93832 	   0.93826 	    0.005372 	     0.005373 	     0.010744 
11700 	 6 	       29.070 	       28.199 	   0.93843 	   0.93836 	    0.005364 	     0.005365 	     0.010729 
11800 	 6 	       29.065 	       28.191 	   0.93853 	   0.93846 	    0.005357 	     0.005358 	     0.010716 
11900 	 6 	       29.060 	       28.185 	   0.93863 	   0.93856 	    0.005351 	     0.005353 	     0.010704 
12000 	 6 	       28.860 	       27.980 	   0.93884 	   0.93878 	    0.005274 	     0.005276 	     0.010550 
12100 	 6 	       28.554 	       27.675 	   0.93954 	   0.93947 	    0.005128 	     0.005130 	     0.010258 
12200 	 6 	       28.511 	       27.631 	   0.93979 	   0.93972 	    0.005103 	     0.005104 	     0.010207 
12300 	 6 	       28.493 	       27.611 	   0.93995 	   0.93988 	    0.005089 	     0.005091 	     0.010181 
12400 	 6 	       28.481 	       27.597 	   0.94008 	   0.94001 	    0.005080 	     0.005082 	     0.010162 
12500 	 6 	       28.472 	       27.587 	   0.94020 	   0.94012 	    0.005073 	     0.005075 	     0.010149 
12600 	 6 	       28.466 	       27.578 	   0.94030 	   0.94023 	    0.005068 	     0.005070 	     0.010138 
