 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 8 	       60.109 	       60.876 	   0.38930 	   0.42278 	    0.012733 	     0.012512 	     0.025245 
200 	 8 	       59.192 	       60.315 	   0.41672 	   0.45532 	    0.012134 	     0.011814 	     0.023948 
300 	 8 	       58.671 	       60.078 	   0.47351 	   0.51001 	    0.010600 	     0.010294 	     0.020893 
400 	 8 	       61.029 	       62.721 	   0.53040 	   0.55742 	    0.008424 	     0.008209 	     0.016633 
500 	 8 	       64.909 	       67.456 	   0.55238 	   0.56980 	    0.007266 	     0.007180 	     0.014445 
600 	 8 	       66.429 	       69.410 	   0.55836 	   0.57174 	    0.006984 	     0.006956 	     0.013941 
700 	 8 	       67.939 	       70.976 	   0.56283 	   0.57310 	    0.006798 	     0.006818 	     0.013616 
800 	 8 	       69.968 	       72.918 	   0.56532 	   0.57286 	    0.006664 	     0.006730 	     0.013394 
900 	 8 	       70.986 	       73.843 	   0.56712 	   0.57211 	    0.006596 	     0.006706 	     0.013302 
1000 	 8 	       74.881 	       78.312 	   0.56924 	   0.56880 	    0.006456 	     0.006686 	     0.013142 
1100 	 8 	       73.436 	       77.241 	   0.57265 	   0.56754 	    0.006416 	     0.006711 	     0.013127 
1200 	 8 	       73.335 	       77.317 	   0.57384 	   0.56687 	    0.006395 	     0.006720 	     0.013115 
1300 	 8 	       73.257 	       77.375 	   0.57476 	   0.56619 	    0.006379 	     0.006730 	     0.013108 
1400 	 8 	       73.187 	       77.421 	   0.57555 	   0.56553 	    0.006365 	     0.006740 	     0.013105 
1500 	 8 	       73.121 	       77.461 	   0.57625 	   0.56489 	    0.006353 	     0.006749 	     0.013103 
1600 	 8 	       73.054 	       77.495 	   0.57688 	   0.56425 	    0.006342 	     0.006759 	     0.013102 
1700 	 8 	       72.985 	       77.519 	   0.57747 	   0.56362 	    0.006333 	     0.006769 	     0.013102 
1800 	 8 	       72.910 	       77.531 	   0.57802 	   0.56300 	    0.006324 	     0.006779 	     0.013103 
1900 	 8 	       72.825 	       77.535 	   0.57854 	   0.56240 	    0.006316 	     0.006789 	     0.013105 
2000 	 8 	       74.658 	       79.738 	   0.57922 	   0.56146 	    0.006274 	     0.006791 	     0.013065 
2100 	 8 	       73.990 	       79.058 	   0.58041 	   0.56143 	    0.006267 	     0.006790 	     0.013057 
