 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 8 	       59.765 	        0.000 	   0.47391 	   0.00000 	    0.010803 	    -1.#IND00 	    -1.#IND00 
200 	 8 	       60.476 	        0.000 	   0.53674 	   0.00000 	    0.008326 	    -1.#IND00 	    -1.#IND00 
300 	 8 	       63.883 	        0.000 	   0.55672 	   0.00000 	    0.007329 	    -1.#IND00 	    -1.#IND00 
400 	 8 	       64.808 	        0.000 	   0.56232 	   0.00000 	    0.007137 	    -1.#IND00 	    -1.#IND00 
500 	 8 	       65.159 	        0.000 	   0.56544 	   0.00000 	    0.007040 	    -1.#IND00 	    -1.#IND00 
600 	 8 	       65.492 	        0.000 	   0.56791 	   0.00000 	    0.006955 	    -1.#IND00 	    -1.#IND00 
700 	 8 	       65.799 	        0.000 	   0.57009 	   0.00000 	    0.006877 	    -1.#IND00 	    -1.#IND00 
800 	 8 	       66.057 	        0.000 	   0.57216 	   0.00000 	    0.006807 	    -1.#IND00 	    -1.#IND00 
900 	 8 	       66.173 	        0.000 	   0.57417 	   0.00000 	    0.006749 	    -1.#IND00 	    -1.#IND00 
1000 	 8 	       72.014 	        0.000 	   0.57714 	   0.00000 	    0.006524 	    -1.#IND00 	    -1.#IND00 
1100 	 8 	       71.347 	        0.000 	   0.57869 	   0.00000 	    0.006524 	    -1.#IND00 	    -1.#IND00 
1200 	 8 	       71.254 	        0.000 	   0.57936 	   0.00000 	    0.006516 	    -1.#IND00 	    -1.#IND00 
1300 	 8 	       71.175 	        0.000 	   0.58000 	   0.00000 	    0.006508 	    -1.#IND00 	    -1.#IND00 
1400 	 8 	       71.102 	        0.000 	   0.58065 	   0.00000 	    0.006500 	    -1.#IND00 	    -1.#IND00 
1500 	 8 	       71.043 	        0.000 	   0.58134 	   0.00000 	    0.006491 	    -1.#IND00 	    -1.#IND00 
1600 	 8 	       70.998 	        0.000 	   0.58216 	   0.00000 	    0.006481 	    -1.#IND00 	    -1.#IND00 
1700 	 8 	       70.976 	        0.000 	   0.58324 	   0.00000 	    0.006466 	    -1.#IND00 	    -1.#IND00 
1800 	 8 	       71.003 	        0.000 	   0.58501 	   0.00000 	    0.006439 	    -1.#IND00 	    -1.#IND00 
1900 	 8 	       71.045 	        0.000 	   0.58704 	   0.00000 	    0.006404 	    -1.#IND00 	    -1.#IND00 
2000 	 8 	       74.158 	        0.000 	   0.58851 	   0.00000 	    0.006316 	    -1.#IND00 	    -1.#IND00 
2100 	 8 	       73.918 	        0.000 	   0.58933 	   0.00000 	    0.006311 	    -1.#IND00 	    -1.#IND00 
2200 	 8 	       73.890 	        0.000 	   0.58970 	   0.00000 	    0.006306 	    -1.#IND00 	    -1.#IND00 
2300 	 8 	       73.857 	        0.000 	   0.58997 	   0.00000 	    0.006302 	    -1.#IND00 	    -1.#IND00 
2400 	 8 	       73.819 	        0.000 	   0.59018 	   0.00000 	    0.006299 	    -1.#IND00 	    -1.#IND00 
2500 	 8 	       73.781 	        0.000 	   0.59037 	   0.00000 	    0.006297 	    -1.#IND00 	    -1.#IND00 
2600 	 8 	       73.747 	        0.000 	   0.59052 	   0.00000 	    0.006295 	    -1.#IND00 	    -1.#IND00 
2700 	 8 	       73.713 	        0.000 	   0.59067 	   0.00000 	    0.006293 	    -1.#IND00 	    -1.#IND00 
2800 	 8 	       73.682 	        0.000 	   0.59079 	   0.00000 	    0.006291 	    -1.#IND00 	    -1.#IND00 
2900 	 8 	       73.652 	        0.000 	   0.59091 	   0.00000 	    0.006290 	    -1.#IND00 	    -1.#IND00 
3000 	 8 	       75.430 	        0.000 	   0.59122 	   0.00000 	    0.006257 	    -1.#IND00 	    -1.#IND00 
3100 	 8 	       75.318 	        0.000 	   0.59141 	   0.00000 	    0.006257 	    -1.#IND00 	    -1.#IND00 
3200 	 8 	       75.280 	        0.000 	   0.59151 	   0.00000 	    0.006256 	    -1.#IND00 	    -1.#IND00 
3300 	 8 	       75.249 	        0.000 	   0.59159 	   0.00000 	    0.006255 	    -1.#IND00 	    -1.#IND00 
3400 	 8 	       75.222 	        0.000 	   0.59168 	   0.00000 	    0.006254 	    -1.#IND00 	    -1.#IND00 
3500 	 8 	       75.197 	        0.000 	   0.59176 	   0.00000 	    0.006253 	    -1.#IND00 	    -1.#IND00 
3600 	 8 	       75.177 	        0.000 	   0.59184 	   0.00000 	    0.006252 	    -1.#IND00 	    -1.#IND00 
3700 	 8 	       75.157 	        0.000 	   0.59191 	   0.00000 	    0.006251 	    -1.#IND00 	    -1.#IND00 
