 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 5 	       13.734 	       12.613 	   0.98349 	   0.98328 	    0.001185 	     0.001194 	     0.002379 
200 	 5 	       11.093 	       10.109 	   0.99096 	   0.99088 	    0.000649 	     0.000650 	     0.001299 
300 	 5 	        9.743 	        8.781 	   0.99317 	   0.99313 	    0.000490 	     0.000491 	     0.000981 
400 	 5 	        9.001 	        8.024 	   0.99417 	   0.99414 	    0.000420 	     0.000421 	     0.000841 
500 	 5 	        8.617 	        7.650 	   0.99449 	   0.99446 	    0.000400 	     0.000401 	     0.000801 
600 	 5 	        8.450 	        7.504 	   0.99441 	   0.99437 	    0.000405 	     0.000406 	     0.000810 
700 	 5 	        8.426 	        7.495 	   0.99425 	   0.99421 	    0.000413 	     0.000414 	     0.000827 
800 	 5 	        8.480 	        7.556 	   0.99416 	   0.99411 	    0.000420 	     0.000421 	     0.000841 
900 	 5 	        8.586 	        7.661 	   0.99408 	   0.99403 	    0.000430 	     0.000431 	     0.000861 
1000 	 5 	        8.981 	        8.046 	   0.99386 	   0.99381 	    0.000471 	     0.000472 	     0.000943 
1100 	 5 	        8.297 	        7.375 	   0.99449 	   0.99445 	    0.000400 	     0.000400 	     0.000800 
1200 	 5 	        8.219 	        7.310 	   0.99456 	   0.99452 	    0.000393 	     0.000394 	     0.000787 
1300 	 5 	        8.209 	        7.310 	   0.99453 	   0.99450 	    0.000395 	     0.000395 	     0.000789 
1400 	 5 	        8.204 	        7.316 	   0.99450 	   0.99446 	    0.000397 	     0.000397 	     0.000794 
1500 	 5 	        8.190 	        7.320 	   0.99447 	   0.99443 	    0.000398 	     0.000399 	     0.000797 
1600 	 5 	        8.175 	        7.324 	   0.99445 	   0.99441 	    0.000399 	     0.000400 	     0.000799 
1700 	 5 	        8.159 	        7.321 	   0.99444 	   0.99441 	    0.000400 	     0.000400 	     0.000800 
1800 	 5 	        8.144 	        7.317 	   0.99444 	   0.99441 	    0.000400 	     0.000400 	     0.000800 
1900 	 5 	        8.126 	        7.308 	   0.99446 	   0.99442 	    0.000399 	     0.000399 	     0.000798 
2000 	 5 	        8.186 	        7.370 	   0.99441 	   0.99438 	    0.000405 	     0.000405 	     0.000810 
2100 	 5 	        7.924 	        7.104 	   0.99473 	   0.99470 	    0.000379 	     0.000379 	     0.000758 
2200 	 5 	        7.817 	        6.997 	   0.99492 	   0.99488 	    0.000365 	     0.000366 	     0.000731 
2300 	 5 	        7.760 	        6.940 	   0.99504 	   0.99500 	    0.000357 	     0.000357 	     0.000714 
2400 	 5 	        7.717 	        6.898 	   0.99513 	   0.99510 	    0.000350 	     0.000351 	     0.000700 
2500 	 5 	        7.681 	        6.862 	   0.99521 	   0.99518 	    0.000344 	     0.000345 	     0.000689 
2600 	 5 	        7.648 	        6.829 	   0.99528 	   0.99525 	    0.000339 	     0.000340 	     0.000679 
2700 	 5 	        7.619 	        6.799 	   0.99534 	   0.99531 	    0.000335 	     0.000335 	     0.000670 
2800 	 5 	        7.592 	        6.771 	   0.99540 	   0.99536 	    0.000331 	     0.000331 	     0.000662 
2900 	 5 	        7.567 	        6.745 	   0.99545 	   0.99541 	    0.000327 	     0.000328 	     0.000655 
3000 	 5 	        7.569 	        6.743 	   0.99547 	   0.99544 	    0.000326 	     0.000326 	     0.000652 
3100 	 5 	        7.453 	        6.616 	   0.99565 	   0.99562 	    0.000313 	     0.000314 	     0.000627 
3200 	 5 	        7.388 	        6.546 	   0.99576 	   0.99573 	    0.000305 	     0.000306 	     0.000611 
3300 	 5 	        7.348 	        6.502 	   0.99584 	   0.99581 	    0.000300 	     0.000300 	     0.000600 
3400 	 5 	        7.321 	        6.472 	   0.99589 	   0.99586 	    0.000296 	     0.000297 	     0.000592 
3500 	 5 	        7.302 	        6.450 	   0.99593 	   0.99591 	    0.000293 	     0.000293 	     0.000586 
3600 	 5 	        7.288 	        6.435 	   0.99597 	   0.99594 	    0.000290 	     0.000291 	     0.000581 
3700 	 5 	        7.277 	        6.421 	   0.99600 	   0.99597 	    0.000288 	     0.000289 	     0.000577 
3800 	 5 	        7.267 	        6.410 	   0.99603 	   0.99600 	    0.000286 	     0.000287 	     0.000574 
3900 	 5 	        7.258 	        6.399 	   0.99605 	   0.99602 	    0.000285 	     0.000286 	     0.000570 
4000 	 5 	        7.255 	        6.392 	   0.99607 	   0.99605 	    0.000283 	     0.000284 	     0.000567 
4100 	 5 	        7.181 	        6.309 	   0.99619 	   0.99616 	    0.000275 	     0.000276 	     0.000551 
4200 	 5 	        7.143 	        6.267 	   0.99625 	   0.99622 	    0.000271 	     0.000272 	     0.000543 
4300 	 5 	        7.119 	        6.240 	   0.99629 	   0.99627 	    0.000268 	     0.000269 	     0.000537 
4400 	 5 	        7.101 	        6.221 	   0.99633 	   0.99630 	    0.000266 	     0.000266 	     0.000532 
4500 	 5 	        7.088 	        6.206 	   0.99635 	   0.99633 	    0.000264 	     0.000264 	     0.000528 
