 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 12 	        6.341 	        0.000 	   0.99638 	   0.00000 	    0.000260 	    -1.#IND00 	    -1.#IND00 
200 	 12 	        4.729 	        0.000 	   0.99848 	   0.00000 	    0.000111 	    -1.#IND00 	    -1.#IND00 
300 	 12 	        4.015 	        0.000 	   0.99904 	   0.00000 	    0.000072 	    -1.#IND00 	    -1.#IND00 
400 	 12 	        3.627 	        0.000 	   0.99927 	   0.00000 	    0.000054 	    -1.#IND00 	    -1.#IND00 
500 	 12 	        3.351 	        0.000 	   0.99940 	   0.00000 	    0.000044 	    -1.#IND00 	    -1.#IND00 
600 	 12 	        3.059 	        0.000 	   0.99951 	   0.00000 	    0.000035 	    -1.#IND00 	    -1.#IND00 
700 	 12 	        2.767 	        0.000 	   0.99962 	   0.00000 	    0.000027 	    -1.#IND00 	    -1.#IND00 
800 	 12 	        2.507 	        0.000 	   0.99969 	   0.00000 	    0.000022 	    -1.#IND00 	    -1.#IND00 
900 	 12 	        2.277 	        0.000 	   0.99975 	   0.00000 	    0.000018 	    -1.#IND00 	    -1.#IND00 
1000 	 12 	        2.070 	        0.000 	   0.99980 	   0.00000 	    0.000015 	    -1.#IND00 	    -1.#IND00 
1100 	 12 	        1.858 	        0.000 	   0.99986 	   0.00000 	    0.000010 	    -1.#IND00 	    -1.#IND00 
1200 	 12 	        1.745 	        0.000 	   0.99991 	   0.00000 	    0.000007 	    -1.#IND00 	    -1.#IND00 
1300 	 12 	        1.658 	        0.000 	   0.99993 	   0.00000 	    0.000005 	    -1.#IND00 	    -1.#IND00 
1400 	 12 	        1.585 	        0.000 	   0.99994 	   0.00000 	    0.000004 	    -1.#IND00 	    -1.#IND00 
1500 	 12 	        1.524 	        0.000 	   0.99995 	   0.00000 	    0.000004 	    -1.#IND00 	    -1.#IND00 
1600 	 12 	        1.469 	        0.000 	   0.99995 	   0.00000 	    0.000003 	    -1.#IND00 	    -1.#IND00 
1700 	 12 	        1.424 	        0.000 	   0.99996 	   0.00000 	    0.000003 	    -1.#IND00 	    -1.#IND00 
1800 	 12 	        1.385 	        0.000 	   0.99996 	   0.00000 	    0.000003 	    -1.#IND00 	    -1.#IND00 
1900 	 12 	        1.348 	        0.000 	   0.99996 	   0.00000 	    0.000003 	    -1.#IND00 	    -1.#IND00 
2000 	 12 	        1.311 	        0.000 	   0.99997 	   0.00000 	    0.000002 	    -1.#IND00 	    -1.#IND00 
2100 	 12 	        1.275 	        0.000 	   0.99997 	   0.00000 	    0.000002 	    -1.#IND00 	    -1.#IND00 
2200 	 12 	        1.251 	        0.000 	   0.99997 	   0.00000 	    0.000002 	    -1.#IND00 	    -1.#IND00 
