 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 6 	       48.061 	       46.578 	   0.84803 	   0.84716 	    0.015181 	     0.015187 	     0.030368 
200 	 6 	       40.942 	       39.428 	   0.85050 	   0.84991 	    0.013378 	     0.013376 	     0.026754 
300 	 6 	       44.786 	       43.158 	   0.85371 	   0.85311 	    0.014280 	     0.014272 	     0.028552 
400 	 6 	       48.003 	       46.238 	   0.85122 	   0.85066 	    0.015169 	     0.015157 	     0.030326 
500 	 6 	       48.529 	       46.814 	   0.84974 	   0.84922 	    0.015225 	     0.015214 	     0.030439 
600 	 6 	       49.029 	       47.374 	   0.84857 	   0.84808 	    0.015286 	     0.015277 	     0.030563 
700 	 6 	       49.295 	       47.709 	   0.84831 	   0.84785 	    0.015291 	     0.015283 	     0.030574 
800 	 6 	       49.390 	       47.852 	   0.84863 	   0.84821 	    0.015258 	     0.015250 	     0.030507 
900 	 6 	       49.290 	       47.794 	   0.84864 	   0.84826 	    0.015158 	     0.015150 	     0.030308 
1000 	 6 	       45.918 	       44.510 	   0.85302 	   0.85289 	    0.013654 	     0.013635 	     0.027289 
1100 	 6 	       37.744 	       36.842 	   0.86637 	   0.86671 	    0.011552 	     0.011509 	     0.023060 
1200 	 6 	       39.697 	       38.848 	   0.86511 	   0.86553 	    0.012363 	     0.012315 	     0.024678 
1300 	 6 	       40.618 	       39.769 	   0.86367 	   0.86412 	    0.012763 	     0.012712 	     0.025475 
1400 	 6 	       41.552 	       40.653 	   0.86208 	   0.86254 	    0.013211 	     0.013160 	     0.026372 
1500 	 6 	       43.523 	       42.574 	   0.85998 	   0.86040 	    0.013972 	     0.013922 	     0.027894 
1600 	 6 	       46.189 	       45.187 	   0.85776 	   0.85802 	    0.014903 	     0.014861 	     0.029764 
1700 	 6 	       48.148 	       47.077 	   0.85576 	   0.85599 	    0.015394 	     0.015352 	     0.030745 
1800 	 6 	       48.789 	       47.652 	   0.85479 	   0.85502 	    0.015343 	     0.015297 	     0.030640 
1900 	 6 	       48.549 	       47.341 	   0.85473 	   0.85491 	    0.014967 	     0.014924 	     0.029891 
2000 	 6 	       43.077 	       41.924 	   0.86164 	   0.86202 	    0.012496 	     0.012444 	     0.024941 
2100 	 6 	       42.858 	       41.733 	   0.86479 	   0.86530 	    0.012132 	     0.012071 	     0.024203 
2200 	 6 	       42.986 	       41.858 	   0.86604 	   0.86653 	    0.012039 	     0.011978 	     0.024016 
2300 	 6 	       43.218 	       42.085 	   0.86711 	   0.86760 	    0.012004 	     0.011943 	     0.023947 
2400 	 6 	       43.526 	       42.397 	   0.86802 	   0.86849 	    0.012016 	     0.011955 	     0.023971 
2500 	 6 	       43.856 	       42.740 	   0.86879 	   0.86925 	    0.012056 	     0.011995 	     0.024052 
2600 	 6 	       44.167 	       43.067 	   0.86945 	   0.86991 	    0.012109 	     0.012048 	     0.024158 
