 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 10 	       38.862 	        0.000 	   0.85064 	   0.00000 	    0.014082 	    -1.#IND00 	    -1.#IND00 
200 	 10 	       35.284 	        0.000 	   0.84931 	   0.00000 	    0.011888 	    -1.#IND00 	    -1.#IND00 
300 	 10 	       36.531 	        0.000 	   0.83960 	   0.00000 	    0.012220 	    -1.#IND00 	    -1.#IND00 
400 	 10 	       35.250 	        0.000 	   0.84132 	   0.00000 	    0.011741 	    -1.#IND00 	    -1.#IND00 
500 	 10 	       34.336 	        0.000 	   0.84826 	   0.00000 	    0.011212 	    -1.#IND00 	    -1.#IND00 
600 	 10 	       33.641 	        0.000 	   0.85420 	   0.00000 	    0.010801 	    -1.#IND00 	    -1.#IND00 
700 	 10 	       33.285 	        0.000 	   0.85557 	   0.00000 	    0.010765 	    -1.#IND00 	    -1.#IND00 
800 	 10 	       34.124 	        0.000 	   0.85562 	   0.00000 	    0.010845 	    -1.#IND00 	    -1.#IND00 
900 	 10 	       33.680 	        0.000 	   0.86414 	   0.00000 	    0.010323 	    -1.#IND00 	    -1.#IND00 
1000 	 10 	       30.772 	        0.000 	   0.87726 	   0.00000 	    0.009188 	    -1.#IND00 	    -1.#IND00 
1100 	 10 	       29.647 	        0.000 	   0.87826 	   0.00000 	    0.008956 	    -1.#IND00 	    -1.#IND00 
1200 	 10 	       29.589 	        0.000 	   0.88016 	   0.00000 	    0.008827 	    -1.#IND00 	    -1.#IND00 
1300 	 10 	       29.823 	        0.000 	   0.88212 	   0.00000 	    0.008674 	    -1.#IND00 	    -1.#IND00 
1400 	 10 	       30.020 	        0.000 	   0.88332 	   0.00000 	    0.008583 	    -1.#IND00 	    -1.#IND00 
1500 	 10 	       30.151 	        0.000 	   0.88469 	   0.00000 	    0.008488 	    -1.#IND00 	    -1.#IND00 
1600 	 10 	       30.137 	        0.000 	   0.88702 	   0.00000 	    0.008324 	    -1.#IND00 	    -1.#IND00 
1700 	 10 	       30.230 	        0.000 	   0.88765 	   0.00000 	    0.008300 	    -1.#IND00 	    -1.#IND00 
1800 	 10 	       30.252 	        0.000 	   0.88819 	   0.00000 	    0.008284 	    -1.#IND00 	    -1.#IND00 
1900 	 10 	       30.187 	        0.000 	   0.88875 	   0.00000 	    0.008263 	    -1.#IND00 	    -1.#IND00 
2000 	 10 	       29.149 	        0.000 	   0.89319 	   0.00000 	    0.007846 	    -1.#IND00 	    -1.#IND00 
2100 	 10 	       28.378 	        0.000 	   0.89818 	   0.00000 	    0.007469 	    -1.#IND00 	    -1.#IND00 
2200 	 10 	       28.341 	        0.000 	   0.89890 	   0.00000 	    0.007421 	    -1.#IND00 	    -1.#IND00 
2300 	 10 	       28.341 	        0.000 	   0.89926 	   0.00000 	    0.007398 	    -1.#IND00 	    -1.#IND00 
2400 	 10 	       28.345 	        0.000 	   0.89957 	   0.00000 	    0.007376 	    -1.#IND00 	    -1.#IND00 
2500 	 10 	       28.351 	        0.000 	   0.89986 	   0.00000 	    0.007356 	    -1.#IND00 	    -1.#IND00 
2600 	 10 	       28.355 	        0.000 	   0.90012 	   0.00000 	    0.007337 	    -1.#IND00 	    -1.#IND00 
2700 	 10 	       28.353 	        0.000 	   0.90036 	   0.00000 	    0.007319 	    -1.#IND00 	    -1.#IND00 
2800 	 10 	       28.339 	        0.000 	   0.90059 	   0.00000 	    0.007301 	    -1.#IND00 	    -1.#IND00 
