 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 12 	       54.630 	       54.539 	   0.39719 	   0.39676 	    0.078533 	     0.078459 	     0.156992 
200 	 12 	       54.042 	       53.907 	   0.36451 	   0.36429 	    0.080514 	     0.080458 	     0.160972 
300 	 12 	       56.790 	       56.635 	   0.30832 	   0.30824 	    0.092350 	     0.092212 	     0.184562 
400 	 12 	       57.867 	       57.798 	   0.28178 	   0.28208 	    0.094528 	     0.094326 	     0.188854 
500 	 12 	       58.254 	       58.272 	   0.28353 	   0.28365 	    0.094030 	     0.093809 	     0.187840 
600 	 12 	       57.216 	       57.223 	   0.32563 	   0.32589 	    0.088512 	     0.088282 	     0.176794 
700 	 12 	       56.479 	       56.442 	   0.35430 	   0.35457 	    0.084603 	     0.084390 	     0.168993 
800 	 12 	       56.426 	       56.388 	   0.36204 	   0.36233 	    0.083766 	     0.083551 	     0.167317 
900 	 12 	       56.155 	       56.096 	   0.37072 	   0.37109 	    0.082754 	     0.082540 	     0.165295 
1000 	 12 	       43.294 	       42.996 	   0.65038 	   0.65053 	    0.036422 	     0.036338 	     0.072760 
1100 	 12 	       43.335 	       42.882 	   0.68742 	   0.68696 	    0.035995 	     0.035921 	     0.071917 
1200 	 12 	       43.438 	       43.004 	   0.68679 	   0.68622 	    0.036877 	     0.036796 	     0.073674 
1300 	 12 	       43.300 	       42.905 	   0.68771 	   0.68705 	    0.037235 	     0.037150 	     0.074386 
1400 	 12 	       43.158 	       42.783 	   0.68758 	   0.68682 	    0.037266 	     0.037181 	     0.074447 
1500 	 12 	       43.140 	       42.784 	   0.68602 	   0.68518 	    0.037402 	     0.037317 	     0.074719 
1600 	 12 	       43.244 	       42.909 	   0.68235 	   0.68142 	    0.037875 	     0.037789 	     0.075664 
1700 	 12 	       43.391 	       43.069 	   0.67764 	   0.67664 	    0.038479 	     0.038392 	     0.076871 
1800 	 12 	       43.518 	       43.210 	   0.67302 	   0.67196 	    0.039046 	     0.038959 	     0.078005 
1900 	 12 	       43.617 	       43.319 	   0.66882 	   0.66770 	    0.039524 	     0.039437 	     0.078962 
2000 	 12 	       39.217 	       38.946 	   0.75213 	   0.75075 	    0.024363 	     0.024359 	     0.048722 
2100 	 12 	       39.371 	       39.116 	   0.75023 	   0.74894 	    0.025307 	     0.025288 	     0.050596 
2200 	 12 	       39.497 	       39.229 	   0.74860 	   0.74725 	    0.025707 	     0.025690 	     0.051397 
2300 	 12 	       39.588 	       39.304 	   0.74708 	   0.74566 	    0.025955 	     0.025941 	     0.051896 
2400 	 12 	       39.669 	       39.370 	   0.74548 	   0.74402 	    0.026175 	     0.026163 	     0.052339 
2500 	 12 	       39.743 	       39.432 	   0.74390 	   0.74238 	    0.026388 	     0.026377 	     0.052765 
2600 	 12 	       39.807 	       39.489 	   0.74242 	   0.74086 	    0.026590 	     0.026581 	     0.053171 
2700 	 12 	       39.861 	       39.540 	   0.74110 	   0.73950 	    0.026778 	     0.026769 	     0.053546 
2800 	 12 	       39.908 	       39.583 	   0.73992 	   0.73829 	    0.026945 	     0.026937 	     0.053883 
2900 	 12 	       39.948 	       39.621 	   0.73890 	   0.73724 	    0.027093 	     0.027086 	     0.054179 
3000 	 12 	       38.123 	       37.747 	   0.77625 	   0.77454 	    0.020345 	     0.020376 	     0.040721 
3100 	 12 	       38.161 	       37.775 	   0.77603 	   0.77444 	    0.020856 	     0.020872 	     0.041728 
3200 	 12 	       38.231 	       37.852 	   0.77505 	   0.77340 	    0.021180 	     0.021198 	     0.042377 
3300 	 12 	       38.284 	       37.909 	   0.77396 	   0.77227 	    0.021458 	     0.021477 	     0.042934 
3400 	 12 	       38.335 	       37.963 	   0.77281 	   0.77109 	    0.021722 	     0.021741 	     0.043463 
3500 	 12 	       38.386 	       38.016 	   0.77165 	   0.76990 	    0.021982 	     0.022002 	     0.043984 
3600 	 12 	       38.438 	       38.072 	   0.77049 	   0.76872 	    0.022245 	     0.022265 	     0.044510 
3700 	 12 	       38.492 	       38.132 	   0.76934 	   0.76754 	    0.022515 	     0.022534 	     0.045049 
3800 	 12 	       38.550 	       38.196 	   0.76817 	   0.76635 	    0.022794 	     0.022814 	     0.045608 
3900 	 12 	       38.611 	       38.262 	   0.76699 	   0.76514 	    0.023084 	     0.023103 	     0.046187 
4000 	 12 	       37.622 	       37.228 	   0.78761 	   0.78572 	    0.019246 	     0.019290 	     0.038537 
4100 	 12 	       37.644 	       37.236 	   0.78717 	   0.78535 	    0.019692 	     0.019726 	     0.039417 
4200 	 12 	       37.723 	       37.319 	   0.78608 	   0.78420 	    0.020035 	     0.020070 	     0.040105 
4300 	 12 	       37.801 	       37.398 	   0.78499 	   0.78306 	    0.020352 	     0.020388 	     0.040740 
4400 	 12 	       37.874 	       37.475 	   0.78400 	   0.78202 	    0.020646 	     0.020684 	     0.041329 
4500 	 12 	       37.941 	       37.547 	   0.78316 	   0.78114 	    0.020917 	     0.020956 	     0.041872 
4600 	 12 	       38.001 	       37.615 	   0.78253 	   0.78048 	    0.021164 	     0.021204 	     0.042368 
4700 	 12 	       38.051 	       37.672 	   0.78218 	   0.78010 	    0.021384 	     0.021425 	     0.042808 
4800 	 12 	       38.091 	       37.721 	   0.78226 	   0.78016 	    0.021565 	     0.021607 	     0.043173 
4900 	 12 	       38.109 	       37.748 	   0.78309 	   0.78098 	    0.021686 	     0.021728 	     0.043414 
5000 	 12 	       37.405 	       37.035 	   0.79877 	   0.79669 	    0.018886 	     0.018944 	     0.037830 
5100 	 12 	       37.202 	       36.836 	   0.80348 	   0.80146 	    0.019003 	     0.019054 	     0.038057 
5200 	 12 	       36.930 	       36.589 	   0.80817 	   0.80609 	    0.018952 	     0.019005 	     0.037956 
5300 	 12 	       36.724 	       36.381 	   0.81051 	   0.80840 	    0.018677 	     0.018735 	     0.037412 
5400 	 12 	       36.597 	       36.247 	   0.81162 	   0.80951 	    0.018396 	     0.018458 	     0.036854 
5500 	 12 	       36.504 	       36.157 	   0.81211 	   0.80997 	    0.018198 	     0.018262 	     0.036460 
5600 	 12 	       36.416 	       36.077 	   0.81233 	   0.81015 	    0.018052 	     0.018119 	     0.036171 
5700 	 12 	       36.328 	       35.997 	   0.81245 	   0.81020 	    0.017934 	     0.018007 	     0.035941 
5800 	 12 	       36.193 	       35.885 	   0.81274 	   0.81030 	    0.017759 	     0.017846 	     0.035604 
5900 	 12 	       36.131 	       35.846 	   0.81357 	   0.81090 	    0.017311 	     0.017422 	     0.034733 
6000 	 12 	       35.814 	       35.538 	   0.82071 	   0.81806 	    0.015875 	     0.015994 	     0.031869 
6100 	 12 	       35.757 	       35.479 	   0.82202 	   0.81939 	    0.015962 	     0.016079 	     0.032041 
6200 	 12 	       36.081 	       35.800 	   0.82125 	   0.81856 	    0.016504 	     0.016619 	     0.033122 
6300 	 12 	       36.720 	       36.453 	   0.81744 	   0.81465 	    0.017861 	     0.017971 	     0.035832 
6400 	 12 	       36.913 	       36.644 	   0.81644 	   0.81358 	    0.017975 	     0.018088 	     0.036063 
6500 	 12 	       37.027 	       36.744 	   0.81597 	   0.81308 	    0.017976 	     0.018091 	     0.036067 
6600 	 12 	       37.112 	       36.821 	   0.81553 	   0.81260 	    0.017978 	     0.018094 	     0.036072 
6700 	 12 	       37.182 	       36.885 	   0.81505 	   0.81211 	    0.018030 	     0.018146 	     0.036175 
6800 	 12 	       37.252 	       36.950 	   0.81464 	   0.81169 	    0.018122 	     0.018237 	     0.036359 
6900 	 12 	       37.322 	       37.012 	   0.81426 	   0.81128 	    0.018226 	     0.018341 	     0.036566 
7000 	 12 	       37.027 	       36.716 	   0.81933 	   0.81641 	    0.016999 	     0.017118 	     0.034117 
7100 	 12 	       36.972 	       36.665 	   0.81954 	   0.81668 	    0.017195 	     0.017308 	     0.034503 
7200 	 12 	       37.017 	       36.712 	   0.81926 	   0.81637 	    0.017251 	     0.017365 	     0.034615 
7300 	 12 	       37.068 	       36.761 	   0.81891 	   0.81600 	    0.017313 	     0.017428 	     0.034741 
7400 	 12 	       37.119 	       36.813 	   0.81854 	   0.81560 	    0.017377 	     0.017492 	     0.034869 
7500 	 12 	       37.167 	       36.860 	   0.81814 	   0.81518 	    0.017439 	     0.017555 	     0.034994 
7600 	 12 	       37.212 	       36.903 	   0.81773 	   0.81475 	    0.017498 	     0.017614 	     0.035111 
7700 	 12 	       37.253 	       36.941 	   0.81731 	   0.81431 	    0.017552 	     0.017669 	     0.035221 
7800 	 12 	       37.291 	       36.975 	   0.81690 	   0.81389 	    0.017602 	     0.017719 	     0.035321 
7900 	 12 	       37.328 	       37.009 	   0.81650 	   0.81347 	    0.017648 	     0.017765 	     0.035413 
8000 	 12 	       37.063 	       36.731 	   0.82037 	   0.81740 	    0.016679 	     0.016799 	     0.033478 
8100 	 12 	       36.976 	       36.646 	   0.82060 	   0.81771 	    0.016784 	     0.016898 	     0.033682 
8200 	 12 	       36.999 	       36.669 	   0.82032 	   0.81741 	    0.016796 	     0.016911 	     0.033707 
8300 	 12 	       37.024 	       36.694 	   0.82002 	   0.81711 	    0.016817 	     0.016932 	     0.033749 
8400 	 12 	       37.050 	       36.717 	   0.81973 	   0.81680 	    0.016840 	     0.016956 	     0.033796 
8500 	 12 	       37.073 	       36.739 	   0.81945 	   0.81651 	    0.016863 	     0.016980 	     0.033843 
