 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 8 	       53.396 	        0.000 	   0.41196 	   0.00000 	    0.065773 	    -1.#IND00 	    -1.#IND00 
200 	 8 	       53.523 	        0.000 	   0.43143 	   0.00000 	    0.059282 	    -1.#IND00 	    -1.#IND00 
300 	 8 	       52.821 	        0.000 	   0.46416 	   0.00000 	    0.054152 	    -1.#IND00 	    -1.#IND00 
400 	 8 	       51.824 	        0.000 	   0.49607 	   0.00000 	    0.049735 	    -1.#IND00 	    -1.#IND00 
500 	 8 	       52.235 	        0.000 	   0.48677 	   0.00000 	    0.050745 	    -1.#IND00 	    -1.#IND00 
600 	 8 	       55.085 	        0.000 	   0.39100 	   0.00000 	    0.064501 	    -1.#IND00 	    -1.#IND00 
700 	 8 	       56.508 	        0.000 	   0.29777 	   0.00000 	    0.069868 	    -1.#IND00 	    -1.#IND00 
800 	 8 	       53.385 	        0.000 	   0.37269 	   0.00000 	    0.073085 	    -1.#IND00 	    -1.#IND00 
900 	 8 	       55.152 	        0.000 	   0.28892 	   0.00000 	    0.080501 	    -1.#IND00 	    -1.#IND00 
1000 	 8 	       44.706 	        0.000 	   0.67771 	   0.00000 	    0.028460 	    -1.#IND00 	    -1.#IND00 
1100 	 8 	       44.785 	        0.000 	   0.68544 	   0.00000 	    0.032471 	    -1.#IND00 	    -1.#IND00 
1200 	 8 	       44.865 	        0.000 	   0.70564 	   0.00000 	    0.033255 	    -1.#IND00 	    -1.#IND00 
1300 	 8 	       43.991 	        0.000 	   0.72880 	   0.00000 	    0.028887 	    -1.#IND00 	    -1.#IND00 
1400 	 8 	       43.539 	        0.000 	   0.73901 	   0.00000 	    0.029757 	    -1.#IND00 	    -1.#IND00 
1500 	 8 	       43.068 	        0.000 	   0.74192 	   0.00000 	    0.028907 	    -1.#IND00 	    -1.#IND00 
1600 	 8 	       42.332 	        0.000 	   0.74913 	   0.00000 	    0.026319 	    -1.#IND00 	    -1.#IND00 
1700 	 8 	       42.138 	        0.000 	   0.75191 	   0.00000 	    0.025557 	    -1.#IND00 	    -1.#IND00 
1800 	 8 	       42.057 	        0.000 	   0.75355 	   0.00000 	    0.024816 	    -1.#IND00 	    -1.#IND00 
1900 	 8 	       41.705 	        0.000 	   0.75580 	   0.00000 	    0.024492 	    -1.#IND00 	    -1.#IND00 
2000 	 8 	       39.979 	        0.000 	   0.78828 	   0.00000 	    0.017678 	    -1.#IND00 	    -1.#IND00 
2100 	 8 	       39.796 	        0.000 	   0.79770 	   0.00000 	    0.018760 	    -1.#IND00 	    -1.#IND00 
2200 	 8 	       39.580 	        0.000 	   0.79960 	   0.00000 	    0.018741 	    -1.#IND00 	    -1.#IND00 
2300 	 8 	       39.468 	        0.000 	   0.80078 	   0.00000 	    0.018726 	    -1.#IND00 	    -1.#IND00 
2400 	 8 	       39.575 	        0.000 	   0.79980 	   0.00000 	    0.019354 	    -1.#IND00 	    -1.#IND00 
2500 	 8 	       39.756 	        0.000 	   0.79750 	   0.00000 	    0.019910 	    -1.#IND00 	    -1.#IND00 
2600 	 8 	       39.955 	        0.000 	   0.79450 	   0.00000 	    0.020570 	    -1.#IND00 	    -1.#IND00 
2700 	 8 	       40.025 	        0.000 	   0.79240 	   0.00000 	    0.020930 	    -1.#IND00 	    -1.#IND00 
2800 	 8 	       40.046 	        0.000 	   0.79155 	   0.00000 	    0.021036 	    -1.#IND00 	    -1.#IND00 
2900 	 8 	       40.298 	        0.000 	   0.79040 	   0.00000 	    0.020831 	    -1.#IND00 	    -1.#IND00 
3000 	 8 	       39.103 	        0.000 	   0.80390 	   0.00000 	    0.017427 	    -1.#IND00 	    -1.#IND00 
3100 	 8 	       38.997 	        0.000 	   0.80483 	   0.00000 	    0.017626 	    -1.#IND00 	    -1.#IND00 
3200 	 8 	       39.010 	        0.000 	   0.80337 	   0.00000 	    0.018141 	    -1.#IND00 	    -1.#IND00 
3300 	 8 	       39.140 	        0.000 	   0.80139 	   0.00000 	    0.018545 	    -1.#IND00 	    -1.#IND00 
3400 	 8 	       39.233 	        0.000 	   0.80021 	   0.00000 	    0.018784 	    -1.#IND00 	    -1.#IND00 
3500 	 8 	       39.253 	        0.000 	   0.80023 	   0.00000 	    0.018774 	    -1.#IND00 	    -1.#IND00 
3600 	 8 	       39.184 	        0.000 	   0.80241 	   0.00000 	    0.018293 	    -1.#IND00 	    -1.#IND00 
3700 	 8 	       39.158 	        0.000 	   0.80413 	   0.00000 	    0.017995 	    -1.#IND00 	    -1.#IND00 
3800 	 8 	       39.153 	        0.000 	   0.80514 	   0.00000 	    0.017877 	    -1.#IND00 	    -1.#IND00 
3900 	 8 	       39.161 	        0.000 	   0.80722 	   0.00000 	    0.017753 	    -1.#IND00 	    -1.#IND00 
4000 	 8 	       38.531 	        0.000 	   0.81678 	   0.00000 	    0.016093 	    -1.#IND00 	    -1.#IND00 
4100 	 8 	       38.470 	        0.000 	   0.81931 	   0.00000 	    0.015979 	    -1.#IND00 	    -1.#IND00 
4200 	 8 	       38.472 	        0.000 	   0.81985 	   0.00000 	    0.015942 	    -1.#IND00 	    -1.#IND00 
4300 	 8 	       38.471 	        0.000 	   0.82023 	   0.00000 	    0.015924 	    -1.#IND00 	    -1.#IND00 
4400 	 8 	       38.467 	        0.000 	   0.82054 	   0.00000 	    0.015911 	    -1.#IND00 	    -1.#IND00 
4500 	 8 	       38.458 	        0.000 	   0.82082 	   0.00000 	    0.015899 	    -1.#IND00 	    -1.#IND00 
4600 	 8 	       38.448 	        0.000 	   0.82108 	   0.00000 	    0.015887 	    -1.#IND00 	    -1.#IND00 
4700 	 8 	       38.436 	        0.000 	   0.82131 	   0.00000 	    0.015874 	    -1.#IND00 	    -1.#IND00 
4800 	 8 	       38.422 	        0.000 	   0.82153 	   0.00000 	    0.015862 	    -1.#IND00 	    -1.#IND00 
4900 	 8 	       38.407 	        0.000 	   0.82174 	   0.00000 	    0.015850 	    -1.#IND00 	    -1.#IND00 
5000 	 8 	       38.127 	        0.000 	   0.82445 	   0.00000 	    0.014993 	    -1.#IND00 	    -1.#IND00 
5100 	 8 	       38.063 	        0.000 	   0.82605 	   0.00000 	    0.014918 	    -1.#IND00 	    -1.#IND00 
5200 	 8 	       38.058 	        0.000 	   0.82631 	   0.00000 	    0.014893 	    -1.#IND00 	    -1.#IND00 
5300 	 8 	       38.051 	        0.000 	   0.82647 	   0.00000 	    0.014880 	    -1.#IND00 	    -1.#IND00 
5400 	 8 	       38.043 	        0.000 	   0.82659 	   0.00000 	    0.014870 	    -1.#IND00 	    -1.#IND00 
5500 	 8 	       38.034 	        0.000 	   0.82671 	   0.00000 	    0.014862 	    -1.#IND00 	    -1.#IND00 
5600 	 8 	       38.024 	        0.000 	   0.82682 	   0.00000 	    0.014854 	    -1.#IND00 	    -1.#IND00 
5700 	 8 	       38.014 	        0.000 	   0.82692 	   0.00000 	    0.014847 	    -1.#IND00 	    -1.#IND00 
5800 	 8 	       38.003 	        0.000 	   0.82702 	   0.00000 	    0.014840 	    -1.#IND00 	    -1.#IND00 
5900 	 8 	       37.992 	        0.000 	   0.82712 	   0.00000 	    0.014833 	    -1.#IND00 	    -1.#IND00 
6000 	 8 	       37.860 	        0.000 	   0.82849 	   0.00000 	    0.014355 	    -1.#IND00 	    -1.#IND00 
6100 	 8 	       37.797 	        0.000 	   0.82976 	   0.00000 	    0.014289 	    -1.#IND00 	    -1.#IND00 
6200 	 8 	       37.796 	        0.000 	   0.82994 	   0.00000 	    0.014272 	    -1.#IND00 	    -1.#IND00 
