 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 8 	       54.891 	       54.796 	   0.38166 	   0.38132 	    0.077808 	     0.077669 	     0.155477 
200 	 8 	       55.819 	       55.929 	   0.41192 	   0.41124 	    0.077220 	     0.077195 	     0.154415 
300 	 8 	       56.211 	       56.328 	   0.42778 	   0.42731 	    0.077378 	     0.077336 	     0.154713 
400 	 8 	       56.434 	       56.512 	   0.44103 	   0.44070 	    0.077162 	     0.077102 	     0.154264 
500 	 8 	       57.490 	       57.634 	   0.41658 	   0.41609 	    0.081044 	     0.080958 	     0.162003 
600 	 8 	       56.538 	       56.620 	   0.39124 	   0.39049 	    0.079280 	     0.079218 	     0.158498 
700 	 8 	       55.809 	       55.870 	   0.38339 	   0.38280 	    0.078287 	     0.078234 	     0.156521 
800 	 8 	       55.713 	       55.807 	   0.38119 	   0.38057 	    0.078318 	     0.078273 	     0.156592 
900 	 8 	       55.931 	       56.055 	   0.37318 	   0.37258 	    0.079432 	     0.079386 	     0.158818 
1000 	 8 	       46.816 	       46.705 	   0.58856 	   0.58748 	    0.043327 	     0.043366 	     0.086693 
1100 	 8 	       46.058 	       46.012 	   0.60811 	   0.60674 	    0.041677 	     0.041724 	     0.083400 
1200 	 8 	       45.447 	       45.411 	   0.61619 	   0.61456 	    0.039083 	     0.039156 	     0.078240 
1300 	 8 	       45.308 	       45.267 	   0.62047 	   0.61871 	    0.038141 	     0.038225 	     0.076366 
1400 	 8 	       45.322 	       45.292 	   0.62404 	   0.62218 	    0.037964 	     0.038052 	     0.076015 
1500 	 8 	       45.340 	       45.319 	   0.62771 	   0.62578 	    0.037895 	     0.037985 	     0.075880 
1600 	 8 	       45.390 	       45.366 	   0.63116 	   0.62923 	    0.037858 	     0.037942 	     0.075800 
1700 	 8 	       45.491 	       45.430 	   0.63262 	   0.63086 	    0.037890 	     0.037951 	     0.075840 
1800 	 8 	       45.411 	       45.308 	   0.63360 	   0.63199 	    0.037566 	     0.037610 	     0.075176 
1900 	 8 	       45.425 	       45.301 	   0.63123 	   0.62966 	    0.037476 	     0.037517 	     0.074993 
2000 	 8 	       42.373 	       42.093 	   0.70638 	   0.70448 	    0.025755 	     0.025840 	     0.051594 
2100 	 8 	       42.055 	       41.756 	   0.71003 	   0.70822 	    0.025574 	     0.025652 	     0.051226 
2200 	 8 	       42.097 	       41.786 	   0.70912 	   0.70734 	    0.025617 	     0.025691 	     0.051308 
2300 	 8 	       42.116 	       41.797 	   0.70875 	   0.70699 	    0.025664 	     0.025736 	     0.051400 
2400 	 8 	       42.118 	       41.793 	   0.70884 	   0.70709 	    0.025687 	     0.025756 	     0.051444 
2500 	 8 	       42.109 	       41.784 	   0.70922 	   0.70748 	    0.025690 	     0.025758 	     0.051449 
2600 	 8 	       42.094 	       41.767 	   0.70977 	   0.70804 	    0.025681 	     0.025749 	     0.051430 
2700 	 8 	       42.077 	       41.749 	   0.71041 	   0.70867 	    0.025667 	     0.025734 	     0.051401 
2800 	 8 	       42.061 	       41.732 	   0.71107 	   0.70933 	    0.025653 	     0.025720 	     0.051372 
2900 	 8 	       42.048 	       41.718 	   0.71171 	   0.70997 	    0.025642 	     0.025709 	     0.051352 
3000 	 8 	       40.846 	       40.437 	   0.74552 	   0.74358 	    0.020969 	     0.021061 	     0.042029 
3100 	 8 	       40.410 	       39.959 	   0.75204 	   0.75015 	    0.020729 	     0.020817 	     0.041546 
