 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 10 	       51.762 	       51.496 	   0.59169 	   0.59170 	    0.064610 	     0.064405 	     0.129015 
200 	 10 	       50.038 	       49.849 	   0.50192 	   0.50095 	    0.057796 	     0.057736 	     0.115533 
300 	 10 	       45.207 	       44.886 	   0.54292 	   0.54229 	    0.047051 	     0.047001 	     0.094052 
400 	 10 	       43.948 	       43.511 	   0.57231 	   0.57181 	    0.043759 	     0.043696 	     0.087455 
500 	 10 	       43.810 	       43.506 	   0.58946 	   0.58892 	    0.041944 	     0.041865 	     0.083809 
600 	 10 	       44.527 	       44.185 	   0.59396 	   0.59351 	    0.041156 	     0.041055 	     0.082211 
700 	 10 	       44.819 	       44.522 	   0.59511 	   0.59470 	    0.040916 	     0.040811 	     0.081727 
800 	 10 	       44.948 	       44.668 	   0.59769 	   0.59728 	    0.040303 	     0.040206 	     0.080509 
900 	 10 	       44.736 	       44.494 	   0.60249 	   0.60201 	    0.039358 	     0.039282 	     0.078640 
1000 	 10 	       40.201 	       40.040 	   0.69335 	   0.69327 	    0.028706 	     0.028624 	     0.057330 
1100 	 10 	       40.089 	       39.899 	   0.68986 	   0.69032 	    0.028523 	     0.028397 	     0.056919 
1200 	 10 	       39.459 	       39.294 	   0.69478 	   0.69538 	    0.027766 	     0.027630 	     0.055396 
1300 	 10 	       39.225 	       39.094 	   0.69906 	   0.69972 	    0.027396 	     0.027255 	     0.054651 
1400 	 10 	       39.089 	       39.001 	   0.70189 	   0.70259 	    0.027159 	     0.027018 	     0.054176 
1500 	 10 	       39.006 	       38.911 	   0.70303 	   0.70371 	    0.027039 	     0.026901 	     0.053940 
1600 	 10 	       38.998 	       38.912 	   0.70318 	   0.70382 	    0.027007 	     0.026872 	     0.053879 
1700 	 10 	       39.087 	       39.020 	   0.70279 	   0.70337 	    0.027065 	     0.026935 	     0.054000 
1800 	 10 	       39.243 	       39.191 	   0.70220 	   0.70271 	    0.027190 	     0.027065 	     0.054256 
1900 	 10 	       39.237 	       39.204 	   0.70116 	   0.70158 	    0.027274 	     0.027154 	     0.054428 
2000 	 10 	       36.113 	       36.001 	   0.75065 	   0.75099 	    0.021485 	     0.021389 	     0.042874 
2100 	 10 	       35.082 	       35.015 	   0.76219 	   0.76255 	    0.020506 	     0.020407 	     0.040913 
2200 	 10 	       34.939 	       34.874 	   0.76369 	   0.76402 	    0.020405 	     0.020308 	     0.040712 
2300 	 10 	       34.837 	       34.776 	   0.76444 	   0.76476 	    0.020348 	     0.020252 	     0.040599 
2400 	 10 	       34.680 	       34.632 	   0.76603 	   0.76633 	    0.020252 	     0.020156 	     0.040408 
2500 	 10 	       34.398 	       34.378 	   0.76887 	   0.76917 	    0.020117 	     0.020019 	     0.040135 
2600 	 10 	       33.946 	       33.982 	   0.77091 	   0.77122 	    0.020147 	     0.020042 	     0.040189 
2700 	 10 	       33.832 	       33.887 	   0.77053 	   0.77084 	    0.020180 	     0.020071 	     0.040251 
2800 	 10 	       33.670 	       33.722 	   0.77181 	   0.77211 	    0.020023 	     0.019913 	     0.039936 
2900 	 10 	       33.560 	       33.597 	   0.77228 	   0.77257 	    0.019932 	     0.019821 	     0.039753 
3000 	 10 	       31.805 	       31.793 	   0.80519 	   0.80541 	    0.016430 	     0.016341 	     0.032771 
3100 	 10 	       31.605 	       31.623 	   0.80392 	   0.80412 	    0.016907 	     0.016817 	     0.033723 
3200 	 10 	       31.819 	       31.837 	   0.79954 	   0.79971 	    0.017361 	     0.017271 	     0.034633 
