 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 9 	       41.738 	        0.000 	   0.65966 	   0.00000 	    0.038788 	    -1.#IND00 	    -1.#IND00 
200 	 9 	       42.792 	        0.000 	   0.66678 	   0.00000 	    0.041624 	    -1.#IND00 	    -1.#IND00 
300 	 9 	       41.099 	        0.000 	   0.72581 	   0.00000 	    0.033857 	    -1.#IND00 	    -1.#IND00 
400 	 9 	       40.457 	        0.000 	   0.72922 	   0.00000 	    0.032523 	    -1.#IND00 	    -1.#IND00 
500 	 9 	       40.215 	        0.000 	   0.72835 	   0.00000 	    0.031992 	    -1.#IND00 	    -1.#IND00 
600 	 9 	       39.869 	        0.000 	   0.72878 	   0.00000 	    0.030807 	    -1.#IND00 	    -1.#IND00 
700 	 9 	       39.537 	        0.000 	   0.73670 	   0.00000 	    0.029245 	    -1.#IND00 	    -1.#IND00 
800 	 9 	       39.624 	        0.000 	   0.73849 	   0.00000 	    0.028651 	    -1.#IND00 	    -1.#IND00 
900 	 9 	       39.746 	        0.000 	   0.73740 	   0.00000 	    0.028386 	    -1.#IND00 	    -1.#IND00 
1000 	 9 	       37.299 	        0.000 	   0.80403 	   0.00000 	    0.015404 	    -1.#IND00 	    -1.#IND00 
1100 	 9 	       33.863 	        0.000 	   0.83244 	   0.00000 	    0.013713 	    -1.#IND00 	    -1.#IND00 
1200 	 9 	       33.427 	        0.000 	   0.84098 	   0.00000 	    0.012816 	    -1.#IND00 	    -1.#IND00 
1300 	 9 	       33.400 	        0.000 	   0.84584 	   0.00000 	    0.012209 	    -1.#IND00 	    -1.#IND00 
1400 	 9 	       33.195 	        0.000 	   0.84884 	   0.00000 	    0.011889 	    -1.#IND00 	    -1.#IND00 
1500 	 9 	       32.990 	        0.000 	   0.84778 	   0.00000 	    0.012128 	    -1.#IND00 	    -1.#IND00 
1600 	 9 	       32.591 	        0.000 	   0.84721 	   0.00000 	    0.012492 	    -1.#IND00 	    -1.#IND00 
1700 	 9 	       32.585 	        0.000 	   0.84473 	   0.00000 	    0.012676 	    -1.#IND00 	    -1.#IND00 
1800 	 9 	       32.526 	        0.000 	   0.84327 	   0.00000 	    0.012764 	    -1.#IND00 	    -1.#IND00 
1900 	 9 	       32.371 	        0.000 	   0.84154 	   0.00000 	    0.012906 	    -1.#IND00 	    -1.#IND00 
2000 	 9 	       30.924 	        0.000 	   0.87001 	   0.00000 	    0.010027 	    -1.#IND00 	    -1.#IND00 
2100 	 9 	       30.161 	        0.000 	   0.87817 	   0.00000 	    0.009391 	    -1.#IND00 	    -1.#IND00 
2200 	 9 	       30.183 	        0.000 	   0.87716 	   0.00000 	    0.009446 	    -1.#IND00 	    -1.#IND00 
