 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 8 	       65.024 	       64.749 	   0.58026 	   0.57939 	    0.100743 	     0.100539 	     0.201281 
200 	 8 	       62.956 	       62.906 	   0.63199 	   0.63150 	    0.090795 	     0.090613 	     0.181408 
300 	 8 	       60.555 	       60.616 	   0.58089 	   0.58014 	    0.083577 	     0.083411 	     0.166989 
400 	 8 	       57.432 	       57.554 	   0.53757 	   0.53714 	    0.076551 	     0.076395 	     0.152945 
500 	 8 	       53.929 	       53.887 	   0.54066 	   0.54004 	    0.068855 	     0.068739 	     0.137595 
600 	 8 	       50.035 	       49.776 	   0.50392 	   0.50380 	    0.062308 	     0.062173 	     0.124481 
700 	 8 	       48.814 	       48.425 	   0.48057 	   0.48050 	    0.060361 	     0.060224 	     0.120585 
800 	 8 	       48.825 	       48.500 	   0.47462 	   0.47456 	    0.061240 	     0.061099 	     0.122339 
900 	 8 	       49.010 	       48.742 	   0.47548 	   0.47527 	    0.061495 	     0.061357 	     0.122852 
1000 	 8 	       42.928 	       42.633 	   0.62642 	   0.62629 	    0.038996 	     0.038908 	     0.077904 
1100 	 8 	       41.717 	       41.427 	   0.67229 	   0.67209 	    0.036044 	     0.035965 	     0.072009 
1200 	 8 	       40.944 	       40.654 	   0.68842 	   0.68825 	    0.033981 	     0.033900 	     0.067881 
1300 	 8 	       40.241 	       39.920 	   0.70290 	   0.70277 	    0.031899 	     0.031819 	     0.063718 
1400 	 8 	       39.610 	       39.257 	   0.71345 	   0.71335 	    0.030158 	     0.030081 	     0.060239 
1500 	 8 	       39.343 	       38.979 	   0.71808 	   0.71799 	    0.029406 	     0.029330 	     0.058735 
1600 	 8 	       39.155 	       38.794 	   0.72109 	   0.72100 	    0.028914 	     0.028839 	     0.057753 
1700 	 8 	       39.011 	       38.651 	   0.72344 	   0.72336 	    0.028534 	     0.028459 	     0.056992 
1800 	 8 	       38.898 	       38.536 	   0.72544 	   0.72537 	    0.028229 	     0.028154 	     0.056383 
1900 	 8 	       38.803 	       38.439 	   0.72720 	   0.72715 	    0.027983 	     0.027909 	     0.055892 
2000 	 8 	       35.096 	       34.701 	   0.79932 	   0.79933 	    0.019298 	     0.019243 	     0.038541 
2100 	 8 	       34.280 	       33.856 	   0.80981 	   0.81001 	    0.018590 	     0.018526 	     0.037115 
2200 	 8 	       34.146 	       33.705 	   0.81131 	   0.81159 	    0.018527 	     0.018457 	     0.036983 
2300 	 8 	       34.060 	       33.611 	   0.81250 	   0.81284 	    0.018467 	     0.018393 	     0.036860 
2400 	 8 	       34.003 	       33.551 	   0.81346 	   0.81383 	    0.018434 	     0.018358 	     0.036793 
2500 	 8 	       33.961 	       33.511 	   0.81417 	   0.81457 	    0.018427 	     0.018349 	     0.036776 
2600 	 8 	       33.924 	       33.475 	   0.81467 	   0.81509 	    0.018432 	     0.018353 	     0.036785 
2700 	 8 	       33.891 	       33.440 	   0.81503 	   0.81546 	    0.018440 	     0.018359 	     0.036800 
2800 	 8 	       33.858 	       33.403 	   0.81528 	   0.81572 	    0.018448 	     0.018367 	     0.036815 
2900 	 8 	       33.819 	       33.366 	   0.81548 	   0.81592 	    0.018456 	     0.018374 	     0.036829 
3000 	 8 	       31.944 	       31.474 	   0.85230 	   0.85264 	    0.014530 	     0.014465 	     0.028995 
3100 	 8 	       31.336 	       30.856 	   0.85681 	   0.85719 	    0.014178 	     0.014110 	     0.028289 
3200 	 8 	       31.282 	       30.793 	   0.85660 	   0.85700 	    0.014196 	     0.014126 	     0.028322 
3300 	 8 	       31.244 	       30.748 	   0.85644 	   0.85685 	    0.014209 	     0.014138 	     0.028347 
3400 	 8 	       31.209 	       30.711 	   0.85637 	   0.85678 	    0.014215 	     0.014143 	     0.028359 
3500 	 8 	       31.176 	       30.677 	   0.85639 	   0.85680 	    0.014216 	     0.014144 	     0.028360 
3600 	 8 	       31.144 	       30.645 	   0.85647 	   0.85689 	    0.014213 	     0.014140 	     0.028353 
3700 	 8 	       31.114 	       30.617 	   0.85662 	   0.85704 	    0.014206 	     0.014133 	     0.028340 
3800 	 8 	       31.087 	       30.590 	   0.85681 	   0.85723 	    0.014197 	     0.014124 	     0.028321 
3900 	 8 	       31.061 	       30.564 	   0.85704 	   0.85746 	    0.014186 	     0.014113 	     0.028299 
4000 	 8 	       30.079 	       29.573 	   0.87791 	   0.87821 	    0.012063 	     0.012004 	     0.024066 
4100 	 8 	       29.610 	       29.083 	   0.88148 	   0.88181 	    0.011723 	     0.011662 	     0.023385 
4200 	 8 	       29.571 	       29.032 	   0.88131 	   0.88164 	    0.011730 	     0.011668 	     0.023398 
4300 	 8 	       29.546 	       28.997 	   0.88117 	   0.88151 	    0.011737 	     0.011674 	     0.023411 
4400 	 8 	       29.520 	       28.964 	   0.88110 	   0.88144 	    0.011738 	     0.011675 	     0.023413 
4500 	 8 	       29.495 	       28.933 	   0.88109 	   0.88143 	    0.011735 	     0.011671 	     0.023405 
4600 	 8 	       29.470 	       28.903 	   0.88112 	   0.88147 	    0.011727 	     0.011663 	     0.023391 
4700 	 8 	       29.445 	       28.876 	   0.88120 	   0.88154 	    0.011717 	     0.011653 	     0.023371 
4800 	 8 	       29.422 	       28.849 	   0.88131 	   0.88165 	    0.011705 	     0.011641 	     0.023347 
4900 	 8 	       29.399 	       28.824 	   0.88145 	   0.88179 	    0.011691 	     0.011627 	     0.023319 
5000 	 8 	       28.824 	       28.245 	   0.89362 	   0.89386 	    0.010442 	     0.010388 	     0.020830 
5100 	 8 	       28.475 	       27.906 	   0.89614 	   0.89641 	    0.010194 	     0.010138 	     0.020332 
5200 	 8 	       28.443 	       27.871 	   0.89586 	   0.89613 	    0.010209 	     0.010152 	     0.020361 
5300 	 8 	       28.422 	       27.847 	   0.89561 	   0.89589 	    0.010224 	     0.010166 	     0.020391 
5400 	 8 	       28.401 	       27.823 	   0.89542 	   0.89570 	    0.010233 	     0.010175 	     0.020409 
5500 	 8 	       28.380 	       27.799 	   0.89529 	   0.89556 	    0.010237 	     0.010179 	     0.020416 
5600 	 8 	       28.359 	       27.775 	   0.89520 	   0.89547 	    0.010237 	     0.010178 	     0.020415 
5700 	 8 	       28.338 	       27.752 	   0.89514 	   0.89542 	    0.010233 	     0.010174 	     0.020408 
5800 	 8 	       28.317 	       27.730 	   0.89512 	   0.89540 	    0.010227 	     0.010168 	     0.020396 
5900 	 8 	       28.297 	       27.708 	   0.89514 	   0.89541 	    0.010219 	     0.010160 	     0.020379 
6000 	 8 	       27.939 	       27.361 	   0.90287 	   0.90308 	    0.009409 	     0.009357 	     0.018767 
6100 	 8 	       27.707 	       27.133 	   0.90461 	   0.90483 	    0.009248 	     0.009195 	     0.018443 
6200 	 8 	       27.683 	       27.103 	   0.90434 	   0.90455 	    0.009263 	     0.009209 	     0.018473 
6300 	 8 	       27.663 	       27.077 	   0.90415 	   0.90437 	    0.009273 	     0.009218 	     0.018491 
6400 	 8 	       27.643 	       27.053 	   0.90404 	   0.90427 	    0.009275 	     0.009221 	     0.018496 
6500 	 8 	       27.624 	       27.030 	   0.90400 	   0.90422 	    0.009274 	     0.009219 	     0.018493 
6600 	 8 	       27.607 	       27.009 	   0.90400 	   0.90422 	    0.009270 	     0.009215 	     0.018485 
6700 	 8 	       27.592 	       26.990 	   0.90403 	   0.90426 	    0.009265 	     0.009210 	     0.018475 
6800 	 8 	       27.579 	       26.973 	   0.90409 	   0.90432 	    0.009259 	     0.009203 	     0.018462 
6900 	 8 	       27.567 	       26.958 	   0.90417 	   0.90440 	    0.009252 	     0.009196 	     0.018448 
7000 	 8 	       27.337 	       26.734 	   0.90958 	   0.90975 	    0.008687 	     0.008637 	     0.017324 
7100 	 8 	       27.195 	       26.593 	   0.91099 	   0.91117 	    0.008567 	     0.008516 	     0.017083 
7200 	 8 	       27.176 	       26.571 	   0.91099 	   0.91117 	    0.008567 	     0.008516 	     0.017082 
7300 	 8 	       27.161 	       26.551 	   0.91104 	   0.91122 	    0.008565 	     0.008513 	     0.017078 
7400 	 8 	       27.147 	       26.533 	   0.91112 	   0.91130 	    0.008561 	     0.008509 	     0.017070 
7500 	 8 	       27.136 	       26.518 	   0.91121 	   0.91140 	    0.008557 	     0.008505 	     0.017062 
7600 	 8 	       27.127 	       26.505 	   0.91131 	   0.91150 	    0.008553 	     0.008501 	     0.017054 
7700 	 8 	       27.118 	       26.493 	   0.91142 	   0.91160 	    0.008550 	     0.008497 	     0.017047 
7800 	 8 	       27.111 	       26.483 	   0.91152 	   0.91171 	    0.008546 	     0.008494 	     0.017040 
7900 	 8 	       27.104 	       26.473 	   0.91163 	   0.91182 	    0.008543 	     0.008491 	     0.017034 
8000 	 8 	       26.957 	       26.329 	   0.91546 	   0.91560 	    0.008136 	     0.008088 	     0.016224 
8100 	 8 	       26.844 	       26.214 	   0.91660 	   0.91675 	    0.008042 	     0.007993 	     0.016035 
8200 	 8 	       26.821 	       26.188 	   0.91671 	   0.91687 	    0.008040 	     0.007991 	     0.016031 
8300 	 8 	       26.801 	       26.164 	   0.91682 	   0.91697 	    0.008039 	     0.007990 	     0.016030 
8400 	 8 	       26.784 	       26.143 	   0.91691 	   0.91707 	    0.008040 	     0.007991 	     0.016030 
8500 	 8 	       26.769 	       26.125 	   0.91700 	   0.91715 	    0.008040 	     0.007991 	     0.016032 
8600 	 8 	       26.757 	       26.110 	   0.91708 	   0.91724 	    0.008041 	     0.007992 	     0.016034 
8700 	 8 	       26.746 	       26.097 	   0.91715 	   0.91731 	    0.008043 	     0.007993 	     0.016036 
8800 	 8 	       26.738 	       26.087 	   0.91722 	   0.91739 	    0.008044 	     0.007994 	     0.016038 
8900 	 8 	       26.731 	       26.078 	   0.91730 	   0.91746 	    0.008044 	     0.007995 	     0.016039 
9000 	 8 	       26.619 	       25.969 	   0.92004 	   0.92016 	    0.007737 	     0.007691 	     0.015428 
9100 	 8 	       26.514 	       25.865 	   0.92087 	   0.92102 	    0.007664 	     0.007617 	     0.015281 
9200 	 8 	       26.499 	       25.849 	   0.92093 	   0.92109 	    0.007666 	     0.007619 	     0.015285 
9300 	 8 	       26.488 	       25.836 	   0.92099 	   0.92115 	    0.007668 	     0.007620 	     0.015287 
9400 	 8 	       26.479 	       25.825 	   0.92106 	   0.92121 	    0.007668 	     0.007620 	     0.015288 
9500 	 8 	       26.472 	       25.816 	   0.92112 	   0.92128 	    0.007668 	     0.007620 	     0.015288 
9600 	 8 	       26.465 	       25.809 	   0.92118 	   0.92135 	    0.007668 	     0.007620 	     0.015287 
9700 	 8 	       26.460 	       25.803 	   0.92125 	   0.92141 	    0.007667 	     0.007619 	     0.015287 
9800 	 8 	       26.456 	       25.798 	   0.92131 	   0.92147 	    0.007667 	     0.007619 	     0.015286 
9900 	 8 	       26.452 	       25.794 	   0.92137 	   0.92154 	    0.007667 	     0.007618 	     0.015285 
10000 	 8 	       26.362 	       25.708 	   0.92336 	   0.92350 	    0.007426 	     0.007380 	     0.014806 
10100 	 8 	       26.273 	       25.615 	   0.92409 	   0.92425 	    0.007354 	     0.007307 	     0.014661 
10200 	 8 	       26.264 	       25.604 	   0.92415 	   0.92431 	    0.007354 	     0.007307 	     0.014660 
10300 	 8 	       26.256 	       25.596 	   0.92420 	   0.92437 	    0.007353 	     0.007306 	     0.014659 
10400 	 8 	       26.250 	       25.589 	   0.92426 	   0.92442 	    0.007352 	     0.007305 	     0.014658 
10500 	 8 	       26.245 	       25.583 	   0.92431 	   0.92448 	    0.007352 	     0.007304 	     0.014656 
10600 	 8 	       26.240 	       25.577 	   0.92436 	   0.92453 	    0.007351 	     0.007304 	     0.014655 
10700 	 8 	       26.236 	       25.572 	   0.92440 	   0.92458 	    0.007351 	     0.007303 	     0.014654 
10800 	 8 	       26.233 	       25.568 	   0.92445 	   0.92462 	    0.007350 	     0.007302 	     0.014653 
10900 	 8 	       26.230 	       25.564 	   0.92450 	   0.92467 	    0.007350 	     0.007302 	     0.014651 
11000 	 8 	       26.152 	       25.489 	   0.92596 	   0.92611 	    0.007158 	     0.007112 	     0.014270 
11100 	 8 	       26.073 	       25.408 	   0.92663 	   0.92680 	    0.007085 	     0.007038 	     0.014123 
11200 	 8 	       26.067 	       25.400 	   0.92669 	   0.92686 	    0.007083 	     0.007036 	     0.014119 
11300 	 8 	       26.062 	       25.394 	   0.92673 	   0.92690 	    0.007082 	     0.007035 	     0.014117 
