 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 5 	      121.531 	      111.782 	   0.32237 	   0.02553 	    0.068663 	     0.146438 	     0.215101 
200 	 5 	      119.993 	      114.123 	   0.32387 	   0.02661 	    0.069554 	     0.152740 	     0.222294 
300 	 5 	      118.604 	      113.511 	   0.32881 	   0.02753 	    0.066606 	     0.152123 	     0.218729 
400 	 5 	      118.911 	      112.493 	   0.32918 	   0.02746 	    0.066866 	     0.148830 	     0.215696 
500 	 5 	      118.424 	      112.059 	   0.33168 	   0.02725 	    0.066006 	     0.147872 	     0.213878 
600 	 5 	      117.887 	      112.049 	   0.33448 	   0.02691 	    0.065107 	     0.148044 	     0.213152 
700 	 5 	      117.577 	      112.091 	   0.33646 	   0.02663 	    0.064594 	     0.148109 	     0.212702 
800 	 5 	      117.430 	      112.002 	   0.33776 	   0.02641 	    0.064337 	     0.147716 	     0.212053 
900 	 5 	      117.388 	      111.845 	   0.33857 	   0.02620 	    0.064223 	     0.147049 	     0.211272 
1000 	 5 	      110.519 	      111.259 	   0.35580 	   0.02990 	    0.056853 	     0.151349 	     0.208202 
1100 	 5 	      117.528 	      111.953 	   0.34469 	   0.02793 	    0.060052 	     0.149587 	     0.209639 
1200 	 5 	      117.649 	      111.182 	   0.34467 	   0.02771 	    0.060393 	     0.142945 	     0.203338 
1300 	 5 	      117.551 	      111.082 	   0.34423 	   0.02792 	    0.060746 	     0.137801 	     0.198546 
1400 	 5 	      117.551 	      111.362 	   0.34385 	   0.02854 	    0.060966 	     0.137209 	     0.198175 
1500 	 5 	      117.621 	      112.035 	   0.34365 	   0.02903 	    0.061068 	     0.139484 	     0.200552 
1600 	 5 	      117.695 	      113.094 	   0.34359 	   0.02913 	    0.061131 	     0.142758 	     0.203888 
1700 	 5 	      117.719 	      114.400 	   0.34370 	   0.02885 	    0.061133 	     0.147222 	     0.208355 
1800 	 5 	      117.555 	      112.870 	   0.34408 	   0.03182 	    0.060980 	     0.141176 	     0.202156 
1900 	 5 	      117.306 	      110.618 	   0.34397 	   0.03627 	    0.061086 	     0.131588 	     0.192674 
2000 	 5 	      115.541 	      107.448 	   0.35515 	   0.04322 	    0.056197 	     0.125953 	     0.182149 
2100 	 5 	      114.881 	      105.641 	   0.35949 	   0.05660 	    0.056150 	     0.112023 	     0.168173 
2200 	 5 	      114.874 	      105.852 	   0.36018 	   0.06296 	    0.056210 	     0.106353 	     0.162563 
2300 	 5 	      114.880 	      106.164 	   0.36039 	   0.06652 	    0.056232 	     0.103395 	     0.159627 
2400 	 5 	      114.863 	      106.414 	   0.36044 	   0.06834 	    0.056233 	     0.101793 	     0.158025 
2500 	 5 	      114.832 	      106.592 	   0.36044 	   0.06902 	    0.056225 	     0.100984 	     0.157209 
2600 	 5 	      114.796 	      106.706 	   0.36042 	   0.06894 	    0.056224 	     0.100668 	     0.156892 
2700 	 5 	      114.760 	      106.777 	   0.36041 	   0.06843 	    0.056234 	     0.100650 	     0.156884 
2800 	 5 	      114.725 	      106.815 	   0.36040 	   0.06765 	    0.056253 	     0.100812 	     0.157065 
2900 	 5 	      114.689 	      106.826 	   0.36040 	   0.06670 	    0.056276 	     0.101105 	     0.157381 
3000 	 5 	      114.248 	      105.362 	   0.36597 	   0.06829 	    0.053885 	     0.101111 	     0.154995 
3100 	 5 	      113.926 	      108.038 	   0.36923 	   0.08488 	    0.053846 	     0.092094 	     0.145940 
3200 	 5 	      113.810 	      115.630 	   0.37101 	   0.11376 	    0.053511 	     0.084125 	     0.137636 
3300 	 5 	      113.016 	      130.065 	   0.37486 	   0.13642 	    0.052484 	     0.089267 	     0.141751 
3400 	 5 	      112.984 	      130.525 	   0.37485 	   0.13659 	    0.052468 	     0.089663 	     0.142131 
3500 	 5 	      112.982 	      130.695 	   0.37485 	   0.13664 	    0.052471 	     0.089864 	     0.142336 
3600 	 5 	      112.982 	      130.750 	   0.37487 	   0.13657 	    0.052479 	     0.089990 	     0.142469 
3700 	 5 	      112.980 	      130.741 	   0.37489 	   0.13641 	    0.052487 	     0.090072 	     0.142559 
3800 	 5 	      112.976 	      130.696 	   0.37490 	   0.13618 	    0.052493 	     0.090128 	     0.142621 
3900 	 5 	      112.970 	      130.632 	   0.37492 	   0.13591 	    0.052499 	     0.090167 	     0.142665 
4000 	 5 	      112.910 	      133.688 	   0.37876 	   0.13673 	    0.050899 	     0.092927 	     0.143826 
4100 	 5 	      112.585 	      144.866 	   0.38240 	   0.12600 	    0.050659 	     0.105893 	     0.156552 
4200 	 5 	      112.620 	      144.154 	   0.38250 	   0.12726 	    0.050749 	     0.104947 	     0.155696 
4300 	 5 	      112.637 	      143.591 	   0.38255 	   0.12806 	    0.050782 	     0.104290 	     0.155072 
4400 	 5 	      112.646 	      143.205 	   0.38258 	   0.12850 	    0.050795 	     0.103895 	     0.154689 
4500 	 5 	      112.652 	      142.907 	   0.38261 	   0.12879 	    0.050800 	     0.103614 	     0.154414 
4600 	 5 	      112.656 	      142.658 	   0.38264 	   0.12900 	    0.050801 	     0.103388 	     0.154189 
4700 	 5 	      112.657 	      142.441 	   0.38266 	   0.12915 	    0.050802 	     0.103195 	     0.153997 
