 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 6 	      120.964 	      112.502 	   0.32531 	   0.02602 	    0.067177 	     0.151504 	     0.218681 
200 	 6 	      119.080 	      114.382 	   0.32628 	   0.02685 	    0.068077 	     0.154495 	     0.222572 
300 	 6 	      119.457 	      113.054 	   0.32675 	   0.02697 	    0.068188 	     0.150621 	     0.218809 
400 	 6 	      119.445 	      111.836 	   0.32796 	   0.02662 	    0.067822 	     0.147281 	     0.215104 
500 	 6 	      118.112 	      111.100 	   0.33367 	   0.02585 	    0.065613 	     0.147350 	     0.212962 
600 	 6 	      117.700 	      111.512 	   0.33668 	   0.02495 	    0.064782 	     0.149389 	     0.214171 
700 	 6 	      117.698 	      112.004 	   0.33811 	   0.02417 	    0.064424 	     0.151014 	     0.215438 
800 	 6 	      117.900 	      112.922 	   0.33863 	   0.02316 	    0.064292 	     0.153355 	     0.217647 
900 	 6 	      118.245 	      114.965 	   0.33834 	   0.02200 	    0.064354 	     0.157870 	     0.222224 
1000 	 6 	      111.731 	      115.531 	   0.35511 	   0.02574 	    0.057236 	     0.162964 	     0.220200 
1100 	 6 	      111.056 	      113.643 	   0.36538 	   0.02605 	    0.055944 	     0.159880 	     0.215824 
1200 	 6 	      111.636 	      115.018 	   0.36331 	   0.02677 	    0.056427 	     0.162828 	     0.219254 
1300 	 6 	      116.942 	      119.871 	   0.34122 	   0.02667 	    0.062371 	     0.168973 	     0.231344 
1400 	 6 	      119.184 	      121.932 	   0.33569 	   0.02430 	    0.066708 	     0.171686 	     0.238394 
1500 	 6 	      120.208 	      122.396 	   0.33311 	   0.02287 	    0.068802 	     0.171670 	     0.240472 
1600 	 6 	      120.872 	      120.523 	   0.33138 	   0.02159 	    0.070168 	     0.168251 	     0.238419 
1700 	 6 	      121.310 	      118.537 	   0.33057 	   0.02060 	    0.070760 	     0.164521 	     0.235281 
1800 	 6 	      121.666 	      117.418 	   0.33041 	   0.02033 	    0.070771 	     0.162235 	     0.233006 
1900 	 6 	      121.836 	      116.352 	   0.33031 	   0.02060 	    0.070617 	     0.159931 	     0.230549 
2000 	 6 	      118.009 	      113.257 	   0.34603 	   0.02456 	    0.062279 	     0.155957 	     0.218235 
2100 	 6 	      115.900 	      110.551 	   0.35125 	   0.02778 	    0.059238 	     0.151098 	     0.210337 
2200 	 6 	      116.169 	      110.407 	   0.35181 	   0.02808 	    0.059481 	     0.150205 	     0.209686 
2300 	 6 	      116.315 	      109.952 	   0.35237 	   0.02850 	    0.059537 	     0.148164 	     0.207701 
2400 	 6 	      116.414 	      109.175 	   0.35288 	   0.02895 	    0.059562 	     0.144717 	     0.204279 
2500 	 6 	      116.500 	      108.272 	   0.35321 	   0.02939 	    0.059677 	     0.139747 	     0.199424 
2600 	 6 	      116.601 	      108.273 	   0.35330 	   0.02984 	    0.059917 	     0.133734 	     0.193651 
2700 	 6 	      116.776 	      108.901 	   0.35327 	   0.03034 	    0.060203 	     0.127614 	     0.187817 
2800 	 6 	      117.017 	      110.026 	   0.35323 	   0.03106 	    0.060461 	     0.121678 	     0.182138 
2900 	 6 	      117.287 	      111.540 	   0.35318 	   0.03212 	    0.060692 	     0.115791 	     0.176483 
3000 	 6 	      116.899 	      112.196 	   0.36167 	   0.03609 	    0.057814 	     0.108998 	     0.166812 
3100 	 6 	      116.075 	      113.399 	   0.36309 	   0.03976 	    0.057528 	     0.104742 	     0.162270 
3200 	 6 	      116.826 	      116.022 	   0.36253 	   0.03920 	    0.058195 	     0.101921 	     0.160116 
3300 	 6 	      117.593 	      118.611 	   0.36192 	   0.03482 	    0.058646 	     0.101215 	     0.159861 
3400 	 6 	      118.268 	      120.705 	   0.36130 	   0.02877 	    0.058899 	     0.102176 	     0.161075 
3500 	 6 	      118.637 	      121.568 	   0.36086 	   0.02362 	    0.058934 	     0.104244 	     0.163178 
3600 	 6 	      118.691 	      120.853 	   0.36081 	   0.02015 	    0.058824 	     0.107577 	     0.166401 
3700 	 6 	      118.604 	      119.682 	   0.36095 	   0.01793 	    0.058712 	     0.111298 	     0.170010 
3800 	 6 	      118.499 	      119.021 	   0.36112 	   0.01640 	    0.058640 	     0.114304 	     0.172944 
3900 	 6 	      118.409 	      118.820 	   0.36127 	   0.01520 	    0.058599 	     0.116362 	     0.174961 
4000 	 6 	      117.574 	      117.834 	   0.36701 	   0.01512 	    0.056690 	     0.117262 	     0.173952 
4100 	 6 	      117.855 	      114.873 	   0.36839 	   0.01405 	    0.056556 	     0.128003 	     0.184559 
4200 	 6 	      117.743 	      113.985 	   0.36879 	   0.01413 	    0.056396 	     0.131972 	     0.188368 
4300 	 6 	      117.680 	      113.550 	   0.36889 	   0.01416 	    0.056339 	     0.134162 	     0.190500 
4400 	 6 	      117.649 	      113.303 	   0.36887 	   0.01411 	    0.056322 	     0.135361 	     0.191683 
4500 	 6 	      117.635 	      113.169 	   0.36881 	   0.01401 	    0.056319 	     0.135970 	     0.192289 
4600 	 6 	      117.628 	      113.092 	   0.36876 	   0.01387 	    0.056320 	     0.136203 	     0.192522 
4700 	 6 	      117.620 	      113.056 	   0.36873 	   0.01373 	    0.056320 	     0.136181 	     0.192501 
4800 	 6 	      117.617 	      113.039 	   0.36873 	   0.01359 	    0.056317 	     0.135981 	     0.192299 
4900 	 6 	      117.617 	      113.039 	   0.36876 	   0.01346 	    0.056311 	     0.135655 	     0.191966 
5000 	 6 	      116.755 	      112.176 	   0.37262 	   0.01383 	    0.054878 	     0.135156 	     0.190034 
5100 	 6 	      117.148 	      111.317 	   0.37357 	   0.01506 	    0.054803 	     0.141249 	     0.196052 
5200 	 6 	      117.117 	      111.127 	   0.37366 	   0.01548 	    0.054748 	     0.142035 	     0.196783 
5300 	 6 	      117.107 	      110.958 	   0.37368 	   0.01578 	    0.054718 	     0.142347 	     0.197065 
5400 	 6 	      117.114 	      110.808 	   0.37372 	   0.01601 	    0.054694 	     0.142450 	     0.197143 
5500 	 6 	      117.130 	      110.673 	   0.37380 	   0.01619 	    0.054671 	     0.142419 	     0.197090 
5600 	 6 	      117.153 	      110.549 	   0.37393 	   0.01634 	    0.054648 	     0.142286 	     0.196934 
5700 	 6 	      117.179 	      110.431 	   0.37410 	   0.01646 	    0.054625 	     0.142064 	     0.196689 
5800 	 6 	      117.208 	      110.324 	   0.37432 	   0.01657 	    0.054603 	     0.141756 	     0.196359 
5900 	 6 	      117.237 	      110.224 	   0.37457 	   0.01665 	    0.054581 	     0.141364 	     0.195945 
6000 	 6 	      116.186 	      109.375 	   0.37752 	   0.01692 	    0.053221 	     0.140589 	     0.193810 
6100 	 6 	      116.762 	      109.329 	   0.37809 	   0.01758 	    0.053175 	     0.144591 	     0.197765 
6200 	 6 	      116.752 	      109.166 	   0.37842 	   0.01789 	    0.053114 	     0.144812 	     0.197926 
6300 	 6 	      116.746 	      109.011 	   0.37868 	   0.01808 	    0.053078 	     0.144641 	     0.197719 
6400 	 6 	      116.748 	      108.869 	   0.37893 	   0.01822 	    0.053052 	     0.144342 	     0.197395 
6500 	 6 	      116.755 	      108.738 	   0.37920 	   0.01832 	    0.053032 	     0.143958 	     0.196990 
6600 	 6 	      116.765 	      108.619 	   0.37948 	   0.01839 	    0.053016 	     0.143497 	     0.196512 
6700 	 6 	      116.777 	      108.503 	   0.37979 	   0.01843 	    0.053002 	     0.142963 	     0.195965 
6800 	 6 	      116.789 	      108.398 	   0.38011 	   0.01844 	    0.052990 	     0.142358 	     0.195348 
6900 	 6 	      116.803 	      108.317 	   0.38046 	   0.01842 	    0.052980 	     0.141681 	     0.194661 
7000 	 6 	      115.578 	      107.465 	   0.38319 	   0.01848 	    0.051631 	     0.140522 	     0.192153 
7100 	 6 	      116.188 	      107.472 	   0.38361 	   0.01854 	    0.051576 	     0.143072 	     0.194647 
7200 	 6 	      116.193 	      107.388 	   0.38401 	   0.01858 	    0.051540 	     0.142932 	     0.194471 
7300 	 6 	      116.197 	      107.310 	   0.38438 	   0.01855 	    0.051526 	     0.142374 	     0.193900 
7400 	 6 	      116.211 	      107.267 	   0.38473 	   0.01848 	    0.051524 	     0.141689 	     0.193213 
7500 	 6 	      116.234 	      107.256 	   0.38511 	   0.01836 	    0.051530 	     0.140909 	     0.192439 
7600 	 6 	      116.268 	      107.286 	   0.38552 	   0.01819 	    0.051543 	     0.140022 	     0.191564 
7700 	 6 	      116.311 	      107.368 	   0.38599 	   0.01795 	    0.051562 	     0.138998 	     0.190560 
7800 	 6 	      116.358 	      107.489 	   0.38659 	   0.01763 	    0.051585 	     0.137795 	     0.189380 
7900 	 6 	      116.379 	      107.627 	   0.38744 	   0.01728 	    0.051598 	     0.136372 	     0.187970 
8000 	 6 	      114.965 	      106.906 	   0.39119 	   0.01716 	    0.050209 	     0.134313 	     0.184522 
8100 	 6 	      115.400 	      106.790 	   0.39242 	   0.01713 	    0.050095 	     0.134985 	     0.185080 
8200 	 6 	      115.265 	      106.713 	   0.39377 	   0.01732 	    0.050036 	     0.133674 	     0.183710 
8300 	 6 	      115.152 	      106.656 	   0.39500 	   0.01754 	    0.050011 	     0.131613 	     0.181624 
8400 	 6 	      115.083 	      106.652 	   0.39607 	   0.01783 	    0.050008 	     0.129227 	     0.179235 
8500 	 6 	      115.053 	      106.727 	   0.39698 	   0.01819 	    0.050017 	     0.126719 	     0.176736 
8600 	 6 	      115.053 	      106.827 	   0.39775 	   0.01864 	    0.050032 	     0.124233 	     0.174265 
8700 	 6 	      115.075 	      106.967 	   0.39841 	   0.01917 	    0.050049 	     0.121878 	     0.171927 
8800 	 6 	      115.111 	      107.107 	   0.39896 	   0.01976 	    0.050064 	     0.119727 	     0.169792 
8900 	 6 	      115.154 	      107.234 	   0.39943 	   0.02038 	    0.050078 	     0.117818 	     0.167896 
9000 	 6 	      113.757 	      106.383 	   0.40236 	   0.02120 	    0.048718 	     0.115765 	     0.164483 
9100 	 6 	      114.319 	      106.279 	   0.40295 	   0.02152 	    0.048681 	     0.115171 	     0.163852 
9200 	 6 	      114.348 	      106.274 	   0.40327 	   0.02196 	    0.048661 	     0.114211 	     0.162872 
9300 	 6 	      114.370 	      106.346 	   0.40354 	   0.02242 	    0.048650 	     0.113112 	     0.161763 
9400 	 6 	      114.391 	      106.456 	   0.40378 	   0.02287 	    0.048644 	     0.112079 	     0.160723 
9500 	 6 	      114.413 	      106.571 	   0.40399 	   0.02329 	    0.048639 	     0.111160 	     0.159799 
9600 	 6 	      114.435 	      106.673 	   0.40418 	   0.02368 	    0.048635 	     0.110358 	     0.158993 
9700 	 6 	      114.457 	      106.762 	   0.40435 	   0.02405 	    0.048630 	     0.109660 	     0.158290 
9800 	 6 	      114.476 	      106.836 	   0.40450 	   0.02439 	    0.048626 	     0.109051 	     0.157677 
9900 	 6 	      114.494 	      106.898 	   0.40464 	   0.02470 	    0.048622 	     0.108517 	     0.157139 
10000 	 6 	      113.004 	      105.946 	   0.40703 	   0.02521 	    0.047316 	     0.107613 	     0.154929 
10100 	 6 	      113.527 	      105.831 	   0.40755 	   0.02519 	    0.047264 	     0.107644 	     0.154908 
10200 	 6 	      113.543 	      105.788 	   0.40767 	   0.02528 	    0.047243 	     0.107460 	     0.154703 
10300 	 6 	      113.547 	      105.816 	   0.40779 	   0.02542 	    0.047229 	     0.107111 	     0.154341 
10400 	 6 	      113.548 	      105.864 	   0.40789 	   0.02557 	    0.047219 	     0.106744 	     0.153963 
10500 	 6 	      113.550 	      105.918 	   0.40799 	   0.02572 	    0.047210 	     0.106397 	     0.153607 
10600 	 6 	      113.553 	      105.971 	   0.40808 	   0.02588 	    0.047203 	     0.106079 	     0.153281 
10700 	 6 	      113.555 	      106.023 	   0.40816 	   0.02602 	    0.047196 	     0.105788 	     0.152984 
10800 	 6 	      113.558 	      106.072 	   0.40824 	   0.02616 	    0.047189 	     0.105522 	     0.152711 
10900 	 6 	      113.560 	      106.120 	   0.40831 	   0.02629 	    0.047183 	     0.105278 	     0.152460 
11000 	 6 	      112.043 	      105.188 	   0.41038 	   0.02662 	    0.045977 	     0.104648 	     0.150625 
11100 	 6 	      112.542 	      105.081 	   0.41090 	   0.02649 	    0.045916 	     0.104821 	     0.150738 
11200 	 6 	      112.553 	      105.030 	   0.41097 	   0.02645 	    0.045900 	     0.104842 	     0.150742 
11300 	 6 	      112.552 	      105.044 	   0.41104 	   0.02647 	    0.045889 	     0.104697 	     0.150586 
11400 	 6 	      112.548 	      105.076 	   0.41111 	   0.02652 	    0.045880 	     0.104513 	     0.150393 
11500 	 6 	      112.544 	      105.112 	   0.41117 	   0.02658 	    0.045872 	     0.104328 	     0.150200 
11600 	 6 	      112.540 	      105.146 	   0.41123 	   0.02665 	    0.045864 	     0.104154 	     0.150019 
11700 	 6 	      112.537 	      105.177 	   0.41129 	   0.02672 	    0.045857 	     0.103993 	     0.149850 
11800 	 6 	      112.534 	      105.204 	   0.41134 	   0.02679 	    0.045851 	     0.103845 	     0.149696 
11900 	 6 	      112.531 	      105.227 	   0.41139 	   0.02686 	    0.045844 	     0.103709 	     0.149554 
12000 	 6 	      111.057 	      104.315 	   0.41321 	   0.02711 	    0.044748 	     0.103234 	     0.147982 
12100 	 6 	      111.535 	      104.193 	   0.41373 	   0.02699 	    0.044684 	     0.103476 	     0.148159 
12200 	 6 	      111.545 	      104.114 	   0.41378 	   0.02691 	    0.044672 	     0.103608 	     0.148279 
12300 	 6 	      111.543 	      104.091 	   0.41383 	   0.02690 	    0.044663 	     0.103580 	     0.148243 
12400 	 6 	      111.537 	      104.084 	   0.41388 	   0.02692 	    0.044655 	     0.103508 	     0.148163 
12500 	 6 	      111.531 	      104.077 	   0.41393 	   0.02696 	    0.044648 	     0.103430 	     0.148078 
12600 	 6 	      111.526 	      104.063 	   0.41397 	   0.02701 	    0.044641 	     0.103362 	     0.148003 
12700 	 6 	      111.520 	      104.042 	   0.41402 	   0.02707 	    0.044635 	     0.103306 	     0.147941 
12800 	 6 	      111.515 	      104.010 	   0.41406 	   0.02714 	    0.044629 	     0.103266 	     0.147895 
12900 	 6 	      111.510 	      103.967 	   0.41410 	   0.02722 	    0.044623 	     0.103244 	     0.147867 
13000 	 6 	      110.101 	      103.044 	   0.41571 	   0.02745 	    0.043638 	     0.102951 	     0.146588 
13100 	 6 	      110.556 	      102.862 	   0.41622 	   0.02740 	    0.043573 	     0.103304 	     0.146877 
13200 	 6 	      110.566 	      102.699 	   0.41625 	   0.02737 	    0.043565 	     0.103590 	     0.147155 
13300 	 6 	      110.563 	      102.567 	   0.41629 	   0.02742 	    0.043558 	     0.103739 	     0.147297 
13400 	 6 	      110.557 	      102.425 	   0.41632 	   0.02753 	    0.043553 	     0.103863 	     0.147415 
13500 	 6 	      110.550 	      102.248 	   0.41635 	   0.02770 	    0.043548 	     0.104010 	     0.147559 
13600 	 6 	      110.544 	      102.014 	   0.41638 	   0.02795 	    0.043545 	     0.104212 	     0.147757 
13700 	 6 	      110.539 	      101.684 	   0.41640 	   0.02833 	    0.043545 	     0.104497 	     0.148042 
13800 	 6 	      110.542 	      101.178 	   0.41641 	   0.02899 	    0.043552 	     0.104910 	     0.148462 
13900 	 6 	      110.613 	      100.305 	   0.41639 	   0.03050 	    0.043603 	     0.105475 	     0.149078 
14000 	 6 	      109.997 	       99.070 	   0.41781 	   0.03399 	    0.043411 	     0.105682 	     0.149093 
14100 	 6 	      110.865 	       99.129 	   0.41813 	   0.03307 	    0.043706 	     0.107364 	     0.151070 
14200 	 6 	      110.984 	       99.146 	   0.41816 	   0.03220 	    0.043711 	     0.108045 	     0.151756 
14300 	 6 	      110.968 	       99.198 	   0.41815 	   0.03158 	    0.043645 	     0.108123 	     0.151768 
14400 	 6 	      110.910 	       99.231 	   0.41810 	   0.03109 	    0.043553 	     0.108008 	     0.151562 
14500 	 6 	      110.840 	       99.267 	   0.41800 	   0.03068 	    0.043452 	     0.107825 	     0.151277 
14600 	 6 	      110.768 	       99.304 	   0.41788 	   0.03034 	    0.043349 	     0.107604 	     0.150953 
14700 	 6 	      110.697 	       99.343 	   0.41775 	   0.03005 	    0.043247 	     0.107357 	     0.150604 
14800 	 6 	      110.629 	       99.378 	   0.41761 	   0.02981 	    0.043150 	     0.107089 	     0.150239 
