 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 10 	       72.821 	        0.000 	   0.11683 	   0.00000 	    0.107221 	    -1.#IND00 	    -1.#IND00 
200 	 10 	       70.699 	        0.000 	   0.14270 	   0.00000 	    0.105604 	    -1.#IND00 	    -1.#IND00 
300 	 10 	       71.440 	        0.000 	   0.01944 	   0.00000 	    0.145465 	    -1.#IND00 	    -1.#IND00 
400 	 10 	       70.511 	        0.000 	   0.03475 	   0.00000 	    0.136524 	    -1.#IND00 	    -1.#IND00 
500 	 10 	       70.308 	        0.000 	   0.03618 	   0.00000 	    0.136475 	    -1.#IND00 	    -1.#IND00 
600 	 10 	       70.208 	        0.000 	   0.03309 	   0.00000 	    0.137264 	    -1.#IND00 	    -1.#IND00 
700 	 10 	       70.059 	        0.000 	   0.03091 	   0.00000 	    0.137550 	    -1.#IND00 	    -1.#IND00 
800 	 10 	       69.848 	        0.000 	   0.03049 	   0.00000 	    0.137504 	    -1.#IND00 	    -1.#IND00 
900 	 10 	       69.706 	        0.000 	   0.03015 	   0.00000 	    0.137071 	    -1.#IND00 	    -1.#IND00 
1000 	 10 	       70.254 	        0.000 	   0.07423 	   0.00000 	    0.110322 	    -1.#IND00 	    -1.#IND00 
1100 	 10 	       70.198 	        0.000 	   0.08975 	   0.00000 	    0.107901 	    -1.#IND00 	    -1.#IND00 
1200 	 10 	       69.710 	        0.000 	   0.09726 	   0.00000 	    0.108624 	    -1.#IND00 	    -1.#IND00 
1300 	 10 	       69.148 	        0.000 	   0.10313 	   0.00000 	    0.109529 	    -1.#IND00 	    -1.#IND00 
1400 	 10 	       68.707 	        0.000 	   0.10935 	   0.00000 	    0.110174 	    -1.#IND00 	    -1.#IND00 
1500 	 10 	       68.822 	        0.000 	   0.11223 	   0.00000 	    0.111415 	    -1.#IND00 	    -1.#IND00 
1600 	 10 	       68.795 	        0.000 	   0.11698 	   0.00000 	    0.113965 	    -1.#IND00 	    -1.#IND00 
