 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 5 	       68.362 	        0.000 	   0.17793 	   0.00000 	    0.119277 	    -1.#IND00 	    -1.#IND00 
200 	 5 	       70.970 	        0.000 	   0.07463 	   0.00000 	    0.134003 	    -1.#IND00 	    -1.#IND00 
300 	 5 	       71.176 	        0.000 	   0.13323 	   0.00000 	    0.116054 	    -1.#IND00 	    -1.#IND00 
400 	 5 	       71.340 	        0.000 	   0.12580 	   0.00000 	    0.118214 	    -1.#IND00 	    -1.#IND00 
500 	 5 	       70.818 	        0.000 	   0.14875 	   0.00000 	    0.118165 	    -1.#IND00 	    -1.#IND00 
600 	 5 	       71.239 	        0.000 	   0.13321 	   0.00000 	    0.119615 	    -1.#IND00 	    -1.#IND00 
700 	 5 	       71.798 	        0.000 	   0.07999 	   0.00000 	    0.124161 	    -1.#IND00 	    -1.#IND00 
800 	 5 	       72.905 	        0.000 	   0.01880 	   0.00000 	    0.131414 	    -1.#IND00 	    -1.#IND00 
900 	 5 	       73.790 	        0.000 	   0.00562 	   0.00000 	    0.132797 	    -1.#IND00 	    -1.#IND00 
1000 	 5 	       73.818 	        0.000 	   0.07511 	   0.00000 	    0.108691 	    -1.#IND00 	    -1.#IND00 
1100 	 5 	       75.514 	        0.000 	   0.07261 	   0.00000 	    0.103645 	    -1.#IND00 	    -1.#IND00 
1200 	 5 	       76.509 	        0.000 	   0.06988 	   0.00000 	    0.102812 	    -1.#IND00 	    -1.#IND00 
1300 	 5 	       79.633 	        0.000 	   0.04258 	   0.00000 	    0.103103 	    -1.#IND00 	    -1.#IND00 
1400 	 5 	       78.661 	        0.000 	   0.04880 	   0.00000 	    0.103227 	    -1.#IND00 	    -1.#IND00 
1500 	 5 	       77.925 	        0.000 	   0.05657 	   0.00000 	    0.102362 	    -1.#IND00 	    -1.#IND00 
1600 	 5 	       77.698 	        0.000 	   0.06116 	   0.00000 	    0.101516 	    -1.#IND00 	    -1.#IND00 
