 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 10 	      122.829 	      119.591 	   0.32285 	   0.02417 	    0.068722 	     0.166602 	     0.235324 
200 	 10 	      119.839 	      119.309 	   0.32862 	   0.02520 	    0.066459 	     0.166169 	     0.232628 
300 	 10 	      121.031 	      118.152 	   0.32549 	   0.02403 	    0.068694 	     0.164320 	     0.233015 
400 	 10 	      120.679 	      116.987 	   0.32637 	   0.02375 	    0.068495 	     0.162485 	     0.230981 
500 	 10 	      118.411 	      114.958 	   0.33401 	   0.02420 	    0.065560 	     0.158842 	     0.224402 
600 	 10 	      117.916 	      114.721 	   0.33631 	   0.02328 	    0.064978 	     0.158562 	     0.223540 
700 	 10 	      117.745 	      116.375 	   0.33707 	   0.02246 	    0.064830 	     0.162041 	     0.226871 
800 	 10 	      117.516 	      118.433 	   0.33713 	   0.02239 	    0.064948 	     0.165887 	     0.230835 
900 	 10 	      117.235 	      119.430 	   0.33716 	   0.02261 	    0.065154 	     0.167689 	     0.232843 
1000 	 10 	      110.355 	      117.021 	   0.35462 	   0.02624 	    0.057856 	     0.165344 	     0.223200 
1100 	 10 	      112.993 	      116.915 	   0.36396 	   0.02574 	    0.058281 	     0.166022 	     0.224303 
1200 	 10 	      114.512 	      115.503 	   0.35982 	   0.02450 	    0.059711 	     0.162905 	     0.222617 
1300 	 10 	      115.091 	      115.772 	   0.35939 	   0.02405 	    0.060242 	     0.162939 	     0.223181 
1400 	 10 	      115.298 	      116.379 	   0.35946 	   0.02413 	    0.060618 	     0.163872 	     0.224490 
1500 	 10 	      119.047 	      117.446 	   0.35262 	   0.02148 	    0.063684 	     0.164475 	     0.228159 
1600 	 10 	      116.705 	      115.996 	   0.35661 	   0.02116 	    0.062154 	     0.160046 	     0.222200 
1700 	 10 	      116.263 	      116.033 	   0.35741 	   0.02073 	    0.061945 	     0.159020 	     0.220965 
1800 	 10 	      116.010 	      116.242 	   0.35863 	   0.02081 	    0.061770 	     0.159330 	     0.221100 
