 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 6 	       40.123 	        0.000 	   0.89419 	   0.00000 	    0.014183 	    -1.#IND00 	    -1.#IND00 
200 	 6 	       36.810 	        0.000 	   0.88334 	   0.00000 	    0.015253 	    -1.#IND00 	    -1.#IND00 
300 	 6 	       34.752 	        0.000 	   0.88155 	   0.00000 	    0.013873 	    -1.#IND00 	    -1.#IND00 
400 	 6 	       34.001 	        0.000 	   0.88405 	   0.00000 	    0.013174 	    -1.#IND00 	    -1.#IND00 
500 	 6 	       34.740 	        0.000 	   0.88933 	   0.00000 	    0.012518 	    -1.#IND00 	    -1.#IND00 
600 	 6 	       35.386 	        0.000 	   0.89350 	   0.00000 	    0.011865 	    -1.#IND00 	    -1.#IND00 
700 	 6 	       35.268 	        0.000 	   0.89747 	   0.00000 	    0.011248 	    -1.#IND00 	    -1.#IND00 
800 	 6 	       35.333 	        0.000 	   0.90150 	   0.00000 	    0.010937 	    -1.#IND00 	    -1.#IND00 
900 	 6 	       35.969 	        0.000 	   0.90329 	   0.00000 	    0.011085 	    -1.#IND00 	    -1.#IND00 
1000 	 6 	       41.333 	        0.000 	   0.90705 	   0.00000 	    0.013014 	    -1.#IND00 	    -1.#IND00 
1100 	 6 	       37.954 	        0.000 	   0.91216 	   0.00000 	    0.011821 	    -1.#IND00 	    -1.#IND00 
1200 	 6 	       37.624 	        0.000 	   0.91262 	   0.00000 	    0.011733 	    -1.#IND00 	    -1.#IND00 
1300 	 6 	       37.417 	        0.000 	   0.91313 	   0.00000 	    0.011615 	    -1.#IND00 	    -1.#IND00 
1400 	 6 	       37.219 	        0.000 	   0.91366 	   0.00000 	    0.011492 	    -1.#IND00 	    -1.#IND00 
1500 	 6 	       37.002 	        0.000 	   0.91420 	   0.00000 	    0.011367 	    -1.#IND00 	    -1.#IND00 
1600 	 6 	       36.729 	        0.000 	   0.91486 	   0.00000 	    0.011210 	    -1.#IND00 	    -1.#IND00 
1700 	 6 	       36.426 	        0.000 	   0.91572 	   0.00000 	    0.011019 	    -1.#IND00 	    -1.#IND00 
1800 	 6 	       36.181 	        0.000 	   0.91655 	   0.00000 	    0.010850 	    -1.#IND00 	    -1.#IND00 
1900 	 6 	       35.989 	        0.000 	   0.91728 	   0.00000 	    0.010713 	    -1.#IND00 	    -1.#IND00 
2000 	 6 	       35.557 	        0.000 	   0.91823 	   0.00000 	    0.010468 	    -1.#IND00 	    -1.#IND00 
2100 	 6 	       32.470 	        0.000 	   0.92257 	   0.00000 	    0.008982 	    -1.#IND00 	    -1.#IND00 
2200 	 6 	       32.035 	        0.000 	   0.92361 	   0.00000 	    0.008703 	    -1.#IND00 	    -1.#IND00 
2300 	 6 	       31.944 	        0.000 	   0.92380 	   0.00000 	    0.008640 	    -1.#IND00 	    -1.#IND00 
2400 	 6 	       31.941 	        0.000 	   0.92384 	   0.00000 	    0.008636 	    -1.#IND00 	    -1.#IND00 
2500 	 6 	       31.891 	        0.000 	   0.92402 	   0.00000 	    0.008591 	    -1.#IND00 	    -1.#IND00 
2600 	 6 	       31.829 	        0.000 	   0.92422 	   0.00000 	    0.008533 	    -1.#IND00 	    -1.#IND00 
2700 	 6 	       31.770 	        0.000 	   0.92437 	   0.00000 	    0.008473 	    -1.#IND00 	    -1.#IND00 
2800 	 6 	       31.708 	        0.000 	   0.92446 	   0.00000 	    0.008412 	    -1.#IND00 	    -1.#IND00 
2900 	 6 	       31.640 	        0.000 	   0.92450 	   0.00000 	    0.008348 	    -1.#IND00 	    -1.#IND00 
3000 	 6 	       30.328 	        0.000 	   0.92484 	   0.00000 	    0.007702 	    -1.#IND00 	    -1.#IND00 
3100 	 6 	       29.168 	        0.000 	   0.92784 	   0.00000 	    0.006987 	    -1.#IND00 	    -1.#IND00 
3200 	 6 	       29.086 	        0.000 	   0.92847 	   0.00000 	    0.006905 	    -1.#IND00 	    -1.#IND00 
3300 	 6 	       29.033 	        0.000 	   0.92892 	   0.00000 	    0.006856 	    -1.#IND00 	    -1.#IND00 
3400 	 6 	       28.980 	        0.000 	   0.92929 	   0.00000 	    0.006819 	    -1.#IND00 	    -1.#IND00 
3500 	 6 	       28.929 	        0.000 	   0.92956 	   0.00000 	    0.006788 	    -1.#IND00 	    -1.#IND00 
3600 	 6 	       28.893 	        0.000 	   0.92971 	   0.00000 	    0.006765 	    -1.#IND00 	    -1.#IND00 
3700 	 6 	       28.873 	        0.000 	   0.92979 	   0.00000 	    0.006747 	    -1.#IND00 	    -1.#IND00 
3800 	 6 	       28.862 	        0.000 	   0.92987 	   0.00000 	    0.006731 	    -1.#IND00 	    -1.#IND00 
