 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 9 	       30.137 	       28.876 	   0.89307 	   0.89313 	    0.008356 	     0.008339 	     0.016696 
200 	 9 	       28.611 	       27.478 	   0.89822 	   0.89827 	    0.008770 	     0.008757 	     0.017527 
300 	 9 	       26.767 	       25.858 	   0.88025 	   0.88034 	    0.009113 	     0.009095 	     0.018208 
400 	 9 	       26.768 	       25.787 	   0.87291 	   0.87309 	    0.009587 	     0.009560 	     0.019147 
500 	 9 	       25.681 	       24.693 	   0.87589 	   0.87611 	    0.009413 	     0.009384 	     0.018797 
600 	 9 	       24.867 	       23.861 	   0.88284 	   0.88302 	    0.008736 	     0.008711 	     0.017447 
700 	 9 	       24.605 	       23.577 	   0.88897 	   0.88906 	    0.008239 	     0.008222 	     0.016461 
800 	 9 	       24.590 	       23.562 	   0.89222 	   0.89226 	    0.008073 	     0.008059 	     0.016132 
900 	 9 	       24.524 	       23.511 	   0.89563 	   0.89563 	    0.007859 	     0.007848 	     0.015707 
1000 	 9 	       25.848 	       24.810 	   0.90267 	   0.90261 	    0.007949 	     0.007940 	     0.015889 
1100 	 9 	       26.826 	       25.785 	   0.91021 	   0.91016 	    0.008231 	     0.008219 	     0.016450 
1200 	 9 	       26.678 	       25.640 	   0.91209 	   0.91198 	    0.007883 	     0.007874 	     0.015758 
1300 	 9 	       26.396 	       25.324 	   0.91324 	   0.91311 	    0.007571 	     0.007565 	     0.015137 
1400 	 9 	       26.140 	       25.028 	   0.91432 	   0.91419 	    0.007335 	     0.007330 	     0.014665 
1500 	 9 	       25.892 	       24.753 	   0.91532 	   0.91520 	    0.007143 	     0.007138 	     0.014281 
1600 	 9 	       25.670 	       24.510 	   0.91620 	   0.91610 	    0.006978 	     0.006972 	     0.013950 
1700 	 9 	       25.466 	       24.288 	   0.91703 	   0.91693 	    0.006827 	     0.006821 	     0.013647 
1800 	 9 	       25.237 	       24.047 	   0.91788 	   0.91779 	    0.006669 	     0.006663 	     0.013333 
1900 	 9 	       24.911 	       23.717 	   0.91880 	   0.91873 	    0.006493 	     0.006487 	     0.012980 
2000 	 9 	       25.576 	       24.355 	   0.92133 	   0.92124 	    0.006709 	     0.006703 	     0.013412 
2100 	 9 	       25.319 	       24.093 	   0.92483 	   0.92479 	    0.006653 	     0.006642 	     0.013296 
2200 	 9 	       24.779 	       23.569 	   0.92607 	   0.92605 	    0.006358 	     0.006348 	     0.012706 
2300 	 9 	       24.277 	       23.083 	   0.92703 	   0.92702 	    0.006117 	     0.006107 	     0.012223 
2400 	 9 	       23.814 	       22.635 	   0.92781 	   0.92781 	    0.005916 	     0.005906 	     0.011821 
2500 	 9 	       23.404 	       22.240 	   0.92846 	   0.92846 	    0.005749 	     0.005740 	     0.011490 
2600 	 9 	       23.032 	       21.888 	   0.92900 	   0.92901 	    0.005615 	     0.005606 	     0.011221 
2700 	 9 	       22.696 	       21.571 	   0.92946 	   0.92947 	    0.005508 	     0.005500 	     0.011008 
2800 	 9 	       22.400 	       21.293 	   0.92985 	   0.92986 	    0.005424 	     0.005417 	     0.010841 
2900 	 9 	       22.150 	       21.060 	   0.93019 	   0.93020 	    0.005358 	     0.005351 	     0.010710 
3000 	 9 	       22.394 	       21.290 	   0.93193 	   0.93192 	    0.005381 	     0.005376 	     0.010757 
3100 	 9 	       21.930 	       20.838 	   0.93445 	   0.93448 	    0.005175 	     0.005167 	     0.010342 
3200 	 9 	       21.706 	       20.628 	   0.93495 	   0.93499 	    0.005085 	     0.005076 	     0.010161 
3300 	 9 	       21.516 	       20.451 	   0.93533 	   0.93536 	    0.005020 	     0.005012 	     0.010032 
3400 	 9 	       21.352 	       20.299 	   0.93563 	   0.93567 	    0.004970 	     0.004962 	     0.009933 
3500 	 9 	       21.209 	       20.169 	   0.93590 	   0.93594 	    0.004931 	     0.004923 	     0.009854 
3600 	 9 	       21.084 	       20.056 	   0.93615 	   0.93619 	    0.004899 	     0.004891 	     0.009790 
3700 	 9 	       20.973 	       19.959 	   0.93637 	   0.93641 	    0.004873 	     0.004864 	     0.009737 
3800 	 9 	       20.874 	       19.872 	   0.93658 	   0.93662 	    0.004850 	     0.004842 	     0.009692 
3900 	 9 	       20.784 	       19.795 	   0.93677 	   0.93681 	    0.004830 	     0.004822 	     0.009652 
4000 	 9 	       21.009 	       20.015 	   0.93785 	   0.93787 	    0.004862 	     0.004855 	     0.009717 
4100 	 9 	       20.634 	       19.642 	   0.93997 	   0.94002 	    0.004687 	     0.004678 	     0.009365 
4200 	 9 	       20.519 	       19.542 	   0.94038 	   0.94044 	    0.004633 	     0.004624 	     0.009257 
4300 	 9 	       20.423 	       19.458 	   0.94071 	   0.94076 	    0.004590 	     0.004580 	     0.009170 
