 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 1 	      525.515 	      692.532 	   0.94190 	   0.99594 	    0.048975 	     0.127284 	     0.176259 
200 	 1 	      480.025 	      680.824 	   0.94192 	   0.99796 	    0.010627 	     0.039311 	     0.049938 
300 	 1 	      464.121 	      674.621 	   0.94162 	   0.99851 	    0.004564 	     0.013397 	     0.017961 
400 	 1 	      462.597 	      672.376 	   0.94155 	   0.99860 	    0.003841 	     0.007693 	     0.011535 
500 	 1 	      462.062 	      671.275 	   0.94152 	   0.99863 	    0.003661 	     0.005596 	     0.009258 
600 	 1 	      461.815 	      670.638 	   0.94151 	   0.99864 	    0.003599 	     0.004591 	     0.008190 
700 	 1 	      461.681 	      670.235 	   0.94150 	   0.99864 	    0.003573 	     0.004033 	     0.007606 
800 	 1 	      461.603 	      669.964 	   0.94149 	   0.99864 	    0.003561 	     0.003692 	     0.007254 
900 	 1 	      461.553 	      669.775 	   0.94149 	   0.99864 	    0.003556 	     0.003471 	     0.007027 
1000 	 1 	      461.505 	      669.644 	   0.94148 	   0.99864 	    0.003553 	     0.003320 	     0.006873 
1100 	 1 	      461.769 	      669.622 	   0.94148 	   0.99865 	    0.003552 	     0.003265 	     0.006816 
1200 	 1 	      461.818 	      669.584 	   0.94148 	   0.99865 	    0.003551 	     0.003224 	     0.006775 
1300 	 1 	      461.862 	      669.551 	   0.94148 	   0.99865 	    0.003551 	     0.003189 	     0.006740 
1400 	 1 	      461.904 	      669.522 	   0.94148 	   0.99864 	    0.003550 	     0.003159 	     0.006709 
1500 	 1 	      461.942 	      669.496 	   0.94148 	   0.99864 	    0.003550 	     0.003132 	     0.006682 
1600 	 1 	      461.977 	      669.473 	   0.94148 	   0.99864 	    0.003550 	     0.003108 	     0.006658 
1700 	 1 	      462.010 	      669.452 	   0.94148 	   0.99864 	    0.003550 	     0.003087 	     0.006637 
1800 	 1 	      462.041 	      669.434 	   0.94148 	   0.99864 	    0.003549 	     0.003069 	     0.006618 
1900 	 1 	      462.071 	      669.417 	   0.94148 	   0.99864 	    0.003549 	     0.003052 	     0.006601 
2000 	 1 	      462.105 	      669.403 	   0.94147 	   0.99864 	    0.003549 	     0.003037 	     0.006586 
2100 	 1 	      462.194 	      669.401 	   0.94147 	   0.99864 	    0.003549 	     0.003025 	     0.006574 
2200 	 1 	      462.212 	      669.394 	   0.94147 	   0.99864 	    0.003549 	     0.003017 	     0.006566 
2300 	 1 	      462.229 	      669.386 	   0.94147 	   0.99864 	    0.003549 	     0.003010 	     0.006559 
2400 	 1 	      462.245 	      669.379 	   0.94147 	   0.99864 	    0.003549 	     0.003003 	     0.006552 
2500 	 1 	      462.261 	      669.373 	   0.94147 	   0.99864 	    0.003549 	     0.002997 	     0.006546 
2600 	 1 	      462.277 	      669.366 	   0.94147 	   0.99864 	    0.003549 	     0.002991 	     0.006540 
2700 	 1 	      462.292 	      669.360 	   0.94147 	   0.99864 	    0.003549 	     0.002985 	     0.006534 
2800 	 1 	      462.306 	      669.355 	   0.94147 	   0.99863 	    0.003549 	     0.002980 	     0.006529 
2900 	 1 	      462.321 	      669.350 	   0.94147 	   0.99863 	    0.003549 	     0.002975 	     0.006524 
3000 	 1 	      462.337 	      669.345 	   0.94147 	   0.99863 	    0.003549 	     0.002970 	     0.006519 
3100 	 1 	      462.384 	      669.345 	   0.94147 	   0.99863 	    0.003549 	     0.002965 	     0.006514 
3200 	 1 	      462.395 	      669.342 	   0.94147 	   0.99863 	    0.003549 	     0.002962 	     0.006511 
3300 	 1 	      462.405 	      669.339 	   0.94147 	   0.99863 	    0.003549 	     0.002959 	     0.006508 
3400 	 1 	      462.415 	      669.335 	   0.94147 	   0.99863 	    0.003549 	     0.002956 	     0.006505 
3500 	 1 	      462.425 	      669.333 	   0.94147 	   0.99863 	    0.003549 	     0.002953 	     0.006502 
3600 	 1 	      462.435 	      669.330 	   0.94147 	   0.99863 	    0.003549 	     0.002951 	     0.006499 
3700 	 1 	      462.444 	      669.327 	   0.94147 	   0.99863 	    0.003549 	     0.002948 	     0.006497 
3800 	 1 	      462.453 	      669.324 	   0.94147 	   0.99863 	    0.003549 	     0.002946 	     0.006494 
3900 	 1 	      462.463 	      669.322 	   0.94147 	   0.99863 	    0.003549 	     0.002943 	     0.006492 
4000 	 1 	      462.473 	      669.319 	   0.94148 	   0.99863 	    0.003549 	     0.002941 	     0.006490 
4100 	 1 	      462.503 	      669.320 	   0.94147 	   0.99863 	    0.003549 	     0.002938 	     0.006487 
4200 	 1 	      462.510 	      669.318 	   0.94147 	   0.99863 	    0.003549 	     0.002936 	     0.006485 
4300 	 1 	      462.517 	      669.316 	   0.94148 	   0.99863 	    0.003549 	     0.002935 	     0.006483 
4400 	 1 	      462.524 	      669.314 	   0.94148 	   0.99863 	    0.003549 	     0.002933 	     0.006482 
4500 	 1 	      462.531 	      669.313 	   0.94148 	   0.99862 	    0.003549 	     0.002932 	     0.006480 
4600 	 1 	      462.538 	      669.311 	   0.94148 	   0.99862 	    0.003549 	     0.002930 	     0.006479 
4700 	 1 	      462.545 	      669.309 	   0.94148 	   0.99862 	    0.003549 	     0.002929 	     0.006477 
4800 	 1 	      462.552 	      669.308 	   0.94148 	   0.99862 	    0.003549 	     0.002927 	     0.006476 
4900 	 1 	      462.559 	      669.306 	   0.94148 	   0.99862 	    0.003549 	     0.002926 	     0.006475 
5000 	 1 	      462.566 	      669.305 	   0.94148 	   0.99862 	    0.003549 	     0.002925 	     0.006473 
5100 	 1 	      462.586 	      669.305 	   0.94148 	   0.99862 	    0.003549 	     0.002923 	     0.006471 
5200 	 1 	      462.592 	      669.304 	   0.94148 	   0.99862 	    0.003549 	     0.002922 	     0.006470 
5300 	 1 	      462.597 	      669.303 	   0.94148 	   0.99862 	    0.003549 	     0.002921 	     0.006469 
5400 	 1 	      462.603 	      669.301 	   0.94148 	   0.99862 	    0.003549 	     0.002920 	     0.006468 
5500 	 1 	      462.608 	      669.300 	   0.94148 	   0.99862 	    0.003549 	     0.002919 	     0.006467 
5600 	 1 	      462.614 	      669.299 	   0.94148 	   0.99862 	    0.003549 	     0.002918 	     0.006466 
