 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 8 	       26.520 	       25.496 	   0.89916 	   0.89909 	    0.007482 	     0.007481 	     0.014963 
200 	 8 	       25.496 	       24.718 	   0.89876 	   0.89891 	    0.007677 	     0.007662 	     0.015340 
300 	 8 	       26.277 	       25.577 	   0.89419 	   0.89459 	    0.008087 	     0.008048 	     0.016135 
400 	 8 	       27.153 	       26.394 	   0.88697 	   0.88746 	    0.008561 	     0.008516 	     0.017077 
500 	 8 	       27.194 	       26.344 	   0.88172 	   0.88228 	    0.008916 	     0.008865 	     0.017781 
600 	 8 	       27.150 	       26.281 	   0.88055 	   0.88107 	    0.008915 	     0.008865 	     0.017781 
700 	 8 	       27.262 	       26.432 	   0.88050 	   0.88098 	    0.008916 	     0.008867 	     0.017783 
800 	 8 	       27.228 	       26.409 	   0.88134 	   0.88178 	    0.008933 	     0.008886 	     0.017819 
900 	 8 	       26.805 	       26.008 	   0.88388 	   0.88426 	    0.008736 	     0.008694 	     0.017429 
1000 	 8 	       26.367 	       25.575 	   0.89015 	   0.89053 	    0.008224 	     0.008183 	     0.016407 
1100 	 8 	       25.835 	       24.943 	   0.90108 	   0.90147 	    0.007225 	     0.007186 	     0.014411 
1200 	 8 	       25.716 	       24.822 	   0.90218 	   0.90257 	    0.007150 	     0.007112 	     0.014262 
1300 	 8 	       25.660 	       24.742 	   0.90299 	   0.90338 	    0.007099 	     0.007061 	     0.014160 
1400 	 8 	       25.609 	       24.671 	   0.90372 	   0.90411 	    0.007057 	     0.007018 	     0.014075 
1500 	 8 	       25.599 	       24.643 	   0.90427 	   0.90464 	    0.007033 	     0.006995 	     0.014028 
1600 	 8 	       25.649 	       24.668 	   0.90460 	   0.90495 	    0.007031 	     0.006995 	     0.014025 
1700 	 8 	       25.722 	       24.722 	   0.90485 	   0.90518 	    0.007038 	     0.007003 	     0.014042 
1800 	 8 	       25.794 	       24.773 	   0.90517 	   0.90548 	    0.007043 	     0.007009 	     0.014052 
1900 	 8 	       25.842 	       24.805 	   0.90559 	   0.90588 	    0.007039 	     0.007007 	     0.014047 
2000 	 8 	       26.571 	       25.511 	   0.90908 	   0.90933 	    0.007194 	     0.007165 	     0.014360 
2100 	 8 	       27.039 	       25.957 	   0.91346 	   0.91366 	    0.007344 	     0.007318 	     0.014661 
2200 	 8 	       27.075 	       25.982 	   0.91415 	   0.91436 	    0.007345 	     0.007319 	     0.014664 
2300 	 8 	       27.094 	       25.981 	   0.91469 	   0.91490 	    0.007337 	     0.007311 	     0.014648 
2400 	 8 	       27.109 	       25.978 	   0.91514 	   0.91534 	    0.007326 	     0.007299 	     0.014625 
2500 	 8 	       27.127 	       25.980 	   0.91555 	   0.91576 	    0.007312 	     0.007285 	     0.014597 
2600 	 8 	       27.157 	       25.988 	   0.91599 	   0.91620 	    0.007296 	     0.007268 	     0.014564 
2700 	 8 	       27.172 	       25.999 	   0.91652 	   0.91674 	    0.007278 	     0.007249 	     0.014527 
2800 	 8 	       27.195 	       26.013 	   0.91714 	   0.91737 	    0.007262 	     0.007233 	     0.014495 
2900 	 8 	       27.218 	       26.029 	   0.91779 	   0.91803 	    0.007256 	     0.007225 	     0.014481 
3000 	 8 	       28.298 	       27.101 	   0.92026 	   0.92049 	    0.007674 	     0.007644 	     0.015318 
3100 	 8 	       28.400 	       27.192 	   0.92206 	   0.92227 	    0.007802 	     0.007772 	     0.015573 
3200 	 8 	       28.506 	       27.297 	   0.92200 	   0.92224 	    0.007873 	     0.007840 	     0.015713 
