 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 6 	      105.856 	       86.421 	   0.85835 	   0.78043 	    0.005780 	     0.008351 	     0.014131 
200 	 6 	       95.555 	       84.806 	   0.89682 	   0.81785 	    0.004574 	     0.007268 	     0.011842 
300 	 6 	       82.476 	       76.615 	   0.91012 	   0.81804 	    0.004528 	     0.007829 	     0.012357 
400 	 6 	       73.234 	       71.301 	   0.91532 	   0.81905 	    0.004493 	     0.007943 	     0.012436 
500 	 6 	       67.255 	       68.887 	   0.91911 	   0.82484 	    0.004338 	     0.007639 	     0.011977 
600 	 6 	       64.475 	       68.096 	   0.92176 	   0.82767 	    0.004241 	     0.007490 	     0.011732 
700 	 6 	       62.935 	       68.670 	   0.92417 	   0.82923 	    0.004159 	     0.007406 	     0.011565 
800 	 6 	       61.725 	       69.307 	   0.92650 	   0.83032 	    0.004076 	     0.007340 	     0.011416 
900 	 6 	       60.553 	       69.336 	   0.92877 	   0.83084 	    0.003992 	     0.007295 	     0.011287 
1000 	 6 	       57.768 	       68.221 	   0.93343 	   0.83135 	    0.003477 	     0.006931 	     0.010408 
1100 	 6 	       58.260 	       67.579 	   0.93780 	   0.83233 	    0.003038 	     0.006683 	     0.009721 
1200 	 6 	       57.429 	       66.861 	   0.93994 	   0.83131 	    0.002915 	     0.006708 	     0.009623 
1300 	 6 	       56.738 	       66.393 	   0.94154 	   0.83003 	    0.002830 	     0.006752 	     0.009582 
1400 	 6 	       56.203 	       66.150 	   0.94287 	   0.82855 	    0.002764 	     0.006808 	     0.009572 
1500 	 6 	       55.785 	       65.982 	   0.94403 	   0.82693 	    0.002709 	     0.006870 	     0.009579 
1600 	 6 	       55.434 	       65.883 	   0.94506 	   0.82522 	    0.002659 	     0.006935 	     0.009595 
1700 	 6 	       55.120 	       65.856 	   0.94600 	   0.82349 	    0.002614 	     0.006999 	     0.009614 
1800 	 6 	       54.877 	       65.833 	   0.94687 	   0.82176 	    0.002572 	     0.007062 	     0.009633 
1900 	 6 	       54.687 	       65.809 	   0.94768 	   0.82006 	    0.002531 	     0.007121 	     0.009652 
2000 	 6 	       51.637 	       63.458 	   0.94974 	   0.82205 	    0.002235 	     0.006871 	     0.009106 
2100 	 6 	       51.536 	       63.293 	   0.95091 	   0.82018 	    0.002146 	     0.006919 	     0.009065 
2200 	 6 	       51.457 	       63.201 	   0.95158 	   0.81926 	    0.002113 	     0.006953 	     0.009066 
2300 	 6 	       51.413 	       63.217 	   0.95212 	   0.81819 	    0.002088 	     0.006993 	     0.009081 
2400 	 6 	       51.379 	       63.258 	   0.95261 	   0.81710 	    0.002066 	     0.007034 	     0.009100 
2500 	 6 	       51.348 	       63.304 	   0.95306 	   0.81602 	    0.002045 	     0.007075 	     0.009120 
2600 	 6 	       51.326 	       63.350 	   0.95349 	   0.81496 	    0.002026 	     0.007114 	     0.009140 
2700 	 6 	       51.311 	       63.392 	   0.95391 	   0.81392 	    0.002007 	     0.007153 	     0.009160 
2800 	 6 	       51.310 	       63.431 	   0.95431 	   0.81292 	    0.001990 	     0.007190 	     0.009179 
2900 	 6 	       51.314 	       63.465 	   0.95469 	   0.81194 	    0.001972 	     0.007226 	     0.009198 
3000 	 6 	       49.834 	       62.223 	   0.95560 	   0.81309 	    0.001868 	     0.007143 	     0.009011 
3100 	 6 	       49.838 	       62.247 	   0.95611 	   0.81187 	    0.001838 	     0.007187 	     0.009024 
3200 	 6 	       49.846 	       62.248 	   0.95644 	   0.81129 	    0.001823 	     0.007210 	     0.009033 
3300 	 6 	       49.865 	       62.275 	   0.95672 	   0.81063 	    0.001811 	     0.007235 	     0.009046 
3400 	 6 	       49.891 	       62.309 	   0.95699 	   0.80996 	    0.001800 	     0.007262 	     0.009061 
3500 	 6 	       49.941 	       62.344 	   0.95725 	   0.80929 	    0.001789 	     0.007288 	     0.009077 
3600 	 6 	       49.989 	       62.376 	   0.95750 	   0.80864 	    0.001778 	     0.007313 	     0.009092 
3700 	 6 	       50.035 	       62.403 	   0.95774 	   0.80800 	    0.001768 	     0.007338 	     0.009106 
3800 	 6 	       50.081 	       62.427 	   0.95798 	   0.80739 	    0.001759 	     0.007362 	     0.009121 
3900 	 6 	       50.129 	       62.446 	   0.95821 	   0.80679 	    0.001749 	     0.007386 	     0.009134 
4000 	 6 	       49.315 	       61.692 	   0.95870 	   0.80750 	    0.001703 	     0.007351 	     0.009053 
4100 	 6 	       49.345 	       61.722 	   0.95898 	   0.80673 	    0.001688 	     0.007381 	     0.009069 
4200 	 6 	       49.382 	       61.722 	   0.95918 	   0.80636 	    0.001679 	     0.007395 	     0.009075 
4300 	 6 	       49.427 	       61.733 	   0.95937 	   0.80597 	    0.001672 	     0.007411 	     0.009083 
4400 	 6 	       49.471 	       61.747 	   0.95954 	   0.80556 	    0.001665 	     0.007428 	     0.009093 
4500 	 6 	       49.513 	       61.760 	   0.95972 	   0.80515 	    0.001658 	     0.007444 	     0.009102 
4600 	 6 	       49.552 	       61.772 	   0.95988 	   0.80475 	    0.001651 	     0.007460 	     0.009111 
4700 	 6 	       49.593 	       61.782 	   0.96005 	   0.80435 	    0.001644 	     0.007476 	     0.009121 
4800 	 6 	       49.640 	       61.790 	   0.96021 	   0.80396 	    0.001638 	     0.007492 	     0.009130 
4900 	 6 	       49.691 	       61.795 	   0.96037 	   0.80358 	    0.001631 	     0.007507 	     0.009138 
5000 	 6 	       49.188 	       61.297 	   0.96068 	   0.80406 	    0.001607 	     0.007489 	     0.009095 
5100 	 6 	       49.213 	       61.314 	   0.96086 	   0.80355 	    0.001598 	     0.007509 	     0.009107 
5200 	 6 	       49.254 	       61.310 	   0.96101 	   0.80331 	    0.001592 	     0.007519 	     0.009111 
5300 	 6 	       49.299 	       61.310 	   0.96114 	   0.80305 	    0.001586 	     0.007530 	     0.009116 
5400 	 6 	       49.342 	       61.311 	   0.96127 	   0.80278 	    0.001581 	     0.007541 	     0.009122 
5500 	 6 	       49.384 	       61.312 	   0.96140 	   0.80251 	    0.001576 	     0.007552 	     0.009128 
5600 	 6 	       49.426 	       61.311 	   0.96152 	   0.80223 	    0.001571 	     0.007563 	     0.009134 
5700 	 6 	       49.465 	       61.309 	   0.96165 	   0.80196 	    0.001566 	     0.007574 	     0.009140 
5800 	 6 	       49.503 	       61.306 	   0.96177 	   0.80169 	    0.001561 	     0.007585 	     0.009147 
5900 	 6 	       49.539 	       61.301 	   0.96189 	   0.80142 	    0.001556 	     0.007596 	     0.009153 
6000 	 6 	       49.199 	       60.953 	   0.96210 	   0.80174 	    0.001541 	     0.007586 	     0.009127 
6100 	 6 	       49.207 	       60.958 	   0.96223 	   0.80138 	    0.001535 	     0.007600 	     0.009136 
6200 	 6 	       49.234 	       60.948 	   0.96234 	   0.80120 	    0.001531 	     0.007608 	     0.009139 
6300 	 6 	       49.262 	       60.940 	   0.96245 	   0.80101 	    0.001527 	     0.007616 	     0.009143 
6400 	 6 	       49.289 	       60.932 	   0.96255 	   0.80081 	    0.001522 	     0.007624 	     0.009147 
6500 	 6 	       49.314 	       60.924 	   0.96265 	   0.80060 	    0.001518 	     0.007633 	     0.009151 
6600 	 6 	       49.338 	       60.915 	   0.96275 	   0.80039 	    0.001514 	     0.007642 	     0.009156 
6700 	 6 	       49.360 	       60.905 	   0.96285 	   0.80018 	    0.001510 	     0.007650 	     0.009161 
6800 	 6 	       49.381 	       60.894 	   0.96295 	   0.79997 	    0.001507 	     0.007659 	     0.009165 
6900 	 6 	       49.402 	       60.881 	   0.96304 	   0.79976 	    0.001503 	     0.007668 	     0.009170 
7000 	 6 	       49.164 	       60.621 	   0.96320 	   0.79998 	    0.001493 	     0.007661 	     0.009154 
7100 	 6 	       49.163 	       60.613 	   0.96330 	   0.79970 	    0.001488 	     0.007673 	     0.009161 
7200 	 6 	       49.180 	       60.598 	   0.96339 	   0.79955 	    0.001485 	     0.007679 	     0.009164 
7300 	 6 	       49.197 	       60.582 	   0.96347 	   0.79940 	    0.001481 	     0.007686 	     0.009167 
7400 	 6 	       49.212 	       60.571 	   0.96356 	   0.79923 	    0.001478 	     0.007692 	     0.009170 
