 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 8 	      116.065 	        0.000 	   0.85900 	   0.00000 	    0.009343 	    -1.#IND00 	    -1.#IND00 
200 	 8 	       85.438 	        0.000 	   0.88607 	   0.00000 	    0.005986 	    -1.#IND00 	    -1.#IND00 
300 	 8 	       75.495 	        0.000 	   0.89332 	   0.00000 	    0.005258 	    -1.#IND00 	    -1.#IND00 
400 	 8 	       71.192 	        0.000 	   0.89982 	   0.00000 	    0.004943 	    -1.#IND00 	    -1.#IND00 
500 	 8 	       68.175 	        0.000 	   0.90702 	   0.00000 	    0.004638 	    -1.#IND00 	    -1.#IND00 
600 	 8 	       65.926 	        0.000 	   0.91262 	   0.00000 	    0.004348 	    -1.#IND00 	    -1.#IND00 
700 	 8 	       64.093 	        0.000 	   0.91672 	   0.00000 	    0.004079 	    -1.#IND00 	    -1.#IND00 
800 	 8 	       63.073 	        0.000 	   0.92086 	   0.00000 	    0.003812 	    -1.#IND00 	    -1.#IND00 
900 	 8 	       62.459 	        0.000 	   0.92499 	   0.00000 	    0.003572 	    -1.#IND00 	    -1.#IND00 
1000 	 8 	       55.326 	        0.000 	   0.93354 	   0.00000 	    0.002805 	    -1.#IND00 	    -1.#IND00 
1100 	 8 	       51.299 	        0.000 	   0.94079 	   0.00000 	    0.002474 	    -1.#IND00 	    -1.#IND00 
1200 	 8 	       50.911 	        0.000 	   0.94358 	   0.00000 	    0.002339 	    -1.#IND00 	    -1.#IND00 
1300 	 8 	       50.520 	        0.000 	   0.94575 	   0.00000 	    0.002232 	    -1.#IND00 	    -1.#IND00 
1400 	 8 	       50.068 	        0.000 	   0.94761 	   0.00000 	    0.002140 	    -1.#IND00 	    -1.#IND00 
