 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 15 	      255.435 	      253.629 	   0.72802 	   0.65724 	    0.037621 	     0.043714 	     0.081335 
200 	 15 	      212.374 	      206.172 	   0.76339 	   0.66603 	    0.029003 	     0.037689 	     0.066691 
300 	 15 	      197.906 	      191.104 	   0.77524 	   0.66737 	    0.026279 	     0.035796 	     0.062075 
400 	 15 	      188.570 	      183.417 	   0.78434 	   0.66895 	    0.024626 	     0.034705 	     0.059330 
500 	 15 	      180.477 	      178.031 	   0.79874 	   0.67109 	    0.022560 	     0.033577 	     0.056138 
600 	 15 	      172.435 	      173.380 	   0.81630 	   0.67186 	    0.020038 	     0.032379 	     0.052417 
700 	 15 	      165.802 	      169.847 	   0.83109 	   0.67117 	    0.017914 	     0.031376 	     0.049291 
800 	 15 	      160.734 	      166.772 	   0.84169 	   0.66969 	    0.016431 	     0.030632 	     0.047063 
900 	 15 	      155.651 	      163.163 	   0.84991 	   0.66840 	    0.015262 	     0.029895 	     0.045157 
1000 	 15 	      109.563 	      118.669 	   0.88421 	   0.67611 	    0.007486 	     0.019873 	     0.027359 
1100 	 15 	       84.991 	       92.950 	   0.90555 	   0.67843 	    0.005288 	     0.017915 	     0.023204 
1200 	 15 	       83.063 	       90.775 	   0.90926 	   0.67896 	    0.005005 	     0.017620 	     0.022625 
1300 	 15 	       81.813 	       89.570 	   0.91203 	   0.67919 	    0.004805 	     0.017406 	     0.022211 
1400 	 15 	       80.725 	       88.678 	   0.91440 	   0.67930 	    0.004640 	     0.017239 	     0.021878 
1500 	 15 	       79.725 	       88.012 	   0.91650 	   0.67939 	    0.004495 	     0.017099 	     0.021594 
1600 	 15 	       78.775 	       87.458 	   0.91843 	   0.67952 	    0.004365 	     0.016975 	     0.021340 
1700 	 15 	       77.848 	       86.979 	   0.92022 	   0.67973 	    0.004246 	     0.016858 	     0.021104 
1800 	 15 	       76.932 	       86.556 	   0.92191 	   0.68002 	    0.004135 	     0.016744 	     0.020879 
1900 	 15 	       76.028 	       86.187 	   0.92353 	   0.68040 	    0.004031 	     0.016630 	     0.020660 
2000 	 15 	       66.792 	       76.820 	   0.92964 	   0.67978 	    0.003008 	     0.014788 	     0.017797 
2100 	 15 	       61.203 	       72.086 	   0.93442 	   0.67914 	    0.002681 	     0.014512 	     0.017192 
2200 	 15 	       60.785 	       72.077 	   0.93571 	   0.67962 	    0.002622 	     0.014451 	     0.017073 
2300 	 15 	       60.595 	       72.231 	   0.93678 	   0.68000 	    0.002576 	     0.014399 	     0.016975 
2400 	 15 	       60.445 	       72.392 	   0.93776 	   0.68036 	    0.002535 	     0.014351 	     0.016886 
2500 	 15 	       60.290 	       72.545 	   0.93867 	   0.68071 	    0.002497 	     0.014303 	     0.016800 
2600 	 15 	       60.149 	       72.720 	   0.93953 	   0.68108 	    0.002461 	     0.014256 	     0.016717 
2700 	 15 	       59.988 	       72.872 	   0.94035 	   0.68146 	    0.002426 	     0.014208 	     0.016635 
2800 	 15 	       59.772 	       73.018 	   0.94114 	   0.68186 	    0.002393 	     0.014160 	     0.016553 
2900 	 15 	       59.554 	       73.152 	   0.94190 	   0.68228 	    0.002360 	     0.014111 	     0.016471 
3000 	 15 	       56.352 	       69.905 	   0.94397 	   0.68179 	    0.002073 	     0.013437 	     0.015509 
3100 	 15 	       54.492 	       68.435 	   0.94567 	   0.68131 	    0.001980 	     0.013366 	     0.015346 
3200 	 15 	       54.359 	       68.548 	   0.94632 	   0.68156 	    0.001956 	     0.013340 	     0.015296 
3300 	 15 	       54.283 	       68.694 	   0.94689 	   0.68183 	    0.001935 	     0.013313 	     0.015248 
