 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 13 	      159.309 	        0.000 	   0.74358 	   0.00000 	    0.020872 	    -1.#IND00 	    -1.#IND00 
200 	 13 	      126.090 	        0.000 	   0.77195 	   0.00000 	    0.015554 	    -1.#IND00 	    -1.#IND00 
300 	 13 	      106.984 	        0.000 	   0.79496 	   0.00000 	    0.012670 	    -1.#IND00 	    -1.#IND00 
400 	 13 	       96.839 	        0.000 	   0.81287 	   0.00000 	    0.011183 	    -1.#IND00 	    -1.#IND00 
500 	 13 	       91.673 	        0.000 	   0.83175 	   0.00000 	    0.009816 	    -1.#IND00 	    -1.#IND00 
600 	 13 	       89.316 	        0.000 	   0.84749 	   0.00000 	    0.008790 	    -1.#IND00 	    -1.#IND00 
700 	 13 	       86.578 	        0.000 	   0.85862 	   0.00000 	    0.008122 	    -1.#IND00 	    -1.#IND00 
800 	 13 	       81.816 	        0.000 	   0.86728 	   0.00000 	    0.007485 	    -1.#IND00 	    -1.#IND00 
900 	 13 	       76.605 	        0.000 	   0.87543 	   0.00000 	    0.006768 	    -1.#IND00 	    -1.#IND00 
1000 	 13 	       56.803 	        0.000 	   0.89833 	   0.00000 	    0.003899 	    -1.#IND00 	    -1.#IND00 
1100 	 13 	       55.046 	        0.000 	   0.90972 	   0.00000 	    0.003323 	    -1.#IND00 	    -1.#IND00 
1200 	 13 	       55.600 	        0.000 	   0.91272 	   0.00000 	    0.003200 	    -1.#IND00 	    -1.#IND00 
1300 	 13 	       55.734 	        0.000 	   0.91485 	   0.00000 	    0.003120 	    -1.#IND00 	    -1.#IND00 
1400 	 13 	       55.669 	        0.000 	   0.91663 	   0.00000 	    0.003056 	    -1.#IND00 	    -1.#IND00 
1500 	 13 	       55.500 	        0.000 	   0.91821 	   0.00000 	    0.003000 	    -1.#IND00 	    -1.#IND00 
1600 	 13 	       55.264 	        0.000 	   0.91967 	   0.00000 	    0.002947 	    -1.#IND00 	    -1.#IND00 
1700 	 13 	       54.979 	        0.000 	   0.92104 	   0.00000 	    0.002898 	    -1.#IND00 	    -1.#IND00 
1800 	 13 	       54.667 	        0.000 	   0.92233 	   0.00000 	    0.002850 	    -1.#IND00 	    -1.#IND00 
1900 	 13 	       54.339 	        0.000 	   0.92356 	   0.00000 	    0.002803 	    -1.#IND00 	    -1.#IND00 
2000 	 13 	       50.741 	        0.000 	   0.92706 	   0.00000 	    0.002453 	    -1.#IND00 	    -1.#IND00 
2100 	 13 	       50.420 	        0.000 	   0.92941 	   0.00000 	    0.002358 	    -1.#IND00 	    -1.#IND00 
2200 	 13 	       50.426 	        0.000 	   0.93032 	   0.00000 	    0.002328 	    -1.#IND00 	    -1.#IND00 
2300 	 13 	       50.301 	        0.000 	   0.93107 	   0.00000 	    0.002303 	    -1.#IND00 	    -1.#IND00 
2400 	 13 	       50.104 	        0.000 	   0.93175 	   0.00000 	    0.002281 	    -1.#IND00 	    -1.#IND00 
2500 	 13 	       49.863 	        0.000 	   0.93240 	   0.00000 	    0.002259 	    -1.#IND00 	    -1.#IND00 
2600 	 13 	       49.621 	        0.000 	   0.93303 	   0.00000 	    0.002239 	    -1.#IND00 	    -1.#IND00 
2700 	 13 	       49.387 	        0.000 	   0.93362 	   0.00000 	    0.002219 	    -1.#IND00 	    -1.#IND00 
2800 	 13 	       49.147 	        0.000 	   0.93420 	   0.00000 	    0.002200 	    -1.#IND00 	    -1.#IND00 
2900 	 13 	       48.907 	        0.000 	   0.93476 	   0.00000 	    0.002181 	    -1.#IND00 	    -1.#IND00 
3000 	 13 	       47.244 	        0.000 	   0.93621 	   0.00000 	    0.002063 	    -1.#IND00 	    -1.#IND00 
3100 	 13 	       47.095 	        0.000 	   0.93716 	   0.00000 	    0.002030 	    -1.#IND00 	    -1.#IND00 
3200 	 13 	       47.057 	        0.000 	   0.93763 	   0.00000 	    0.002016 	    -1.#IND00 	    -1.#IND00 
3300 	 13 	       46.987 	        0.000 	   0.93804 	   0.00000 	    0.002003 	    -1.#IND00 	    -1.#IND00 
3400 	 13 	       46.904 	        0.000 	   0.93843 	   0.00000 	    0.001991 	    -1.#IND00 	    -1.#IND00 
3500 	 13 	       46.815 	        0.000 	   0.93880 	   0.00000 	    0.001979 	    -1.#IND00 	    -1.#IND00 
3600 	 13 	       46.724 	        0.000 	   0.93917 	   0.00000 	    0.001968 	    -1.#IND00 	    -1.#IND00 
3700 	 13 	       46.632 	        0.000 	   0.93953 	   0.00000 	    0.001957 	    -1.#IND00 	    -1.#IND00 
3800 	 13 	       46.550 	        0.000 	   0.93988 	   0.00000 	    0.001946 	    -1.#IND00 	    -1.#IND00 
3900 	 13 	       46.476 	        0.000 	   0.94022 	   0.00000 	    0.001936 	    -1.#IND00 	    -1.#IND00 
4000 	 13 	       45.651 	        0.000 	   0.94104 	   0.00000 	    0.001882 	    -1.#IND00 	    -1.#IND00 
4100 	 13 	       45.645 	        0.000 	   0.94155 	   0.00000 	    0.001866 	    -1.#IND00 	    -1.#IND00 
4200 	 13 	       45.662 	        0.000 	   0.94186 	   0.00000 	    0.001856 	    -1.#IND00 	    -1.#IND00 
4300 	 13 	       45.667 	        0.000 	   0.94215 	   0.00000 	    0.001848 	    -1.#IND00 	    -1.#IND00 
4400 	 13 	       45.668 	        0.000 	   0.94242 	   0.00000 	    0.001839 	    -1.#IND00 	    -1.#IND00 
4500 	 13 	       45.666 	        0.000 	   0.94269 	   0.00000 	    0.001831 	    -1.#IND00 	    -1.#IND00 
4600 	 13 	       45.662 	        0.000 	   0.94295 	   0.00000 	    0.001823 	    -1.#IND00 	    -1.#IND00 
4700 	 13 	       45.657 	        0.000 	   0.94321 	   0.00000 	    0.001815 	    -1.#IND00 	    -1.#IND00 
4800 	 13 	       45.652 	        0.000 	   0.94347 	   0.00000 	    0.001807 	    -1.#IND00 	    -1.#IND00 
4900 	 13 	       45.646 	        0.000 	   0.94373 	   0.00000 	    0.001799 	    -1.#IND00 	    -1.#IND00 
5000 	 13 	       45.163 	        0.000 	   0.94427 	   0.00000 	    0.001769 	    -1.#IND00 	    -1.#IND00 
5100 	 13 	       45.207 	        0.000 	   0.94461 	   0.00000 	    0.001759 	    -1.#IND00 	    -1.#IND00 
5200 	 13 	       45.239 	        0.000 	   0.94485 	   0.00000 	    0.001752 	    -1.#IND00 	    -1.#IND00 
5300 	 13 	       45.261 	        0.000 	   0.94507 	   0.00000 	    0.001745 	    -1.#IND00 	    -1.#IND00 
5400 	 13 	       45.279 	        0.000 	   0.94529 	   0.00000 	    0.001739 	    -1.#IND00 	    -1.#IND00 
5500 	 13 	       45.292 	        0.000 	   0.94550 	   0.00000 	    0.001732 	    -1.#IND00 	    -1.#IND00 
5600 	 13 	       45.301 	        0.000 	   0.94571 	   0.00000 	    0.001725 	    -1.#IND00 	    -1.#IND00 
5700 	 13 	       45.307 	        0.000 	   0.94592 	   0.00000 	    0.001719 	    -1.#IND00 	    -1.#IND00 
5800 	 13 	       45.313 	        0.000 	   0.94613 	   0.00000 	    0.001713 	    -1.#IND00 	    -1.#IND00 
5900 	 13 	       45.315 	        0.000 	   0.94634 	   0.00000 	    0.001706 	    -1.#IND00 	    -1.#IND00 
6000 	 13 	       45.000 	        0.000 	   0.94672 	   0.00000 	    0.001687 	    -1.#IND00 	    -1.#IND00 
6100 	 13 	       45.044 	        0.000 	   0.94697 	   0.00000 	    0.001680 	    -1.#IND00 	    -1.#IND00 
6200 	 13 	       45.062 	        0.000 	   0.94716 	   0.00000 	    0.001674 	    -1.#IND00 	    -1.#IND00 
6300 	 13 	       45.070 	        0.000 	   0.94734 	   0.00000 	    0.001669 	    -1.#IND00 	    -1.#IND00 
6400 	 13 	       45.072 	        0.000 	   0.94752 	   0.00000 	    0.001663 	    -1.#IND00 	    -1.#IND00 
6500 	 13 	       45.074 	        0.000 	   0.94769 	   0.00000 	    0.001658 	    -1.#IND00 	    -1.#IND00 
6600 	 13 	       45.075 	        0.000 	   0.94786 	   0.00000 	    0.001653 	    -1.#IND00 	    -1.#IND00 
6700 	 13 	       45.075 	        0.000 	   0.94803 	   0.00000 	    0.001647 	    -1.#IND00 	    -1.#IND00 
6800 	 13 	       45.072 	        0.000 	   0.94820 	   0.00000 	    0.001642 	    -1.#IND00 	    -1.#IND00 
6900 	 13 	       45.070 	        0.000 	   0.94836 	   0.00000 	    0.001637 	    -1.#IND00 	    -1.#IND00 
7000 	 13 	       44.849 	        0.000 	   0.94864 	   0.00000 	    0.001625 	    -1.#IND00 	    -1.#IND00 
