 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 8 	      228.042 	      228.711 	   0.73683 	   0.65978 	    0.033051 	     0.039650 	     0.072701 
200 	 8 	      197.687 	      194.958 	   0.75919 	   0.66661 	    0.027762 	     0.036168 	     0.063931 
300 	 8 	      182.720 	      179.937 	   0.78197 	   0.67467 	    0.023798 	     0.033165 	     0.056963 
400 	 8 	      171.623 	      170.559 	   0.80459 	   0.67794 	    0.020159 	     0.030968 	     0.051127 
500 	 8 	      158.590 	      159.297 	   0.82421 	   0.67821 	    0.016944 	     0.029156 	     0.046100 
600 	 8 	      144.511 	      147.892 	   0.84516 	   0.68115 	    0.013907 	     0.027116 	     0.041023 
700 	 8 	      132.497 	      140.964 	   0.86460 	   0.68501 	    0.011481 	     0.025297 	     0.036777 
800 	 8 	      124.222 	      136.273 	   0.87792 	   0.68590 	    0.009929 	     0.024053 	     0.033982 
900 	 8 	      117.600 	      132.545 	   0.88855 	   0.68498 	    0.008786 	     0.023146 	     0.031932 
1000 	 8 	       81.792 	       96.385 	   0.91441 	   0.69071 	    0.004131 	     0.016043 	     0.020174 
1100 	 8 	       70.174 	       83.656 	   0.92556 	   0.69058 	    0.003289 	     0.015281 	     0.018570 
1200 	 8 	       69.478 	       83.635 	   0.92919 	   0.68831 	    0.003120 	     0.015275 	     0.018396 
1300 	 8 	       68.941 	       83.944 	   0.93188 	   0.68648 	    0.002999 	     0.015269 	     0.018267 
1400 	 8 	       68.365 	       84.252 	   0.93412 	   0.68483 	    0.002898 	     0.015266 	     0.018164 
1500 	 8 	       67.792 	       84.661 	   0.93608 	   0.68326 	    0.002811 	     0.015271 	     0.018081 
1600 	 8 	       67.224 	       84.978 	   0.93784 	   0.68176 	    0.002733 	     0.015281 	     0.018015 
1700 	 8 	       66.695 	       85.188 	   0.93943 	   0.68036 	    0.002664 	     0.015294 	     0.017958 
1800 	 8 	       66.227 	       85.301 	   0.94090 	   0.67910 	    0.002600 	     0.015306 	     0.017906 
1900 	 8 	       65.801 	       85.336 	   0.94228 	   0.67797 	    0.002541 	     0.015313 	     0.017853 
2000 	 8 	       59.620 	       78.725 	   0.94555 	   0.67713 	    0.002045 	     0.014086 	     0.016131 
2100 	 8 	       57.307 	       76.720 	   0.94792 	   0.67647 	    0.001913 	     0.013973 	     0.015885 
2200 	 8 	       57.363 	       77.035 	   0.94895 	   0.67565 	    0.001877 	     0.013996 	     0.015874 
2300 	 8 	       57.446 	       77.301 	   0.94981 	   0.67499 	    0.001849 	     0.014009 	     0.015858 
2400 	 8 	       57.511 	       77.506 	   0.95058 	   0.67445 	    0.001823 	     0.014017 	     0.015839 
2500 	 8 	       57.549 	       77.665 	   0.95129 	   0.67398 	    0.001798 	     0.014022 	     0.015820 
2600 	 8 	       57.574 	       77.794 	   0.95197 	   0.67357 	    0.001775 	     0.014027 	     0.015802 
2700 	 8 	       57.602 	       77.902 	   0.95261 	   0.67320 	    0.001754 	     0.014031 	     0.015785 
2800 	 8 	       57.625 	       78.021 	   0.95322 	   0.67286 	    0.001733 	     0.014036 	     0.015769 
2900 	 8 	       57.645 	       78.141 	   0.95381 	   0.67255 	    0.001712 	     0.014041 	     0.015754 
3000 	 8 	       55.387 	       75.791 	   0.95486 	   0.67208 	    0.001571 	     0.013577 	     0.015149 
3100 	 8 	       54.534 	       75.093 	   0.95573 	   0.67182 	    0.001529 	     0.013548 	     0.015076 
3200 	 8 	       54.623 	       75.332 	   0.95621 	   0.67155 	    0.001513 	     0.013563 	     0.015076 
3300 	 8 	       54.707 	       75.545 	   0.95664 	   0.67130 	    0.001500 	     0.013575 	     0.015074 
3400 	 8 	       54.771 	       75.726 	   0.95704 	   0.67107 	    0.001487 	     0.013584 	     0.015071 
3500 	 8 	       54.819 	       75.885 	   0.95743 	   0.67086 	    0.001474 	     0.013593 	     0.015067 
3600 	 8 	       54.854 	       76.030 	   0.95779 	   0.67065 	    0.001462 	     0.013602 	     0.015064 
3700 	 8 	       54.878 	       76.165 	   0.95815 	   0.67045 	    0.001451 	     0.013611 	     0.015062 
3800 	 8 	       54.897 	       76.293 	   0.95849 	   0.67025 	    0.001439 	     0.013621 	     0.015060 
3900 	 8 	       54.909 	       76.416 	   0.95882 	   0.67005 	    0.001428 	     0.013631 	     0.015059 
4000 	 8 	       53.756 	       75.188 	   0.95932 	   0.66972 	    0.001368 	     0.013396 	     0.014764 
4100 	 8 	       53.323 	       74.861 	   0.95976 	   0.66954 	    0.001348 	     0.013389 	     0.014737 
4200 	 8 	       53.353 	       75.020 	   0.96005 	   0.66937 	    0.001339 	     0.013403 	     0.014741 
4300 	 8 	       53.384 	       75.168 	   0.96031 	   0.66919 	    0.001330 	     0.013415 	     0.014745 
4400 	 8 	       53.403 	       75.298 	   0.96055 	   0.66901 	    0.001322 	     0.013426 	     0.014748 
4500 	 8 	       53.411 	       75.416 	   0.96079 	   0.66884 	    0.001315 	     0.013436 	     0.014751 
4600 	 8 	       53.412 	       75.527 	   0.96103 	   0.66868 	    0.001307 	     0.013446 	     0.014753 
4700 	 8 	       53.406 	       75.634 	   0.96125 	   0.66853 	    0.001300 	     0.013456 	     0.014755 
4800 	 8 	       53.394 	       75.742 	   0.96147 	   0.66838 	    0.001292 	     0.013465 	     0.014758 
4900 	 8 	       53.377 	       75.852 	   0.96169 	   0.66823 	    0.001285 	     0.013475 	     0.014760 
5000 	 8 	       52.690 	       75.177 	   0.96198 	   0.66801 	    0.001254 	     0.013335 	     0.014589 
5100 	 8 	       52.395 	       75.044 	   0.96225 	   0.66788 	    0.001242 	     0.013333 	     0.014575 
5200 	 8 	       52.378 	       75.185 	   0.96244 	   0.66776 	    0.001236 	     0.013343 	     0.014579 
5300 	 8 	       52.364 	       75.321 	   0.96261 	   0.66764 	    0.001231 	     0.013352 	     0.014583 
5400 	 8 	       52.342 	       75.447 	   0.96279 	   0.66752 	    0.001225 	     0.013360 	     0.014586 
5500 	 8 	       52.314 	       75.565 	   0.96295 	   0.66741 	    0.001220 	     0.013368 	     0.014588 
5600 	 8 	       52.285 	       75.678 	   0.96312 	   0.66731 	    0.001214 	     0.013375 	     0.014590 
5700 	 8 	       52.256 	       75.787 	   0.96328 	   0.66722 	    0.001209 	     0.013382 	     0.014591 
5800 	 8 	       52.223 	       75.893 	   0.96343 	   0.66714 	    0.001204 	     0.013389 	     0.014593 
5900 	 8 	       52.186 	       75.998 	   0.96359 	   0.66706 	    0.001199 	     0.013395 	     0.014594 
6000 	 8 	       51.690 	       75.589 	   0.96378 	   0.66693 	    0.001180 	     0.013301 	     0.014482 
6100 	 8 	       51.473 	       75.521 	   0.96397 	   0.66686 	    0.001173 	     0.013299 	     0.014472 
6200 	 8 	       51.450 	       75.636 	   0.96411 	   0.66680 	    0.001168 	     0.013305 	     0.014474 
6300 	 8 	       51.429 	       75.748 	   0.96424 	   0.66674 	    0.001164 	     0.013311 	     0.014475 
6400 	 8 	       51.405 	       75.853 	   0.96437 	   0.66668 	    0.001160 	     0.013316 	     0.014476 
6500 	 8 	       51.376 	       75.953 	   0.96450 	   0.66664 	    0.001156 	     0.013321 	     0.014477 
6600 	 8 	       51.343 	       76.050 	   0.96462 	   0.66660 	    0.001152 	     0.013325 	     0.014477 
6700 	 8 	       51.308 	       76.142 	   0.96474 	   0.66656 	    0.001148 	     0.013328 	     0.014476 
6800 	 8 	       51.270 	       76.233 	   0.96486 	   0.66654 	    0.001144 	     0.013332 	     0.014476 
6900 	 8 	       51.230 	       76.321 	   0.96498 	   0.66651 	    0.001140 	     0.013335 	     0.014475 
7000 	 8 	       50.868 	       76.054 	   0.96513 	   0.66646 	    0.001128 	     0.013267 	     0.014395 
7100 	 8 	       50.692 	       76.009 	   0.96527 	   0.66644 	    0.001122 	     0.013264 	     0.014387 
7200 	 8 	       50.660 	       76.100 	   0.96538 	   0.66643 	    0.001119 	     0.013267 	     0.014386 
7300 	 8 	       50.633 	       76.190 	   0.96548 	   0.66642 	    0.001116 	     0.013270 	     0.014385 
7400 	 8 	       50.603 	       76.275 	   0.96558 	   0.66641 	    0.001112 	     0.013272 	     0.014385 
7500 	 8 	       50.571 	       76.355 	   0.96568 	   0.66641 	    0.001109 	     0.013274 	     0.014383 
7600 	 8 	       50.537 	       76.432 	   0.96578 	   0.66641 	    0.001106 	     0.013276 	     0.014382 
7700 	 8 	       50.501 	       76.506 	   0.96588 	   0.66642 	    0.001103 	     0.013277 	     0.014380 
7800 	 8 	       50.464 	       76.578 	   0.96598 	   0.66644 	    0.001100 	     0.013278 	     0.014377 
7900 	 8 	       50.426 	       76.652 	   0.96608 	   0.66646 	    0.001096 	     0.013279 	     0.014375 
8000 	 8 	       50.146 	       76.451 	   0.96619 	   0.66646 	    0.001088 	     0.013227 	     0.014315 
8100 	 8 	       49.997 	       76.410 	   0.96630 	   0.66647 	    0.001084 	     0.013222 	     0.014306 
8200 	 8 	       49.965 	       76.485 	   0.96639 	   0.66650 	    0.001081 	     0.013223 	     0.014304 
8300 	 8 	       49.936 	       76.561 	   0.96648 	   0.66653 	    0.001078 	     0.013224 	     0.014302 
8400 	 8 	       49.906 	       76.633 	   0.96656 	   0.66655 	    0.001075 	     0.013224 	     0.014300 
8500 	 8 	       49.874 	       76.702 	   0.96664 	   0.66659 	    0.001073 	     0.013224 	     0.014297 
8600 	 8 	       49.839 	       76.767 	   0.96673 	   0.66663 	    0.001070 	     0.013224 	     0.014294 
8700 	 8 	       49.803 	       76.830 	   0.96681 	   0.66667 	    0.001067 	     0.013223 	     0.014291 
8800 	 8 	       49.766 	       76.895 	   0.96689 	   0.66672 	    0.001065 	     0.013223 	     0.014287 
8900 	 8 	       49.727 	       76.959 	   0.96697 	   0.66677 	    0.001062 	     0.013222 	     0.014284 
9000 	 8 	       49.505 	       76.802 	   0.96707 	   0.66680 	    0.001056 	     0.013180 	     0.014236 
9100 	 8 	       49.378 	       76.763 	   0.96715 	   0.66684 	    0.001052 	     0.013175 	     0.014227 
9200 	 8 	       49.343 	       76.826 	   0.96723 	   0.66690 	    0.001050 	     0.013174 	     0.014224 
9300 	 8 	       49.312 	       76.889 	   0.96730 	   0.66695 	    0.001048 	     0.013173 	     0.014221 
9400 	 8 	       49.279 	       76.950 	   0.96738 	   0.66700 	    0.001045 	     0.013172 	     0.014217 
9500 	 8 	       49.246 	       77.007 	   0.96745 	   0.66706 	    0.001043 	     0.013171 	     0.014214 
9600 	 8 	       49.213 	       77.062 	   0.96752 	   0.66712 	    0.001041 	     0.013169 	     0.014210 
9700 	 8 	       49.180 	       77.114 	   0.96759 	   0.66718 	    0.001039 	     0.013167 	     0.014206 
9800 	 8 	       49.145 	       77.165 	   0.96766 	   0.66725 	    0.001036 	     0.013165 	     0.014202 
9900 	 8 	       49.109 	       77.214 	   0.96773 	   0.66732 	    0.001034 	     0.013163 	     0.014197 
10000 	 8 	       48.933 	       77.091 	   0.96781 	   0.66738 	    0.001029 	     0.013129 	     0.014158 
10100 	 8 	       48.828 	       77.055 	   0.96788 	   0.66744 	    0.001026 	     0.013123 	     0.014150 
10200 	 8 	       48.796 	       77.105 	   0.96795 	   0.66751 	    0.001024 	     0.013121 	     0.014145 
10300 	 8 	       48.767 	       77.154 	   0.96801 	   0.66758 	    0.001022 	     0.013119 	     0.014141 
10400 	 8 	       48.737 	       77.202 	   0.96808 	   0.66765 	    0.001020 	     0.013117 	     0.014137 
10500 	 8 	       48.707 	       77.247 	   0.96814 	   0.66772 	    0.001018 	     0.013115 	     0.014133 
10600 	 8 	       48.675 	       77.291 	   0.96820 	   0.66780 	    0.001016 	     0.013112 	     0.014128 
10700 	 8 	       48.642 	       77.332 	   0.96826 	   0.66788 	    0.001014 	     0.013109 	     0.014124 
10800 	 8 	       48.608 	       77.372 	   0.96832 	   0.66796 	    0.001012 	     0.013107 	     0.014119 
10900 	 8 	       48.574 	       77.410 	   0.96839 	   0.66805 	    0.001010 	     0.013104 	     0.014114 
11000 	 8 	       48.430 	       77.310 	   0.96845 	   0.66812 	    0.001006 	     0.013075 	     0.014082 
11100 	 8 	       48.337 	       77.275 	   0.96852 	   0.66819 	    0.001004 	     0.013069 	     0.014073 
11200 	 8 	       48.305 	       77.313 	   0.96858 	   0.66828 	    0.001002 	     0.013066 	     0.014068 
11300 	 8 	       48.275 	       77.352 	   0.96863 	   0.66836 	    0.001000 	     0.013063 	     0.014064 
11400 	 8 	       48.245 	       77.392 	   0.96869 	   0.66844 	    0.000999 	     0.013061 	     0.014059 
11500 	 8 	       48.215 	       77.432 	   0.96875 	   0.66852 	    0.000997 	     0.013058 	     0.014054 
11600 	 8 	       48.184 	       77.470 	   0.96880 	   0.66861 	    0.000995 	     0.013055 	     0.014050 
11700 	 8 	       48.152 	       77.507 	   0.96886 	   0.66870 	    0.000993 	     0.013051 	     0.014045 
11800 	 8 	       48.120 	       77.542 	   0.96891 	   0.66879 	    0.000992 	     0.013048 	     0.014039 
11900 	 8 	       48.087 	       77.576 	   0.96897 	   0.66888 	    0.000990 	     0.013045 	     0.014034 
12000 	 8 	       47.968 	       77.495 	   0.96903 	   0.66896 	    0.000987 	     0.013020 	     0.014007 
12100 	 8 	       47.885 	       77.462 	   0.96908 	   0.66904 	    0.000984 	     0.013014 	     0.013998 
12200 	 8 	       47.854 	       77.495 	   0.96914 	   0.66913 	    0.000983 	     0.013011 	     0.013993 
12300 	 8 	       47.826 	       77.529 	   0.96919 	   0.66922 	    0.000981 	     0.013007 	     0.013989 
12400 	 8 	       47.797 	       77.562 	   0.96924 	   0.66930 	    0.000980 	     0.013004 	     0.013984 
12500 	 8 	       47.767 	       77.593 	   0.96929 	   0.66939 	    0.000978 	     0.013001 	     0.013979 
12600 	 8 	       47.737 	       77.623 	   0.96934 	   0.66948 	    0.000976 	     0.012997 	     0.013974 
12700 	 8 	       47.706 	       77.651 	   0.96939 	   0.66957 	    0.000975 	     0.012994 	     0.013969 
12800 	 8 	       47.675 	       77.678 	   0.96944 	   0.66967 	    0.000973 	     0.012990 	     0.013963 
12900 	 8 	       47.643 	       77.704 	   0.96949 	   0.66976 	    0.000972 	     0.012987 	     0.013958 
13000 	 8 	       47.540 	       77.635 	   0.96954 	   0.66985 	    0.000969 	     0.012966 	     0.013934 
13100 	 8 	       47.465 	       77.602 	   0.96959 	   0.66993 	    0.000967 	     0.012959 	     0.013926 
13200 	 8 	       47.435 	       77.627 	   0.96964 	   0.67002 	    0.000965 	     0.012956 	     0.013921 
