 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 12 	       75.763 	       68.564 	   0.84858 	   0.73774 	    0.006171 	     0.010291 	     0.016462 
200 	 12 	       76.030 	       67.538 	   0.87814 	   0.77660 	    0.004915 	     0.008650 	     0.013565 
300 	 12 	       74.985 	       61.201 	   0.91048 	   0.82002 	    0.003769 	     0.007010 	     0.010780 
400 	 12 	       72.294 	       60.897 	   0.92525 	   0.83161 	    0.003593 	     0.006887 	     0.010480 
500 	 12 	       68.569 	       59.119 	   0.93095 	   0.83720 	    0.003510 	     0.006789 	     0.010300 
600 	 12 	       65.231 	       58.378 	   0.93474 	   0.84246 	    0.003382 	     0.006601 	     0.009983 
700 	 12 	       62.076 	       58.073 	   0.93790 	   0.84778 	    0.003221 	     0.006368 	     0.009589 
800 	 12 	       58.975 	       58.084 	   0.94094 	   0.85235 	    0.003024 	     0.006148 	     0.009172 
900 	 12 	       56.357 	       58.110 	   0.94390 	   0.85473 	    0.002821 	     0.006025 	     0.008846 
1000 	 12 	       59.170 	       62.674 	   0.94616 	   0.85082 	    0.002923 	     0.006268 	     0.009191 
1100 	 12 	       60.903 	       66.882 	   0.94983 	   0.84637 	    0.002557 	     0.006256 	     0.008813 
1200 	 12 	       60.357 	       67.333 	   0.95155 	   0.84591 	    0.002457 	     0.006250 	     0.008707 
1300 	 12 	       59.732 	       67.797 	   0.95299 	   0.84493 	    0.002375 	     0.006270 	     0.008645 
1400 	 12 	       59.097 	       68.393 	   0.95426 	   0.84360 	    0.002303 	     0.006304 	     0.008607 
1500 	 12 	       58.484 	       69.128 	   0.95543 	   0.84207 	    0.002237 	     0.006347 	     0.008584 
1600 	 12 	       57.938 	       69.901 	   0.95652 	   0.84038 	    0.002176 	     0.006396 	     0.008572 
1700 	 12 	       57.395 	       70.696 	   0.95758 	   0.83858 	    0.002116 	     0.006450 	     0.008566 
1800 	 12 	       56.869 	       71.438 	   0.95863 	   0.83669 	    0.002057 	     0.006507 	     0.008564 
1900 	 12 	       56.340 	       72.099 	   0.95967 	   0.83471 	    0.001996 	     0.006569 	     0.008565 
2000 	 12 	       54.628 	       71.539 	   0.96129 	   0.83348 	    0.001808 	     0.006559 	     0.008367 
2100 	 12 	       54.879 	       73.098 	   0.96241 	   0.82999 	    0.001708 	     0.006661 	     0.008368 
2200 	 12 	       54.565 	       73.303 	   0.96316 	   0.82867 	    0.001663 	     0.006706 	     0.008369 
2300 	 12 	       54.223 	       73.451 	   0.96383 	   0.82729 	    0.001624 	     0.006756 	     0.008381 
2400 	 12 	       53.882 	       73.609 	   0.96443 	   0.82587 	    0.001590 	     0.006810 	     0.008400 
2500 	 12 	       53.553 	       73.784 	   0.96498 	   0.82441 	    0.001560 	     0.006866 	     0.008426 
2600 	 12 	       53.257 	       73.969 	   0.96548 	   0.82293 	    0.001532 	     0.006923 	     0.008455 
2700 	 12 	       52.978 	       74.155 	   0.96594 	   0.82145 	    0.001508 	     0.006980 	     0.008487 
2800 	 12 	       52.715 	       74.334 	   0.96637 	   0.81999 	    0.001485 	     0.007037 	     0.008522 
2900 	 12 	       52.495 	       74.504 	   0.96677 	   0.81855 	    0.001464 	     0.007094 	     0.008557 
3000 	 12 	       51.344 	       73.849 	   0.96749 	   0.81774 	    0.001386 	     0.007139 	     0.008525 
3100 	 12 	       51.421 	       74.506 	   0.96791 	   0.81585 	    0.001358 	     0.007210 	     0.008567 
3200 	 12 	       51.272 	       74.575 	   0.96820 	   0.81495 	    0.001343 	     0.007247 	     0.008590 
3300 	 12 	       51.127 	       74.587 	   0.96848 	   0.81412 	    0.001329 	     0.007283 	     0.008612 
3400 	 12 	       51.024 	       74.574 	   0.96873 	   0.81333 	    0.001317 	     0.007316 	     0.008634 
3500 	 12 	       50.918 	       74.545 	   0.96897 	   0.81259 	    0.001306 	     0.007348 	     0.008654 
3600 	 12 	       50.813 	       74.523 	   0.96920 	   0.81189 	    0.001295 	     0.007379 	     0.008674 
3700 	 12 	       50.719 	       74.494 	   0.96941 	   0.81122 	    0.001285 	     0.007408 	     0.008694 
3800 	 12 	       50.620 	       74.460 	   0.96962 	   0.81059 	    0.001276 	     0.007436 	     0.008712 
3900 	 12 	       50.519 	       74.430 	   0.96982 	   0.80999 	    0.001267 	     0.007463 	     0.008730 
4000 	 12 	       49.837 	       73.930 	   0.97019 	   0.80975 	    0.001233 	     0.007499 	     0.008732 
4100 	 12 	       49.857 	       74.176 	   0.97040 	   0.80888 	    0.001221 	     0.007535 	     0.008756 
4200 	 12 	       49.769 	       74.182 	   0.97056 	   0.80847 	    0.001214 	     0.007554 	     0.008767 
4300 	 12 	       49.679 	       74.161 	   0.97072 	   0.80810 	    0.001207 	     0.007571 	     0.008778 
4400 	 12 	       49.591 	       74.131 	   0.97086 	   0.80775 	    0.001201 	     0.007588 	     0.008789 
