 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 10 	      117.465 	        0.000 	   0.84032 	   0.00000 	    0.010924 	    -1.#IND00 	    -1.#IND00 
200 	 10 	       92.031 	        0.000 	   0.88423 	   0.00000 	    0.006541 	    -1.#IND00 	    -1.#IND00 
300 	 10 	       73.004 	        0.000 	   0.89995 	   0.00000 	    0.004893 	    -1.#IND00 	    -1.#IND00 
400 	 10 	       63.198 	        0.000 	   0.90744 	   0.00000 	    0.004264 	    -1.#IND00 	    -1.#IND00 
500 	 10 	       57.561 	        0.000 	   0.91242 	   0.00000 	    0.003897 	    -1.#IND00 	    -1.#IND00 
600 	 10 	       53.723 	        0.000 	   0.91707 	   0.00000 	    0.003569 	    -1.#IND00 	    -1.#IND00 
700 	 10 	       51.638 	        0.000 	   0.92111 	   0.00000 	    0.003307 	    -1.#IND00 	    -1.#IND00 
800 	 10 	       50.884 	        0.000 	   0.92417 	   0.00000 	    0.003131 	    -1.#IND00 	    -1.#IND00 
900 	 10 	       50.900 	        0.000 	   0.92643 	   0.00000 	    0.003019 	    -1.#IND00 	    -1.#IND00 
1000 	 10 	       50.328 	        0.000 	   0.93185 	   0.00000 	    0.002790 	    -1.#IND00 	    -1.#IND00 
1100 	 10 	       49.084 	        0.000 	   0.93811 	   0.00000 	    0.002524 	    -1.#IND00 	    -1.#IND00 
1200 	 10 	       48.893 	        0.000 	   0.94040 	   0.00000 	    0.002424 	    -1.#IND00 	    -1.#IND00 
1300 	 10 	       48.509 	        0.000 	   0.94227 	   0.00000 	    0.002339 	    -1.#IND00 	    -1.#IND00 
1400 	 10 	       48.141 	        0.000 	   0.94393 	   0.00000 	    0.002264 	    -1.#IND00 	    -1.#IND00 
1500 	 10 	       47.765 	        0.000 	   0.94548 	   0.00000 	    0.002194 	    -1.#IND00 	    -1.#IND00 
1600 	 10 	       47.415 	        0.000 	   0.94698 	   0.00000 	    0.002128 	    -1.#IND00 	    -1.#IND00 
1700 	 10 	       47.117 	        0.000 	   0.94847 	   0.00000 	    0.002063 	    -1.#IND00 	    -1.#IND00 
1800 	 10 	       46.763 	        0.000 	   0.94995 	   0.00000 	    0.001999 	    -1.#IND00 	    -1.#IND00 
1900 	 10 	       46.377 	        0.000 	   0.95140 	   0.00000 	    0.001936 	    -1.#IND00 	    -1.#IND00 
2000 	 10 	       45.075 	        0.000 	   0.95356 	   0.00000 	    0.001841 	    -1.#IND00 	    -1.#IND00 
