 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 10 	       60.154 	       60.734 	   0.38766 	   0.41817 	    0.012790 	     0.012602 	     0.025392 
200 	 10 	       59.854 	       60.895 	   0.42709 	   0.46552 	    0.011912 	     0.011605 	     0.023516 
300 	 10 	       60.346 	       61.828 	   0.47490 	   0.50884 	    0.010552 	     0.010275 	     0.020827 
400 	 10 	       61.401 	       63.217 	   0.51476 	   0.53894 	    0.009140 	     0.008955 	     0.018094 
500 	 10 	       62.459 	       64.812 	   0.54097 	   0.55610 	    0.008004 	     0.007936 	     0.015940 
600 	 10 	       65.192 	       67.503 	   0.55599 	   0.56688 	    0.007252 	     0.007256 	     0.014508 
700 	 10 	       68.823 	       71.131 	   0.56235 	   0.57078 	    0.006851 	     0.006904 	     0.013755 
800 	 10 	       71.039 	       73.443 	   0.56442 	   0.57100 	    0.006700 	     0.006785 	     0.013486 
900 	 10 	       71.781 	       74.333 	   0.56637 	   0.57056 	    0.006626 	     0.006749 	     0.013376 
1000 	 10 	       75.203 	       78.414 	   0.56859 	   0.56788 	    0.006478 	     0.006706 	     0.013184 
1100 	 10 	       73.588 	       77.095 	   0.57202 	   0.56748 	    0.006445 	     0.006726 	     0.013171 
1200 	 10 	       73.385 	       77.017 	   0.57320 	   0.56718 	    0.006427 	     0.006730 	     0.013157 
1300 	 10 	       73.250 	       76.993 	   0.57410 	   0.56703 	    0.006412 	     0.006731 	     0.013143 
1400 	 10 	       73.139 	       76.975 	   0.57487 	   0.56689 	    0.006399 	     0.006732 	     0.013131 
1500 	 10 	       73.042 	       76.953 	   0.57556 	   0.56675 	    0.006387 	     0.006733 	     0.013121 
1600 	 10 	       72.951 	       76.925 	   0.57618 	   0.56659 	    0.006377 	     0.006735 	     0.013112 
1700 	 10 	       72.874 	       76.900 	   0.57676 	   0.56641 	    0.006367 	     0.006737 	     0.013104 
1800 	 10 	       72.803 	       76.883 	   0.57731 	   0.56621 	    0.006358 	     0.006739 	     0.013097 
1900 	 10 	       72.733 	       76.862 	   0.57785 	   0.56600 	    0.006349 	     0.006742 	     0.013091 
2000 	 10 	       74.814 	       79.304 	   0.57857 	   0.56556 	    0.006296 	     0.006724 	     0.013020 
2100 	 10 	       74.101 	       78.658 	   0.57966 	   0.56574 	    0.006294 	     0.006728 	     0.013023 
2200 	 10 	       74.033 	       78.615 	   0.58014 	   0.56553 	    0.006288 	     0.006732 	     0.013020 
2300 	 10 	       73.971 	       78.572 	   0.58055 	   0.56535 	    0.006282 	     0.006735 	     0.013017 
2400 	 10 	       73.906 	       78.526 	   0.58094 	   0.56517 	    0.006277 	     0.006738 	     0.013015 
2500 	 10 	       73.840 	       78.482 	   0.58131 	   0.56495 	    0.006272 	     0.006741 	     0.013013 
2600 	 10 	       73.777 	       78.438 	   0.58167 	   0.56470 	    0.006266 	     0.006745 	     0.013012 
2700 	 10 	       73.715 	       78.395 	   0.58202 	   0.56443 	    0.006261 	     0.006750 	     0.013011 
2800 	 10 	       73.656 	       78.355 	   0.58236 	   0.56413 	    0.006257 	     0.006755 	     0.013011 
2900 	 10 	       73.596 	       78.314 	   0.58271 	   0.56381 	    0.006252 	     0.006760 	     0.013011 
3000 	 10 	       74.882 	       79.800 	   0.58320 	   0.56349 	    0.006221 	     0.006752 	     0.012973 
