 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 5 	       58.569 	        0.000 	   0.46814 	   0.00000 	    0.010946 	    -1.#IND00 	    -1.#IND00 
200 	 5 	       58.281 	        0.000 	   0.51306 	   0.00000 	    0.009299 	    -1.#IND00 	    -1.#IND00 
300 	 5 	       60.188 	        0.000 	   0.54389 	   0.00000 	    0.007971 	    -1.#IND00 	    -1.#IND00 
400 	 5 	       62.985 	        0.000 	   0.55927 	   0.00000 	    0.007263 	    -1.#IND00 	    -1.#IND00 
500 	 5 	       63.965 	        0.000 	   0.56391 	   0.00000 	    0.007103 	    -1.#IND00 	    -1.#IND00 
600 	 5 	       64.455 	        0.000 	   0.56677 	   0.00000 	    0.007026 	    -1.#IND00 	    -1.#IND00 
700 	 5 	       64.801 	        0.000 	   0.56889 	   0.00000 	    0.006972 	    -1.#IND00 	    -1.#IND00 
800 	 5 	       65.102 	        0.000 	   0.57053 	   0.00000 	    0.006930 	    -1.#IND00 	    -1.#IND00 
900 	 5 	       65.387 	        0.000 	   0.57188 	   0.00000 	    0.006893 	    -1.#IND00 	    -1.#IND00 
1000 	 5 	       72.224 	        0.000 	   0.57410 	   0.00000 	    0.006619 	    -1.#IND00 	    -1.#IND00 
1100 	 5 	       71.847 	        0.000 	   0.57490 	   0.00000 	    0.006616 	    -1.#IND00 	    -1.#IND00 
1200 	 5 	       71.918 	        0.000 	   0.57526 	   0.00000 	    0.006609 	    -1.#IND00 	    -1.#IND00 
1300 	 5 	       71.953 	        0.000 	   0.57557 	   0.00000 	    0.006604 	    -1.#IND00 	    -1.#IND00 
1400 	 5 	       71.976 	        0.000 	   0.57585 	   0.00000 	    0.006599 	    -1.#IND00 	    -1.#IND00 
1500 	 5 	       71.990 	        0.000 	   0.57612 	   0.00000 	    0.006594 	    -1.#IND00 	    -1.#IND00 
1600 	 5 	       71.997 	        0.000 	   0.57637 	   0.00000 	    0.006590 	    -1.#IND00 	    -1.#IND00 
1700 	 5 	       71.999 	        0.000 	   0.57661 	   0.00000 	    0.006586 	    -1.#IND00 	    -1.#IND00 
1800 	 5 	       71.994 	        0.000 	   0.57684 	   0.00000 	    0.006582 	    -1.#IND00 	    -1.#IND00 
1900 	 5 	       71.984 	        0.000 	   0.57706 	   0.00000 	    0.006579 	    -1.#IND00 	    -1.#IND00 
2000 	 5 	       75.343 	        0.000 	   0.57764 	   0.00000 	    0.006495 	    -1.#IND00 	    -1.#IND00 
2100 	 5 	       75.191 	        0.000 	   0.57789 	   0.00000 	    0.006493 	    -1.#IND00 	    -1.#IND00 
2200 	 5 	       75.193 	        0.000 	   0.57804 	   0.00000 	    0.006491 	    -1.#IND00 	    -1.#IND00 
2300 	 5 	       75.180 	        0.000 	   0.57819 	   0.00000 	    0.006489 	    -1.#IND00 	    -1.#IND00 
2400 	 5 	       75.161 	        0.000 	   0.57834 	   0.00000 	    0.006486 	    -1.#IND00 	    -1.#IND00 
2500 	 5 	       75.140 	        0.000 	   0.57847 	   0.00000 	    0.006484 	    -1.#IND00 	    -1.#IND00 
2600 	 5 	       75.119 	        0.000 	   0.57860 	   0.00000 	    0.006482 	    -1.#IND00 	    -1.#IND00 
2700 	 5 	       75.100 	        0.000 	   0.57873 	   0.00000 	    0.006481 	    -1.#IND00 	    -1.#IND00 
2800 	 5 	       75.082 	        0.000 	   0.57885 	   0.00000 	    0.006479 	    -1.#IND00 	    -1.#IND00 
2900 	 5 	       75.063 	        0.000 	   0.57897 	   0.00000 	    0.006477 	    -1.#IND00 	    -1.#IND00 
3000 	 5 	       77.041 	        0.000 	   0.57925 	   0.00000 	    0.006440 	    -1.#IND00 	    -1.#IND00 
3100 	 5 	       76.949 	        0.000 	   0.57939 	   0.00000 	    0.006438 	    -1.#IND00 	    -1.#IND00 
