 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 5 	       60.199 	       60.994 	   0.38220 	   0.41529 	    0.012804 	     0.012573 	     0.025377 
200 	 5 	       58.581 	       59.907 	   0.42001 	   0.45439 	    0.012006 	     0.011729 	     0.023735 
300 	 5 	       59.200 	       60.926 	   0.49763 	   0.52663 	    0.009757 	     0.009509 	     0.019266 
400 	 5 	       61.315 	       63.252 	   0.53855 	   0.55725 	    0.008044 	     0.007915 	     0.015959 
500 	 5 	       63.323 	       65.573 	   0.55016 	   0.56348 	    0.007448 	     0.007402 	     0.014850 
600 	 5 	       64.650 	       67.020 	   0.55514 	   0.56612 	    0.007201 	     0.007196 	     0.014397 
700 	 5 	       65.458 	       67.835 	   0.55812 	   0.56803 	    0.007074 	     0.007089 	     0.014163 
800 	 5 	       66.081 	       68.479 	   0.56052 	   0.56989 	    0.006986 	     0.007010 	     0.013995 
900 	 5 	       66.596 	       69.049 	   0.56266 	   0.57183 	    0.006914 	     0.006940 	     0.013855 
1000 	 5 	       70.497 	       73.503 	   0.56575 	   0.57320 	    0.006688 	     0.006762 	     0.013450 
1100 	 5 	       70.768 	       73.737 	   0.56769 	   0.57276 	    0.006640 	     0.006751 	     0.013392 
1200 	 5 	       71.079 	       73.988 	   0.56866 	   0.57345 	    0.006613 	     0.006728 	     0.013341 
1300 	 5 	       71.316 	       74.217 	   0.56950 	   0.57392 	    0.006589 	     0.006711 	     0.013300 
1400 	 5 	       71.507 	       74.440 	   0.57023 	   0.57424 	    0.006568 	     0.006696 	     0.013265 
1500 	 5 	       71.662 	       74.642 	   0.57088 	   0.57448 	    0.006550 	     0.006684 	     0.013234 
1600 	 5 	       71.793 	       74.813 	   0.57145 	   0.57468 	    0.006533 	     0.006673 	     0.013207 
1700 	 5 	       71.896 	       74.960 	   0.57194 	   0.57489 	    0.006520 	     0.006664 	     0.013184 
1800 	 5 	       71.981 	       75.096 	   0.57236 	   0.57510 	    0.006508 	     0.006655 	     0.013164 
