 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 8 	       11.854 	       10.957 	   0.98913 	   0.98902 	    0.000799 	     0.000803 	     0.001602 
200 	 8 	       10.660 	        9.872 	   0.99211 	   0.99202 	    0.000622 	     0.000625 	     0.001246 
300 	 8 	       10.198 	        9.319 	   0.99314 	   0.99305 	    0.000640 	     0.000643 	     0.001282 
400 	 8 	        9.236 	        8.397 	   0.99419 	   0.99411 	    0.000574 	     0.000578 	     0.001152 
500 	 8 	        8.444 	        7.694 	   0.99474 	   0.99465 	    0.000498 	     0.000502 	     0.001000 
600 	 8 	        7.776 	        7.093 	   0.99511 	   0.99502 	    0.000436 	     0.000440 	     0.000877 
700 	 8 	        7.125 	        6.493 	   0.99555 	   0.99547 	    0.000373 	     0.000377 	     0.000750 
800 	 8 	        6.487 	        5.891 	   0.99614 	   0.99607 	    0.000306 	     0.000309 	     0.000615 
900 	 8 	        5.903 	        5.340 	   0.99670 	   0.99664 	    0.000252 	     0.000254 	     0.000506 
1000 	 8 	        5.663 	        5.117 	   0.99703 	   0.99697 	    0.000232 	     0.000234 	     0.000466 
1100 	 8 	        4.967 	        4.432 	   0.99746 	   0.99742 	    0.000183 	     0.000185 	     0.000368 
1200 	 8 	        4.730 	        4.199 	   0.99769 	   0.99765 	    0.000166 	     0.000168 	     0.000334 
1300 	 8 	        4.588 	        4.061 	   0.99784 	   0.99781 	    0.000155 	     0.000157 	     0.000312 
1400 	 8 	        4.487 	        3.964 	   0.99796 	   0.99793 	    0.000146 	     0.000148 	     0.000294 
1500 	 8 	        4.400 	        3.882 	   0.99807 	   0.99804 	    0.000139 	     0.000140 	     0.000279 
1600 	 8 	        4.321 	        3.807 	   0.99816 	   0.99813 	    0.000132 	     0.000134 	     0.000266 
1700 	 8 	        4.248 	        3.737 	   0.99824 	   0.99821 	    0.000127 	     0.000128 	     0.000254 
1800 	 8 	        4.182 	        3.673 	   0.99831 	   0.99829 	    0.000121 	     0.000123 	     0.000244 
1900 	 8 	        4.124 	        3.618 	   0.99838 	   0.99835 	    0.000117 	     0.000118 	     0.000234 
2000 	 8 	        4.064 	        3.559 	   0.99844 	   0.99842 	    0.000112 	     0.000113 	     0.000226 
2100 	 8 	        4.013 	        3.510 	   0.99850 	   0.99848 	    0.000110 	     0.000111 	     0.000220 
2200 	 8 	        3.969 	        3.464 	   0.99856 	   0.99853 	    0.000106 	     0.000107 	     0.000213 
2300 	 8 	        3.936 	        3.429 	   0.99860 	   0.99858 	    0.000102 	     0.000103 	     0.000206 
2400 	 8 	        3.907 	        3.399 	   0.99864 	   0.99862 	    0.000100 	     0.000100 	     0.000200 
2500 	 8 	        3.880 	        3.371 	   0.99868 	   0.99866 	    0.000097 	     0.000098 	     0.000195 
2600 	 8 	        3.854 	        3.345 	   0.99871 	   0.99869 	    0.000094 	     0.000095 	     0.000190 
2700 	 8 	        3.829 	        3.319 	   0.99874 	   0.99872 	    0.000092 	     0.000093 	     0.000185 
2800 	 8 	        3.805 	        3.294 	   0.99877 	   0.99875 	    0.000090 	     0.000091 	     0.000181 
2900 	 8 	        3.782 	        3.270 	   0.99880 	   0.99878 	    0.000088 	     0.000089 	     0.000177 
3000 	 8 	        3.759 	        3.245 	   0.99882 	   0.99880 	    0.000087 	     0.000088 	     0.000175 
3100 	 8 	        3.760 	        3.245 	   0.99884 	   0.99883 	    0.000087 	     0.000087 	     0.000174 
3200 	 8 	        3.741 	        3.225 	   0.99887 	   0.99885 	    0.000085 	     0.000086 	     0.000171 
3300 	 8 	        3.725 	        3.206 	   0.99889 	   0.99888 	    0.000083 	     0.000084 	     0.000167 
3400 	 8 	        3.710 	        3.189 	   0.99891 	   0.99890 	    0.000082 	     0.000083 	     0.000165 
3500 	 8 	        3.695 	        3.173 	   0.99893 	   0.99892 	    0.000081 	     0.000081 	     0.000162 
3600 	 8 	        3.680 	        3.157 	   0.99895 	   0.99894 	    0.000079 	     0.000080 	     0.000159 
3700 	 8 	        3.667 	        3.141 	   0.99897 	   0.99895 	    0.000078 	     0.000079 	     0.000157 
3800 	 8 	        3.654 	        3.127 	   0.99898 	   0.99897 	    0.000077 	     0.000078 	     0.000155 
3900 	 8 	        3.641 	        3.113 	   0.99900 	   0.99899 	    0.000076 	     0.000077 	     0.000153 
4000 	 8 	        3.637 	        3.108 	   0.99901 	   0.99900 	    0.000076 	     0.000076 	     0.000152 
4100 	 8 	        3.648 	        3.117 	   0.99902 	   0.99901 	    0.000075 	     0.000076 	     0.000151 
4200 	 8 	        3.641 	        3.108 	   0.99904 	   0.99903 	    0.000074 	     0.000075 	     0.000149 
4300 	 8 	        3.635 	        3.099 	   0.99905 	   0.99905 	    0.000073 	     0.000074 	     0.000147 
4400 	 8 	        3.628 	        3.091 	   0.99907 	   0.99906 	    0.000073 	     0.000073 	     0.000145 
4500 	 8 	        3.623 	        3.083 	   0.99908 	   0.99907 	    0.000072 	     0.000072 	     0.000144 
4600 	 8 	        3.617 	        3.075 	   0.99909 	   0.99909 	    0.000071 	     0.000071 	     0.000142 
4700 	 8 	        3.611 	        3.067 	   0.99911 	   0.99910 	    0.000070 	     0.000070 	     0.000141 
4800 	 8 	        3.605 	        3.059 	   0.99912 	   0.99911 	    0.000069 	     0.000070 	     0.000139 
4900 	 8 	        3.599 	        3.052 	   0.99913 	   0.99912 	    0.000069 	     0.000069 	     0.000138 
5000 	 8 	        3.605 	        3.057 	   0.99913 	   0.99913 	    0.000069 	     0.000069 	     0.000138 
5100 	 8 	        3.617 	        3.066 	   0.99914 	   0.99914 	    0.000068 	     0.000069 	     0.000137 
5200 	 8 	        3.616 	        3.063 	   0.99915 	   0.99915 	    0.000068 	     0.000068 	     0.000136 
5300 	 8 	        3.615 	        3.059 	   0.99916 	   0.99916 	    0.000067 	     0.000067 	     0.000134 
5400 	 8 	        3.613 	        3.055 	   0.99917 	   0.99917 	    0.000066 	     0.000067 	     0.000133 
5500 	 8 	        3.610 	        3.050 	   0.99918 	   0.99918 	    0.000066 	     0.000066 	     0.000132 
5600 	 8 	        3.607 	        3.045 	   0.99919 	   0.99919 	    0.000065 	     0.000065 	     0.000130 
5700 	 8 	        3.604 	        3.040 	   0.99920 	   0.99920 	    0.000065 	     0.000065 	     0.000129 
5800 	 8 	        3.600 	        3.034 	   0.99921 	   0.99921 	    0.000064 	     0.000064 	     0.000128 
5900 	 8 	        3.596 	        3.028 	   0.99922 	   0.99922 	    0.000063 	     0.000063 	     0.000127 
6000 	 8 	        3.604 	        3.034 	   0.99922 	   0.99922 	    0.000064 	     0.000064 	     0.000127 
6100 	 8 	        3.610 	        3.038 	   0.99922 	   0.99922 	    0.000063 	     0.000063 	     0.000127 
6200 	 8 	        3.610 	        3.036 	   0.99923 	   0.99923 	    0.000063 	     0.000063 	     0.000125 
6300 	 8 	        3.609 	        3.033 	   0.99924 	   0.99924 	    0.000062 	     0.000062 	     0.000124 
6400 	 8 	        3.606 	        3.028 	   0.99925 	   0.99925 	    0.000062 	     0.000062 	     0.000123 
6500 	 8 	        3.603 	        3.023 	   0.99926 	   0.99925 	    0.000061 	     0.000061 	     0.000122 
6600 	 8 	        3.600 	        3.018 	   0.99926 	   0.99926 	    0.000061 	     0.000061 	     0.000121 
6700 	 8 	        3.596 	        3.013 	   0.99927 	   0.99927 	    0.000060 	     0.000060 	     0.000120 
