 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 10 	        7.701 	        0.000 	   0.99391 	   0.00000 	    0.000456 	    -1.#IND00 	    -1.#IND00 
200 	 10 	        5.826 	        0.000 	   0.99653 	   0.00000 	    0.000251 	    -1.#IND00 	    -1.#IND00 
300 	 10 	        5.354 	        0.000 	   0.99669 	   0.00000 	    0.000237 	    -1.#IND00 	    -1.#IND00 
400 	 10 	        5.079 	        0.000 	   0.99681 	   0.00000 	    0.000229 	    -1.#IND00 	    -1.#IND00 
500 	 10 	        4.935 	        0.000 	   0.99700 	   0.00000 	    0.000216 	    -1.#IND00 	    -1.#IND00 
600 	 10 	        4.830 	        0.000 	   0.99721 	   0.00000 	    0.000203 	    -1.#IND00 	    -1.#IND00 
700 	 10 	        4.690 	        0.000 	   0.99743 	   0.00000 	    0.000187 	    -1.#IND00 	    -1.#IND00 
800 	 10 	        4.526 	        0.000 	   0.99767 	   0.00000 	    0.000171 	    -1.#IND00 	    -1.#IND00 
900 	 10 	        4.343 	        0.000 	   0.99793 	   0.00000 	    0.000152 	    -1.#IND00 	    -1.#IND00 
1000 	 10 	        3.969 	        0.000 	   0.99833 	   0.00000 	    0.000121 	    -1.#IND00 	    -1.#IND00 
1100 	 10 	        3.418 	        0.000 	   0.99896 	   0.00000 	    0.000079 	    -1.#IND00 	    -1.#IND00 
1200 	 10 	        3.255 	        0.000 	   0.99915 	   0.00000 	    0.000065 	    -1.#IND00 	    -1.#IND00 
1300 	 10 	        3.111 	        0.000 	   0.99929 	   0.00000 	    0.000055 	    -1.#IND00 	    -1.#IND00 
1400 	 10 	        2.979 	        0.000 	   0.99940 	   0.00000 	    0.000046 	    -1.#IND00 	    -1.#IND00 
1500 	 10 	        2.855 	        0.000 	   0.99950 	   0.00000 	    0.000039 	    -1.#IND00 	    -1.#IND00 
1600 	 10 	        2.743 	        0.000 	   0.99957 	   0.00000 	    0.000034 	    -1.#IND00 	    -1.#IND00 
1700 	 10 	        2.644 	        0.000 	   0.99963 	   0.00000 	    0.000029 	    -1.#IND00 	    -1.#IND00 
1800 	 10 	        2.553 	        0.000 	   0.99967 	   0.00000 	    0.000026 	    -1.#IND00 	    -1.#IND00 
1900 	 10 	        2.468 	        0.000 	   0.99971 	   0.00000 	    0.000023 	    -1.#IND00 	    -1.#IND00 
2000 	 10 	        2.393 	        0.000 	   0.99973 	   0.00000 	    0.000021 	    -1.#IND00 	    -1.#IND00 
2100 	 10 	        2.311 	        0.000 	   0.99978 	   0.00000 	    0.000017 	    -1.#IND00 	    -1.#IND00 
2200 	 10 	        2.264 	        0.000 	   0.99979 	   0.00000 	    0.000016 	    -1.#IND00 	    -1.#IND00 
2300 	 10 	        2.225 	        0.000 	   0.99981 	   0.00000 	    0.000015 	    -1.#IND00 	    -1.#IND00 
2400 	 10 	        2.191 	        0.000 	   0.99982 	   0.00000 	    0.000014 	    -1.#IND00 	    -1.#IND00 
2500 	 10 	        2.161 	        0.000 	   0.99982 	   0.00000 	    0.000014 	    -1.#IND00 	    -1.#IND00 
2600 	 10 	        2.135 	        0.000 	   0.99983 	   0.00000 	    0.000013 	    -1.#IND00 	    -1.#IND00 
2700 	 10 	        2.110 	        0.000 	   0.99984 	   0.00000 	    0.000013 	    -1.#IND00 	    -1.#IND00 
2800 	 10 	        2.087 	        0.000 	   0.99984 	   0.00000 	    0.000012 	    -1.#IND00 	    -1.#IND00 
2900 	 10 	        2.063 	        0.000 	   0.99985 	   0.00000 	    0.000012 	    -1.#IND00 	    -1.#IND00 
3000 	 10 	        2.048 	        0.000 	   0.99985 	   0.00000 	    0.000012 	    -1.#IND00 	    -1.#IND00 
3100 	 10 	        2.022 	        0.000 	   0.99985 	   0.00000 	    0.000011 	    -1.#IND00 	    -1.#IND00 
3200 	 10 	        1.998 	        0.000 	   0.99986 	   0.00000 	    0.000011 	    -1.#IND00 	    -1.#IND00 
3300 	 10 	        1.973 	        0.000 	   0.99987 	   0.00000 	    0.000010 	    -1.#IND00 	    -1.#IND00 
3400 	 10 	        1.948 	        0.000 	   0.99987 	   0.00000 	    0.000010 	    -1.#IND00 	    -1.#IND00 
3500 	 10 	        1.925 	        0.000 	   0.99988 	   0.00000 	    0.000009 	    -1.#IND00 	    -1.#IND00 
3600 	 10 	        1.901 	        0.000 	   0.99988 	   0.00000 	    0.000009 	    -1.#IND00 	    -1.#IND00 
3700 	 10 	        1.879 	        0.000 	   0.99989 	   0.00000 	    0.000009 	    -1.#IND00 	    -1.#IND00 
3800 	 10 	        1.856 	        0.000 	   0.99989 	   0.00000 	    0.000008 	    -1.#IND00 	    -1.#IND00 
3900 	 10 	        1.834 	        0.000 	   0.99989 	   0.00000 	    0.000008 	    -1.#IND00 	    -1.#IND00 
