 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 10 	       10.198 	        9.272 	   0.99057 	   0.99047 	    0.000689 	     0.000695 	     0.001383 
200 	 10 	        8.227 	        7.403 	   0.99404 	   0.99394 	    0.000447 	     0.000452 	     0.000899 
300 	 10 	        7.519 	        6.701 	   0.99508 	   0.99499 	    0.000395 	     0.000400 	     0.000796 
400 	 10 	        6.552 	        5.809 	   0.99609 	   0.99601 	    0.000322 	     0.000326 	     0.000648 
500 	 10 	        6.087 	        5.392 	   0.99664 	   0.99657 	    0.000286 	     0.000289 	     0.000576 
600 	 10 	        5.663 	        5.020 	   0.99694 	   0.99688 	    0.000260 	     0.000263 	     0.000522 
700 	 10 	        5.287 	        4.673 	   0.99713 	   0.99708 	    0.000232 	     0.000234 	     0.000466 
800 	 10 	        5.020 	        4.420 	   0.99723 	   0.99718 	    0.000212 	     0.000214 	     0.000426 
900 	 10 	        4.835 	        4.251 	   0.99726 	   0.99721 	    0.000202 	     0.000204 	     0.000406 
1000 	 10 	        4.552 	        3.984 	   0.99740 	   0.99735 	    0.000188 	     0.000190 	     0.000378 
1100 	 10 	        4.403 	        3.822 	   0.99756 	   0.99751 	    0.000180 	     0.000183 	     0.000363 
1200 	 10 	        4.357 	        3.769 	   0.99765 	   0.99761 	    0.000175 	     0.000177 	     0.000352 
1300 	 10 	        4.287 	        3.695 	   0.99778 	   0.99773 	    0.000166 	     0.000168 	     0.000334 
1400 	 10 	        4.196 	        3.603 	   0.99792 	   0.99788 	    0.000156 	     0.000158 	     0.000314 
1500 	 10 	        4.098 	        3.505 	   0.99808 	   0.99804 	    0.000145 	     0.000147 	     0.000291 
1600 	 10 	        3.992 	        3.399 	   0.99824 	   0.99821 	    0.000133 	     0.000134 	     0.000267 
1700 	 10 	        3.885 	        3.294 	   0.99841 	   0.99839 	    0.000121 	     0.000122 	     0.000243 
1800 	 10 	        3.785 	        3.197 	   0.99857 	   0.99855 	    0.000109 	     0.000110 	     0.000219 
1900 	 10 	        3.689 	        3.104 	   0.99872 	   0.99870 	    0.000099 	     0.000099 	     0.000198 
2000 	 10 	        3.611 	        3.031 	   0.99885 	   0.99884 	    0.000090 	     0.000091 	     0.000181 
2100 	 10 	        3.586 	        3.004 	   0.99897 	   0.99896 	    0.000085 	     0.000085 	     0.000170 
2200 	 10 	        3.520 	        2.938 	   0.99905 	   0.99905 	    0.000077 	     0.000078 	     0.000155 
