 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 15 	       43.700 	       42.488 	   0.84964 	   0.84920 	    0.014464 	     0.014454 	     0.028918 
200 	 15 	       44.181 	       42.924 	   0.85176 	   0.85094 	    0.014436 	     0.014452 	     0.028887 
300 	 15 	       50.134 	       49.015 	   0.84406 	   0.84350 	    0.018338 	     0.018320 	     0.036658 
400 	 15 	       42.548 	       41.667 	   0.85037 	   0.84981 	    0.013410 	     0.013411 	     0.026821 
500 	 15 	       50.577 	       49.530 	   0.84292 	   0.84221 	    0.016847 	     0.016851 	     0.033698 
600 	 15 	       43.252 	       42.183 	   0.84725 	   0.84681 	    0.014019 	     0.014016 	     0.028035 
700 	 15 	       40.449 	       39.486 	   0.83877 	   0.83853 	    0.013457 	     0.013449 	     0.026906 
800 	 15 	       37.377 	       36.421 	   0.85051 	   0.85026 	    0.012452 	     0.012451 	     0.024903 
900 	 15 	       37.546 	       36.477 	   0.85383 	   0.85348 	    0.012174 	     0.012186 	     0.024360 
1000 	 15 	       33.332 	       32.267 	   0.86392 	   0.86408 	    0.010817 	     0.010792 	     0.021609 
1100 	 15 	       34.842 	       33.950 	   0.85440 	   0.85483 	    0.011629 	     0.011588 	     0.023217 
1200 	 15 	       35.179 	       34.444 	   0.85724 	   0.85779 	    0.011355 	     0.011304 	     0.022659 
1300 	 15 	       35.587 	       34.939 	   0.85665 	   0.85699 	    0.011895 	     0.011866 	     0.023761 
1400 	 15 	       36.241 	       35.617 	   0.85670 	   0.85705 	    0.012334 	     0.012305 	     0.024639 
1500 	 15 	       36.753 	       36.129 	   0.85778 	   0.85818 	    0.012674 	     0.012643 	     0.025317 
1600 	 15 	       37.242 	       36.628 	   0.85971 	   0.86008 	    0.013077 	     0.013048 	     0.026124 
1700 	 15 	       37.767 	       37.145 	   0.86211 	   0.86242 	    0.013495 	     0.013470 	     0.026965 
1800 	 15 	       37.887 	       37.272 	   0.86514 	   0.86539 	    0.013634 	     0.013613 	     0.027247 
1900 	 15 	       37.249 	       36.679 	   0.86855 	   0.86872 	    0.013372 	     0.013355 	     0.026727 
2000 	 15 	       33.665 	       33.101 	   0.87597 	   0.87634 	    0.011456 	     0.011420 	     0.022876 
2100 	 15 	       33.596 	       32.999 	   0.87844 	   0.87884 	    0.011310 	     0.011275 	     0.022585 
2200 	 15 	       33.464 	       32.806 	   0.87941 	   0.87983 	    0.011312 	     0.011277 	     0.022589 
2300 	 15 	       33.339 	       32.631 	   0.87971 	   0.88010 	    0.011299 	     0.011264 	     0.022563 
2400 	 15 	       33.182 	       32.409 	   0.87964 	   0.88002 	    0.011260 	     0.011225 	     0.022485 
2500 	 15 	       32.924 	       32.136 	   0.88023 	   0.88065 	    0.011037 	     0.010998 	     0.022035 
