 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 11 	       40.504 	        0.000 	   0.84315 	   0.00000 	    0.014629 	    -1.#IND00 	    -1.#IND00 
200 	 11 	       36.090 	        0.000 	   0.84503 	   0.00000 	    0.011753 	    -1.#IND00 	    -1.#IND00 
300 	 11 	       35.836 	        0.000 	   0.84628 	   0.00000 	    0.011604 	    -1.#IND00 	    -1.#IND00 
400 	 11 	       33.911 	        0.000 	   0.85862 	   0.00000 	    0.010692 	    -1.#IND00 	    -1.#IND00 
500 	 11 	       32.520 	        0.000 	   0.86719 	   0.00000 	    0.010123 	    -1.#IND00 	    -1.#IND00 
600 	 11 	       31.954 	        0.000 	   0.87191 	   0.00000 	    0.009905 	    -1.#IND00 	    -1.#IND00 
700 	 11 	       32.077 	        0.000 	   0.87320 	   0.00000 	    0.009879 	    -1.#IND00 	    -1.#IND00 
800 	 11 	       31.997 	        0.000 	   0.87477 	   0.00000 	    0.009784 	    -1.#IND00 	    -1.#IND00 
900 	 11 	       31.921 	        0.000 	   0.87687 	   0.00000 	    0.009674 	    -1.#IND00 	    -1.#IND00 
1000 	 11 	       30.560 	        0.000 	   0.87397 	   0.00000 	    0.009560 	    -1.#IND00 	    -1.#IND00 
1100 	 11 	       28.386 	        0.000 	   0.88662 	   0.00000 	    0.008610 	    -1.#IND00 	    -1.#IND00 
1200 	 11 	       28.552 	        0.000 	   0.88631 	   0.00000 	    0.008590 	    -1.#IND00 	    -1.#IND00 
1300 	 11 	       28.590 	        0.000 	   0.88623 	   0.00000 	    0.008553 	    -1.#IND00 	    -1.#IND00 
1400 	 11 	       28.599 	        0.000 	   0.88636 	   0.00000 	    0.008516 	    -1.#IND00 	    -1.#IND00 
1500 	 11 	       28.602 	        0.000 	   0.88653 	   0.00000 	    0.008480 	    -1.#IND00 	    -1.#IND00 
1600 	 11 	       28.680 	        0.000 	   0.88646 	   0.00000 	    0.008456 	    -1.#IND00 	    -1.#IND00 
1700 	 11 	       28.860 	        0.000 	   0.88603 	   0.00000 	    0.008467 	    -1.#IND00 	    -1.#IND00 
1800 	 11 	       29.007 	        0.000 	   0.88589 	   0.00000 	    0.008466 	    -1.#IND00 	    -1.#IND00 
1900 	 11 	       28.767 	        0.000 	   0.88751 	   0.00000 	    0.008376 	    -1.#IND00 	    -1.#IND00 
2000 	 11 	       28.482 	        0.000 	   0.88995 	   0.00000 	    0.008233 	    -1.#IND00 	    -1.#IND00 
2100 	 11 	       27.769 	        0.000 	   0.89531 	   0.00000 	    0.007780 	    -1.#IND00 	    -1.#IND00 
2200 	 11 	       27.739 	        0.000 	   0.89541 	   0.00000 	    0.007771 	    -1.#IND00 	    -1.#IND00 
2300 	 11 	       27.787 	        0.000 	   0.89525 	   0.00000 	    0.007785 	    -1.#IND00 	    -1.#IND00 
2400 	 11 	       27.890 	        0.000 	   0.89502 	   0.00000 	    0.007800 	    -1.#IND00 	    -1.#IND00 
2500 	 11 	       27.954 	        0.000 	   0.89500 	   0.00000 	    0.007795 	    -1.#IND00 	    -1.#IND00 
2600 	 11 	       27.991 	        0.000 	   0.89514 	   0.00000 	    0.007774 	    -1.#IND00 	    -1.#IND00 
2700 	 11 	       27.978 	        0.000 	   0.89543 	   0.00000 	    0.007742 	    -1.#IND00 	    -1.#IND00 
2800 	 11 	       27.879 	        0.000 	   0.89608 	   0.00000 	    0.007682 	    -1.#IND00 	    -1.#IND00 
2900 	 11 	       27.867 	        0.000 	   0.89549 	   0.00000 	    0.007744 	    -1.#IND00 	    -1.#IND00 
3000 	 11 	       27.699 	        0.000 	   0.89634 	   0.00000 	    0.007685 	    -1.#IND00 	    -1.#IND00 
3100 	 11 	       27.444 	        0.000 	   0.89933 	   0.00000 	    0.007446 	    -1.#IND00 	    -1.#IND00 
3200 	 11 	       27.477 	        0.000 	   0.89891 	   0.00000 	    0.007486 	    -1.#IND00 	    -1.#IND00 
3300 	 11 	       27.480 	        0.000 	   0.89856 	   0.00000 	    0.007519 	    -1.#IND00 	    -1.#IND00 
3400 	 11 	       27.453 	        0.000 	   0.89833 	   0.00000 	    0.007544 	    -1.#IND00 	    -1.#IND00 
3500 	 11 	       27.415 	        0.000 	   0.89823 	   0.00000 	    0.007558 	    -1.#IND00 	    -1.#IND00 
3600 	 11 	       27.382 	        0.000 	   0.89819 	   0.00000 	    0.007567 	    -1.#IND00 	    -1.#IND00 
3700 	 11 	       27.355 	        0.000 	   0.89814 	   0.00000 	    0.007575 	    -1.#IND00 	    -1.#IND00 
3800 	 11 	       27.327 	        0.000 	   0.89807 	   0.00000 	    0.007583 	    -1.#IND00 	    -1.#IND00 
3900 	 11 	       27.300 	        0.000 	   0.89800 	   0.00000 	    0.007590 	    -1.#IND00 	    -1.#IND00 
4000 	 11 	       26.957 	        0.000 	   0.90078 	   0.00000 	    0.007357 	    -1.#IND00 	    -1.#IND00 
4100 	 11 	       26.719 	        0.000 	   0.90366 	   0.00000 	    0.007119 	    -1.#IND00 	    -1.#IND00 
4200 	 11 	       26.693 	        0.000 	   0.90372 	   0.00000 	    0.007117 	    -1.#IND00 	    -1.#IND00 
4300 	 11 	       26.675 	        0.000 	   0.90375 	   0.00000 	    0.007117 	    -1.#IND00 	    -1.#IND00 
4400 	 11 	       26.661 	        0.000 	   0.90378 	   0.00000 	    0.007116 	    -1.#IND00 	    -1.#IND00 
4500 	 11 	       26.647 	        0.000 	   0.90382 	   0.00000 	    0.007114 	    -1.#IND00 	    -1.#IND00 
4600 	 11 	       26.633 	        0.000 	   0.90385 	   0.00000 	    0.007112 	    -1.#IND00 	    -1.#IND00 
4700 	 11 	       26.619 	        0.000 	   0.90389 	   0.00000 	    0.007110 	    -1.#IND00 	    -1.#IND00 
4800 	 11 	       26.604 	        0.000 	   0.90392 	   0.00000 	    0.007109 	    -1.#IND00 	    -1.#IND00 
4900 	 11 	       26.589 	        0.000 	   0.90395 	   0.00000 	    0.007107 	    -1.#IND00 	    -1.#IND00 
5000 	 11 	       26.353 	        0.000 	   0.90634 	   0.00000 	    0.006915 	    -1.#IND00 	    -1.#IND00 
5100 	 11 	       26.152 	        0.000 	   0.90858 	   0.00000 	    0.006727 	    -1.#IND00 	    -1.#IND00 
5200 	 11 	       26.133 	        0.000 	   0.90867 	   0.00000 	    0.006722 	    -1.#IND00 	    -1.#IND00 
5300 	 11 	       26.120 	        0.000 	   0.90870 	   0.00000 	    0.006721 	    -1.#IND00 	    -1.#IND00 
5400 	 11 	       26.110 	        0.000 	   0.90872 	   0.00000 	    0.006720 	    -1.#IND00 	    -1.#IND00 
5500 	 11 	       26.100 	        0.000 	   0.90873 	   0.00000 	    0.006720 	    -1.#IND00 	    -1.#IND00 
5600 	 11 	       26.090 	        0.000 	   0.90874 	   0.00000 	    0.006719 	    -1.#IND00 	    -1.#IND00 
5700 	 11 	       26.081 	        0.000 	   0.90876 	   0.00000 	    0.006719 	    -1.#IND00 	    -1.#IND00 
5800 	 11 	       26.072 	        0.000 	   0.90878 	   0.00000 	    0.006717 	    -1.#IND00 	    -1.#IND00 
5900 	 11 	       26.063 	        0.000 	   0.90880 	   0.00000 	    0.006716 	    -1.#IND00 	    -1.#IND00 
6000 	 11 	       25.881 	        0.000 	   0.91079 	   0.00000 	    0.006551 	    -1.#IND00 	    -1.#IND00 
6100 	 11 	       25.731 	        0.000 	   0.91243 	   0.00000 	    0.006415 	    -1.#IND00 	    -1.#IND00 
6200 	 11 	       25.715 	        0.000 	   0.91255 	   0.00000 	    0.006406 	    -1.#IND00 	    -1.#IND00 
6300 	 11 	       25.703 	        0.000 	   0.91264 	   0.00000 	    0.006399 	    -1.#IND00 	    -1.#IND00 
6400 	 11 	       25.692 	        0.000 	   0.91272 	   0.00000 	    0.006394 	    -1.#IND00 	    -1.#IND00 
6500 	 11 	       25.682 	        0.000 	   0.91279 	   0.00000 	    0.006388 	    -1.#IND00 	    -1.#IND00 
6600 	 11 	       25.672 	        0.000 	   0.91286 	   0.00000 	    0.006383 	    -1.#IND00 	    -1.#IND00 
6700 	 11 	       25.662 	        0.000 	   0.91293 	   0.00000 	    0.006378 	    -1.#IND00 	    -1.#IND00 
6800 	 11 	       25.649 	        0.000 	   0.91301 	   0.00000 	    0.006372 	    -1.#IND00 	    -1.#IND00 
