 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 10 	       46.620 	       45.135 	   0.84181 	   0.84110 	    0.015255 	     0.015265 	     0.030520 
200 	 10 	       41.288 	       40.392 	   0.85012 	   0.84947 	    0.013654 	     0.013685 	     0.027339 
300 	 10 	       42.556 	       41.508 	   0.84843 	   0.84848 	    0.015665 	     0.015624 	     0.031290 
400 	 10 	       43.826 	       43.406 	   0.83614 	   0.83594 	    0.016746 	     0.016723 	     0.033469 
500 	 10 	       44.560 	       44.086 	   0.82478 	   0.82444 	    0.017028 	     0.017014 	     0.034042 
600 	 10 	       41.819 	       41.191 	   0.82925 	   0.82937 	    0.015446 	     0.015401 	     0.030847 
700 	 10 	       40.407 	       39.701 	   0.83197 	   0.83237 	    0.014717 	     0.014657 	     0.029374 
800 	 10 	       39.938 	       39.282 	   0.83377 	   0.83436 	    0.014416 	     0.014345 	     0.028761 
900 	 10 	       38.759 	       38.112 	   0.84004 	   0.84053 	    0.013677 	     0.013616 	     0.027293 
1000 	 10 	       34.849 	       34.232 	   0.85137 	   0.85202 	    0.011603 	     0.011537 	     0.023140 
1100 	 10 	       34.622 	       33.909 	   0.85610 	   0.85635 	    0.010972 	     0.010935 	     0.021907 
1200 	 10 	       34.507 	       33.761 	   0.85875 	   0.85900 	    0.010767 	     0.010731 	     0.021499 
1300 	 10 	       34.126 	       33.354 	   0.86178 	   0.86209 	    0.010544 	     0.010504 	     0.021048 
1400 	 10 	       34.718 	       33.968 	   0.86236 	   0.86262 	    0.010633 	     0.010597 	     0.021230 
1500 	 10 	       33.897 	       33.265 	   0.86311 	   0.86342 	    0.010432 	     0.010395 	     0.020827 
1600 	 10 	       33.532 	       32.906 	   0.86301 	   0.86354 	    0.010261 	     0.010208 	     0.020469 
1700 	 10 	       33.564 	       32.850 	   0.86182 	   0.86238 	    0.010171 	     0.010116 	     0.020288 
1800 	 10 	       32.898 	       32.175 	   0.86304 	   0.86356 	    0.010008 	     0.009957 	     0.019964 
1900 	 10 	       32.487 	       32.053 	   0.86257 	   0.86292 	    0.009981 	     0.009940 	     0.019921 
2000 	 10 	       32.657 	       32.430 	   0.86171 	   0.86185 	    0.010062 	     0.010035 	     0.020098 
2100 	 10 	       32.876 	       32.796 	   0.86730 	   0.86737 	    0.009641 	     0.009620 	     0.019262 
2200 	 10 	       32.867 	       32.828 	   0.86928 	   0.86926 	    0.009509 	     0.009495 	     0.019004 
2300 	 10 	       32.780 	       32.739 	   0.87068 	   0.87067 	    0.009409 	     0.009394 	     0.018803 
2400 	 10 	       32.679 	       32.629 	   0.87199 	   0.87199 	    0.009313 	     0.009297 	     0.018610 
2500 	 10 	       32.568 	       32.491 	   0.87345 	   0.87346 	    0.009205 	     0.009189 	     0.018394 
2600 	 10 	       32.403 	       32.313 	   0.87505 	   0.87506 	    0.009087 	     0.009070 	     0.018157 
2700 	 10 	       32.149 	       32.043 	   0.87662 	   0.87662 	    0.008969 	     0.008953 	     0.017922 
2800 	 10 	       31.842 	       31.721 	   0.87816 	   0.87817 	    0.008853 	     0.008838 	     0.017691 
2900 	 10 	       31.534 	       31.390 	   0.87977 	   0.87978 	    0.008734 	     0.008718 	     0.017452 
3000 	 10 	       30.702 	       30.549 	   0.88294 	   0.88296 	    0.008470 	     0.008454 	     0.016924 
3100 	 10 	       30.145 	       29.986 	   0.88713 	   0.88717 	    0.008165 	     0.008147 	     0.016312 
3200 	 10 	       29.861 	       29.691 	   0.88879 	   0.88881 	    0.008044 	     0.008028 	     0.016072 
3300 	 10 	       29.580 	       29.408 	   0.89001 	   0.89001 	    0.007956 	     0.007942 	     0.015897 
3400 	 10 	       29.296 	       29.133 	   0.89099 	   0.89098 	    0.007887 	     0.007873 	     0.015760 
3500 	 10 	       29.010 	       28.864 	   0.89181 	   0.89180 	    0.007831 	     0.007819 	     0.015650 
3600 	 10 	       28.744 	       28.618 	   0.89252 	   0.89250 	    0.007788 	     0.007776 	     0.015563 
3700 	 10 	       28.507 	       28.411 	   0.89311 	   0.89309 	    0.007755 	     0.007743 	     0.015498 
3800 	 10 	       28.286 	       28.225 	   0.89365 	   0.89362 	    0.007727 	     0.007716 	     0.015442 
3900 	 10 	       28.095 	       28.068 	   0.89411 	   0.89408 	    0.007702 	     0.007691 	     0.015393 
4000 	 10 	       27.713 	       27.715 	   0.89571 	   0.89570 	    0.007604 	     0.007591 	     0.015195 
4100 	 10 	       27.472 	       27.502 	   0.89759 	   0.89757 	    0.007457 	     0.007446 	     0.014903 
4200 	 10 	       27.360 	       27.417 	   0.89823 	   0.89822 	    0.007416 	     0.007405 	     0.014821 
4300 	 10 	       27.271 	       27.346 	   0.89862 	   0.89862 	    0.007393 	     0.007381 	     0.014775 
4400 	 10 	       27.194 	       27.282 	   0.89888 	   0.89889 	    0.007379 	     0.007366 	     0.014745 
4500 	 10 	       27.129 	       27.228 	   0.89906 	   0.89908 	    0.007369 	     0.007356 	     0.014725 
4600 	 10 	       27.078 	       27.180 	   0.89919 	   0.89922 	    0.007363 	     0.007349 	     0.014711 
4700 	 10 	       27.037 	       27.136 	   0.89929 	   0.89933 	    0.007358 	     0.007343 	     0.014701 
