 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 9 	       53.493 	       53.216 	   0.32904 	   0.32837 	    0.078343 	     0.078252 	     0.156595 
200 	 9 	       54.440 	       54.209 	   0.34185 	   0.34153 	    0.082896 	     0.082845 	     0.165741 
300 	 9 	       54.371 	       54.223 	   0.33327 	   0.33321 	    0.080922 	     0.080820 	     0.161742 
400 	 9 	       53.160 	       53.260 	   0.41465 	   0.41471 	    0.071991 	     0.071871 	     0.143863 
500 	 9 	       53.398 	       53.511 	   0.37007 	   0.37009 	    0.075291 	     0.075117 	     0.150408 
600 	 9 	       47.234 	       47.264 	   0.53262 	   0.53449 	    0.044518 	     0.044302 	     0.088820 
700 	 9 	       45.570 	       45.757 	   0.57805 	   0.57973 	    0.038939 	     0.038719 	     0.077657 
800 	 9 	       45.335 	       45.562 	   0.59763 	   0.59885 	    0.036852 	     0.036671 	     0.073523 
900 	 9 	       45.322 	       45.570 	   0.60872 	   0.60949 	    0.035959 	     0.035815 	     0.071774 
1000 	 9 	       42.344 	       42.497 	   0.70893 	   0.70893 	    0.022523 	     0.022492 	     0.045016 
1100 	 9 	       42.186 	       42.363 	   0.71412 	   0.71378 	    0.023119 	     0.023107 	     0.046226 
1200 	 9 	       42.253 	       42.352 	   0.70591 	   0.70547 	    0.024079 	     0.024072 	     0.048151 
1300 	 9 	       42.542 	       42.607 	   0.69695 	   0.69633 	    0.025439 	     0.025441 	     0.050879 
1400 	 9 	       42.958 	       42.973 	   0.67851 	   0.67788 	    0.027166 	     0.027161 	     0.054327 
1500 	 9 	       43.090 	       43.127 	   0.65936 	   0.65871 	    0.028877 	     0.028867 	     0.057744 
1600 	 9 	       43.335 	       43.404 	   0.63396 	   0.63331 	    0.031338 	     0.031319 	     0.062658 
1700 	 9 	       43.419 	       43.517 	   0.61924 	   0.61854 	    0.032797 	     0.032774 	     0.065571 
1800 	 9 	       43.275 	       43.404 	   0.62185 	   0.62100 	    0.032640 	     0.032626 	     0.065266 
1900 	 9 	       43.165 	       43.299 	   0.62533 	   0.62431 	    0.032260 	     0.032258 	     0.064518 
2000 	 9 	       42.208 	       42.374 	   0.68498 	   0.68354 	    0.024950 	     0.025003 	     0.049953 
2100 	 9 	       41.618 	       41.703 	   0.72432 	   0.72261 	    0.021508 	     0.021588 	     0.043096 
2200 	 9 	       41.395 	       41.430 	   0.72620 	   0.72446 	    0.021328 	     0.021410 	     0.042738 
2300 	 9 	       41.258 	       41.257 	   0.72669 	   0.72500 	    0.021270 	     0.021348 	     0.042618 
