 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 5 	       55.421 	       54.892 	   0.42785 	   0.42724 	    0.087857 	     0.087731 	     0.175588 
200 	 5 	       56.842 	       56.196 	   0.31374 	   0.31320 	    0.097514 	     0.097398 	     0.194912 
300 	 5 	       56.787 	       56.047 	   0.41854 	   0.41884 	    0.092812 	     0.092615 	     0.185427 
400 	 5 	       60.492 	       59.602 	   0.22767 	   0.22767 	    0.116428 	     0.116178 	     0.232606 
500 	 5 	       58.630 	       58.088 	   0.26708 	   0.26756 	    0.105859 	     0.105608 	     0.211467 
600 	 5 	       57.751 	       57.234 	   0.28814 	   0.28912 	    0.099164 	     0.098897 	     0.198061 
700 	 5 	       57.415 	       56.887 	   0.30445 	   0.30567 	    0.096218 	     0.095945 	     0.192163 
800 	 5 	       57.149 	       56.629 	   0.31593 	   0.31729 	    0.094249 	     0.093976 	     0.188224 
900 	 5 	       56.910 	       56.404 	   0.32507 	   0.32652 	    0.092770 	     0.092497 	     0.185267 
1000 	 5 	       47.156 	       46.434 	   0.63032 	   0.63176 	    0.041083 	     0.040911 	     0.081995 
1100 	 5 	       47.681 	       46.859 	   0.60486 	   0.60671 	    0.044267 	     0.044057 	     0.088324 
1200 	 5 	       47.863 	       47.065 	   0.62387 	   0.62534 	    0.043670 	     0.043482 	     0.087151 
1300 	 5 	       48.548 	       47.778 	   0.63123 	   0.63324 	    0.047069 	     0.046849 	     0.093919 
1400 	 5 	       48.320 	       47.614 	   0.63696 	   0.63906 	    0.046425 	     0.046195 	     0.092620 
1500 	 5 	       47.996 	       47.327 	   0.64181 	   0.64392 	    0.045831 	     0.045594 	     0.091425 
1600 	 5 	       47.654 	       47.010 	   0.64657 	   0.64873 	    0.045288 	     0.045043 	     0.090332 
1700 	 5 	       47.195 	       46.562 	   0.65399 	   0.65624 	    0.044458 	     0.044205 	     0.088663 
1800 	 5 	       45.717 	       45.061 	   0.68587 	   0.68848 	    0.040978 	     0.040743 	     0.081721 
1900 	 5 	       45.616 	       44.983 	   0.69573 	   0.69812 	    0.041152 	     0.040924 	     0.082076 
2000 	 5 	       42.982 	       42.294 	   0.75482 	   0.75635 	    0.024768 	     0.024596 	     0.049364 
2100 	 5 	       42.440 	       41.864 	   0.77196 	   0.77374 	    0.023879 	     0.023693 	     0.047572 
2200 	 5 	       42.170 	       41.682 	   0.77736 	   0.77886 	    0.023672 	     0.023497 	     0.047169 
2300 	 5 	       42.002 	       41.605 	   0.78044 	   0.78169 	    0.023697 	     0.023532 	     0.047229 
2400 	 5 	       41.928 	       41.599 	   0.78184 	   0.78290 	    0.023819 	     0.023661 	     0.047480 
2500 	 5 	       41.905 	       41.632 	   0.78247 	   0.78339 	    0.023928 	     0.023776 	     0.047705 
2600 	 5 	       41.890 	       41.658 	   0.78291 	   0.78372 	    0.023988 	     0.023840 	     0.047828 
2700 	 5 	       41.872 	       41.667 	   0.78330 	   0.78404 	    0.024016 	     0.023871 	     0.047887 
2800 	 5 	       41.857 	       41.675 	   0.78362 	   0.78430 	    0.024044 	     0.023901 	     0.047945 
2900 	 5 	       41.861 	       41.700 	   0.78378 	   0.78440 	    0.024098 	     0.023956 	     0.048054 
3000 	 5 	       40.862 	       40.688 	   0.80016 	   0.80032 	    0.018369 	     0.018280 	     0.036648 
3100 	 5 	       40.439 	       40.296 	   0.80661 	   0.80704 	    0.017878 	     0.017777 	     0.035656 
3200 	 5 	       40.393 	       40.269 	   0.80675 	   0.80713 	    0.017989 	     0.017890 	     0.035879 
3300 	 5 	       40.379 	       40.271 	   0.80670 	   0.80703 	    0.018077 	     0.017981 	     0.036058 
3400 	 5 	       40.388 	       40.291 	   0.80653 	   0.80683 	    0.018170 	     0.018075 	     0.036246 
3500 	 5 	       40.426 	       40.340 	   0.80615 	   0.80643 	    0.018307 	     0.018213 	     0.036520 
3600 	 5 	       40.508 	       40.433 	   0.80544 	   0.80571 	    0.018528 	     0.018433 	     0.036961 
3700 	 5 	       40.653 	       40.585 	   0.80437 	   0.80461 	    0.018842 	     0.018747 	     0.037589 
3800 	 5 	       40.820 	       40.757 	   0.80307 	   0.80330 	    0.019209 	     0.019111 	     0.038320 
3900 	 5 	       40.989 	       40.925 	   0.80169 	   0.80190 	    0.019590 	     0.019491 	     0.039080 
4000 	 5 	       40.317 	       40.255 	   0.81002 	   0.80996 	    0.016940 	     0.016874 	     0.033815 
4100 	 5 	       40.116 	       40.050 	   0.81344 	   0.81361 	    0.016676 	     0.016597 	     0.033274 
4200 	 5 	       40.150 	       40.087 	   0.81307 	   0.81323 	    0.016806 	     0.016727 	     0.033532 
4300 	 5 	       40.188 	       40.124 	   0.81277 	   0.81291 	    0.016910 	     0.016831 	     0.033741 
4400 	 5 	       40.224 	       40.161 	   0.81249 	   0.81262 	    0.017005 	     0.016926 	     0.033931 
