 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 13 	       55.686 	       55.383 	   0.64670 	   0.64729 	    0.073533 	     0.073329 	     0.146861 
200 	 13 	       48.892 	       48.400 	   0.61205 	   0.61218 	    0.049616 	     0.049453 	     0.099069 
300 	 13 	       49.075 	       49.016 	   0.49474 	   0.49432 	    0.055356 	     0.055195 	     0.110551 
400 	 13 	       48.621 	       48.527 	   0.42241 	   0.42207 	    0.064977 	     0.064764 	     0.129742 
500 	 13 	       47.255 	       47.093 	   0.43219 	   0.43145 	    0.060962 	     0.060801 	     0.121763 
600 	 13 	       46.626 	       46.478 	   0.46218 	   0.46123 	    0.057193 	     0.057059 	     0.114253 
700 	 13 	       46.492 	       46.271 	   0.48295 	   0.48186 	    0.057144 	     0.057041 	     0.114186 
800 	 13 	       44.825 	       44.357 	   0.50169 	   0.50025 	    0.055284 	     0.055222 	     0.110507 
900 	 13 	       45.045 	       44.604 	   0.53623 	   0.53370 	    0.057261 	     0.057253 	     0.114514 
1000 	 13 	       36.809 	       36.285 	   0.69339 	   0.69246 	    0.030559 	     0.030506 	     0.061065 
1100 	 13 	       36.292 	       35.761 	   0.72333 	   0.72340 	    0.028475 	     0.028343 	     0.056817 
1200 	 13 	       36.072 	       35.602 	   0.73229 	   0.73256 	    0.027787 	     0.027637 	     0.055424 
1300 	 13 	       36.168 	       35.713 	   0.73477 	   0.73512 	    0.027798 	     0.027637 	     0.055435 
1400 	 13 	       36.346 	       35.888 	   0.73511 	   0.73546 	    0.027899 	     0.027737 	     0.055637 
1500 	 13 	       36.331 	       35.871 	   0.73647 	   0.73680 	    0.027687 	     0.027529 	     0.055216 
1600 	 13 	       35.949 	       35.482 	   0.74008 	   0.74039 	    0.026892 	     0.026743 	     0.053635 
1700 	 13 	       34.487 	       34.022 	   0.73769 	   0.73776 	    0.024474 	     0.024369 	     0.048843 
1800 	 13 	       34.235 	       33.753 	   0.73123 	   0.73128 	    0.024492 	     0.024396 	     0.048888 
1900 	 13 	       34.236 	       33.713 	   0.73068 	   0.73072 	    0.024727 	     0.024634 	     0.049361 
2000 	 13 	       32.004 	       31.417 	   0.78097 	   0.78090 	    0.019384 	     0.019320 	     0.038705 
2100 	 13 	       31.206 	       30.540 	   0.79882 	   0.79894 	    0.017887 	     0.017812 	     0.035699 
2200 	 13 	       30.809 	       30.113 	   0.80297 	   0.80314 	    0.017717 	     0.017639 	     0.035356 
2300 	 13 	       30.355 	       29.652 	   0.80712 	   0.80737 	    0.017699 	     0.017617 	     0.035316 
2400 	 13 	       29.967 	       29.261 	   0.80991 	   0.81023 	    0.017852 	     0.017764 	     0.035616 
2500 	 13 	       29.943 	       29.230 	   0.80977 	   0.81013 	    0.018254 	     0.018162 	     0.036416 
2600 	 13 	       30.215 	       29.515 	   0.80799 	   0.80838 	    0.018807 	     0.018710 	     0.037517 
2700 	 13 	       30.531 	       29.829 	   0.80549 	   0.80589 	    0.019373 	     0.019272 	     0.038645 
2800 	 13 	       30.669 	       29.951 	   0.79961 	   0.80000 	    0.019822 	     0.019722 	     0.039544 
2900 	 13 	       30.563 	       29.828 	   0.79620 	   0.79663 	    0.019803 	     0.019703 	     0.039506 
3000 	 13 	       29.729 	       28.969 	   0.81583 	   0.81625 	    0.017739 	     0.017648 	     0.035387 
3100 	 13 	       29.628 	       28.883 	   0.82880 	   0.82944 	    0.017226 	     0.017121 	     0.034347 
3200 	 13 	       30.953 	       30.235 	   0.83708 	   0.83780 	    0.018575 	     0.018452 	     0.037027 
3300 	 13 	       30.984 	       30.281 	   0.84056 	   0.84099 	    0.018498 	     0.018394 	     0.036892 
3400 	 13 	       30.552 	       29.863 	   0.84220 	   0.84257 	    0.017725 	     0.017637 	     0.035362 
3500 	 13 	       30.486 	       29.815 	   0.84005 	   0.84034 	    0.017915 	     0.017832 	     0.035747 
3600 	 13 	       30.507 	       29.849 	   0.83613 	   0.83631 	    0.018428 	     0.018351 	     0.036779 
3700 	 13 	       30.538 	       29.890 	   0.83174 	   0.83178 	    0.018999 	     0.018930 	     0.037929 
3800 	 13 	       30.568 	       29.936 	   0.82748 	   0.82735 	    0.019560 	     0.019497 	     0.039057 
3900 	 13 	       30.605 	       29.984 	   0.82374 	   0.82347 	    0.020047 	     0.019991 	     0.040038 
4000 	 13 	       29.392 	       28.761 	   0.84197 	   0.84152 	    0.017494 	     0.017456 	     0.034950 
4100 	 13 	       28.755 	       28.087 	   0.85296 	   0.85264 	    0.016246 	     0.016203 	     0.032448 
4200 	 13 	       28.744 	       28.074 	   0.85240 	   0.85204 	    0.016323 	     0.016282 	     0.032606 
4300 	 13 	       28.736 	       28.067 	   0.85169 	   0.85130 	    0.016397 	     0.016357 	     0.032754 
4400 	 13 	       28.716 	       28.047 	   0.85115 	   0.85074 	    0.016431 	     0.016392 	     0.032823 
4500 	 13 	       28.682 	       28.013 	   0.85080 	   0.85037 	    0.016429 	     0.016392 	     0.032820 
4600 	 13 	       28.633 	       27.966 	   0.85064 	   0.85019 	    0.016397 	     0.016361 	     0.032759 
4700 	 13 	       28.572 	       27.907 	   0.85067 	   0.85020 	    0.016341 	     0.016307 	     0.032648 
4800 	 13 	       28.502 	       27.839 	   0.85087 	   0.85039 	    0.016265 	     0.016231 	     0.032497 
4900 	 13 	       28.430 	       27.767 	   0.85124 	   0.85075 	    0.016174 	     0.016141 	     0.032315 
