 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 8 	       46.689 	        0.000 	   0.65383 	   0.00000 	    0.046626 	    -1.#IND00 	    -1.#IND00 
200 	 8 	       42.922 	        0.000 	   0.67591 	   0.00000 	    0.039163 	    -1.#IND00 	    -1.#IND00 
300 	 8 	       41.831 	        0.000 	   0.68186 	   0.00000 	    0.037355 	    -1.#IND00 	    -1.#IND00 
400 	 8 	       40.256 	        0.000 	   0.68403 	   0.00000 	    0.035057 	    -1.#IND00 	    -1.#IND00 
500 	 8 	       39.747 	        0.000 	   0.68914 	   0.00000 	    0.033231 	    -1.#IND00 	    -1.#IND00 
600 	 8 	       37.054 	        0.000 	   0.70616 	   0.00000 	    0.029072 	    -1.#IND00 	    -1.#IND00 
700 	 8 	       36.738 	        0.000 	   0.67928 	   0.00000 	    0.031036 	    -1.#IND00 	    -1.#IND00 
800 	 8 	       36.650 	        0.000 	   0.68132 	   0.00000 	    0.030409 	    -1.#IND00 	    -1.#IND00 
900 	 8 	       36.508 	        0.000 	   0.68866 	   0.00000 	    0.029561 	    -1.#IND00 	    -1.#IND00 
1000 	 8 	       32.372 	        0.000 	   0.81413 	   0.00000 	    0.014499 	    -1.#IND00 	    -1.#IND00 
1100 	 8 	       30.867 	        0.000 	   0.85659 	   0.00000 	    0.011180 	    -1.#IND00 	    -1.#IND00 
1200 	 8 	       30.716 	        0.000 	   0.85922 	   0.00000 	    0.010858 	    -1.#IND00 	    -1.#IND00 
1300 	 8 	       30.638 	        0.000 	   0.85887 	   0.00000 	    0.010787 	    -1.#IND00 	    -1.#IND00 
1400 	 8 	       30.821 	        0.000 	   0.85155 	   0.00000 	    0.011256 	    -1.#IND00 	    -1.#IND00 
1500 	 8 	       31.066 	        0.000 	   0.84064 	   0.00000 	    0.012026 	    -1.#IND00 	    -1.#IND00 
1600 	 8 	       30.588 	        0.000 	   0.84462 	   0.00000 	    0.012189 	    -1.#IND00 	    -1.#IND00 
1700 	 8 	       30.407 	        0.000 	   0.84952 	   0.00000 	    0.012132 	    -1.#IND00 	    -1.#IND00 
1800 	 8 	       30.247 	        0.000 	   0.85425 	   0.00000 	    0.011881 	    -1.#IND00 	    -1.#IND00 
1900 	 8 	       30.172 	        0.000 	   0.85801 	   0.00000 	    0.011673 	    -1.#IND00 	    -1.#IND00 
2000 	 8 	       27.883 	        0.000 	   0.90221 	   0.00000 	    0.007322 	    -1.#IND00 	    -1.#IND00 
2100 	 8 	       27.372 	        0.000 	   0.90940 	   0.00000 	    0.006838 	    -1.#IND00 	    -1.#IND00 
2200 	 8 	       27.323 	        0.000 	   0.90976 	   0.00000 	    0.006860 	    -1.#IND00 	    -1.#IND00 
2300 	 8 	       27.314 	        0.000 	   0.90911 	   0.00000 	    0.006941 	    -1.#IND00 	    -1.#IND00 
2400 	 8 	       27.320 	        0.000 	   0.90840 	   0.00000 	    0.007016 	    -1.#IND00 	    -1.#IND00 
2500 	 8 	       27.333 	        0.000 	   0.90791 	   0.00000 	    0.007074 	    -1.#IND00 	    -1.#IND00 
2600 	 8 	       27.344 	        0.000 	   0.90770 	   0.00000 	    0.007110 	    -1.#IND00 	    -1.#IND00 
2700 	 8 	       27.337 	        0.000 	   0.90774 	   0.00000 	    0.007128 	    -1.#IND00 	    -1.#IND00 
2800 	 8 	       27.312 	        0.000 	   0.90795 	   0.00000 	    0.007133 	    -1.#IND00 	    -1.#IND00 
2900 	 8 	       27.269 	        0.000 	   0.90825 	   0.00000 	    0.007128 	    -1.#IND00 	    -1.#IND00 
3000 	 8 	       26.485 	        0.000 	   0.92169 	   0.00000 	    0.005765 	    -1.#IND00 	    -1.#IND00 
3100 	 8 	       26.095 	        0.000 	   0.92531 	   0.00000 	    0.005496 	    -1.#IND00 	    -1.#IND00 
3200 	 8 	       26.024 	        0.000 	   0.92599 	   0.00000 	    0.005445 	    -1.#IND00 	    -1.#IND00 
3300 	 8 	       25.964 	        0.000 	   0.92644 	   0.00000 	    0.005431 	    -1.#IND00 	    -1.#IND00 
3400 	 8 	       25.955 	        0.000 	   0.92645 	   0.00000 	    0.005492 	    -1.#IND00 	    -1.#IND00 
3500 	 8 	       25.969 	        0.000 	   0.92637 	   0.00000 	    0.005535 	    -1.#IND00 	    -1.#IND00 
