 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 9 	       61.550 	       61.318 	   0.58552 	   0.58539 	    0.093142 	     0.092880 	     0.186022 
200 	 9 	       60.899 	       60.938 	   0.46322 	   0.46253 	    0.093609 	     0.093385 	     0.186994 
300 	 9 	       62.894 	       62.862 	   0.46835 	   0.46734 	    0.095797 	     0.095591 	     0.191388 
400 	 9 	       58.302 	       58.257 	   0.45338 	   0.45222 	    0.084227 	     0.084090 	     0.168317 
500 	 9 	       55.912 	       55.840 	   0.46254 	   0.46166 	    0.075989 	     0.075827 	     0.151817 
600 	 9 	       55.043 	       54.908 	   0.51448 	   0.51381 	    0.068374 	     0.068211 	     0.136585 
700 	 9 	       54.248 	       54.176 	   0.54276 	   0.54203 	    0.064215 	     0.064083 	     0.128298 
800 	 9 	       53.633 	       53.525 	   0.55788 	   0.55698 	    0.061284 	     0.061179 	     0.122463 
900 	 9 	       53.621 	       53.435 	   0.56954 	   0.56860 	    0.060064 	     0.059966 	     0.120030 
1000 	 9 	       45.685 	       45.473 	   0.68733 	   0.68635 	    0.037488 	     0.037443 	     0.074931 
1100 	 9 	       43.024 	       42.696 	   0.71269 	   0.71255 	    0.034727 	     0.034633 	     0.069360 
1200 	 9 	       42.529 	       42.169 	   0.71695 	   0.71696 	    0.034188 	     0.034082 	     0.068270 
1300 	 9 	       42.030 	       41.658 	   0.72125 	   0.72132 	    0.033239 	     0.033129 	     0.066368 
1400 	 9 	       41.615 	       41.241 	   0.72594 	   0.72606 	    0.032352 	     0.032238 	     0.064590 
1500 	 9 	       41.111 	       40.705 	   0.73172 	   0.73193 	    0.031525 	     0.031403 	     0.062929 
1600 	 9 	       40.524 	       40.073 	   0.73592 	   0.73629 	    0.030999 	     0.030867 	     0.061866 
1700 	 9 	       39.900 	       39.448 	   0.74159 	   0.74208 	    0.030407 	     0.030266 	     0.060673 
1800 	 9 	       38.609 	       38.173 	   0.75309 	   0.75366 	    0.028449 	     0.028302 	     0.056751 
1900 	 9 	       37.222 	       36.763 	   0.76181 	   0.76243 	    0.026648 	     0.026494 	     0.053141 
2000 	 9 	       33.294 	       32.756 	   0.79679 	   0.79723 	    0.020339 	     0.020210 	     0.040548 
2100 	 9 	       33.157 	       32.522 	   0.79515 	   0.79563 	    0.020725 	     0.020588 	     0.041313 
2200 	 9 	       32.685 	       32.031 	   0.79860 	   0.79903 	    0.020475 	     0.020344 	     0.040819 
2300 	 9 	       32.565 	       31.910 	   0.79830 	   0.79875 	    0.020671 	     0.020541 	     0.041211 
2400 	 9 	       32.661 	       31.976 	   0.79652 	   0.79700 	    0.021240 	     0.021111 	     0.042351 
2500 	 9 	       32.694 	       32.004 	   0.79605 	   0.79652 	    0.021550 	     0.021425 	     0.042975 
2600 	 9 	       32.679 	       32.013 	   0.79712 	   0.79752 	    0.021655 	     0.021536 	     0.043191 
2700 	 9 	       32.731 	       32.101 	   0.79909 	   0.79941 	    0.021641 	     0.021529 	     0.043170 
2800 	 9 	       33.044 	       32.448 	   0.80161 	   0.80193 	    0.021866 	     0.021756 	     0.043622 
