 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 11 	      123.364 	      119.678 	   0.32296 	   0.02418 	    0.068685 	     0.166707 	     0.235392 
200 	 11 	      120.324 	      120.214 	   0.32777 	   0.02474 	    0.066965 	     0.167901 	     0.234866 
300 	 11 	      121.481 	      119.571 	   0.32557 	   0.02373 	    0.068542 	     0.167143 	     0.235684 
400 	 11 	      120.853 	      118.383 	   0.32706 	   0.02349 	    0.068070 	     0.165490 	     0.233559 
500 	 11 	      118.505 	      116.939 	   0.33436 	   0.02369 	    0.065467 	     0.163415 	     0.228882 
600 	 11 	      118.009 	      117.613 	   0.33626 	   0.02298 	    0.065057 	     0.164993 	     0.230050 
700 	 11 	      117.643 	      119.340 	   0.33703 	   0.02286 	    0.065034 	     0.167990 	     0.233024 
800 	 11 	      117.247 	      120.149 	   0.33740 	   0.02299 	    0.065155 	     0.169237 	     0.234391 
900 	 11 	      117.249 	      119.994 	   0.33765 	   0.02275 	    0.065211 	     0.168821 	     0.234033 
1000 	 11 	      110.667 	      117.535 	   0.35550 	   0.02628 	    0.057638 	     0.166243 	     0.223881 
1100 	 11 	      111.468 	      116.579 	   0.36491 	   0.02686 	    0.055994 	     0.165434 	     0.221428 
1200 	 11 	      111.567 	      116.510 	   0.36507 	   0.02716 	    0.055837 	     0.165279 	     0.221116 
1300 	 11 	      114.559 	      118.762 	   0.36159 	   0.02608 	    0.059393 	     0.168690 	     0.228083 
1400 	 11 	      115.121 	      119.322 	   0.36156 	   0.02593 	    0.059783 	     0.169374 	     0.229156 
1500 	 11 	      115.350 	      119.914 	   0.36161 	   0.02606 	    0.060240 	     0.170233 	     0.230473 
1600 	 11 	      117.826 	      120.730 	   0.35330 	   0.02372 	    0.063413 	     0.171066 	     0.234479 
1700 	 11 	      117.169 	      120.322 	   0.35723 	   0.02450 	    0.062172 	     0.170501 	     0.232673 
1800 	 11 	      116.745 	      120.195 	   0.35884 	   0.02487 	    0.061612 	     0.170295 	     0.231907 
1900 	 11 	      116.611 	      120.256 	   0.35975 	   0.02503 	    0.061516 	     0.170429 	     0.231945 
2000 	 11 	      112.876 	      118.429 	   0.36777 	   0.02669 	    0.057560 	     0.168022 	     0.225581 
2100 	 11 	      117.879 	      119.988 	   0.36573 	   0.02584 	    0.059899 	     0.170043 	     0.229942 
2200 	 11 	      117.985 	      120.105 	   0.36463 	   0.02605 	    0.060068 	     0.170071 	     0.230138 
