 Normalized SSE per output and pattern 
Itr 	 HN 	 MARE-tr 	 MARE-ts 	 R2tr 	 R2ts 	 SSENtr 	 SSENts	 SSENcomb
100 	 7 	      122.634 	      114.332 	   0.32429 	   0.02543 	    0.067324 	     0.156227 	     0.223550 
200 	 7 	      118.691 	      116.753 	   0.32810 	   0.02591 	    0.066906 	     0.160930 	     0.227836 
300 	 7 	      118.091 	      116.676 	   0.33067 	   0.02625 	    0.066007 	     0.160635 	     0.226642 
400 	 7 	      117.498 	      117.039 	   0.33343 	   0.02629 	    0.065106 	     0.161469 	     0.226575 
500 	 7 	      118.522 	      116.290 	   0.33170 	   0.02603 	    0.065754 	     0.159349 	     0.225104 
600 	 7 	      118.615 	      115.587 	   0.33262 	   0.02535 	    0.065602 	     0.157809 	     0.223411 
700 	 7 	      118.153 	      116.736 	   0.33498 	   0.02452 	    0.064859 	     0.161003 	     0.225862 
800 	 7 	      117.848 	      118.287 	   0.33630 	   0.02388 	    0.064543 	     0.164817 	     0.229359 
900 	 7 	      117.600 	      119.570 	   0.33672 	   0.02361 	    0.064565 	     0.167522 	     0.232087 
1000 	 7 	      110.964 	      117.791 	   0.35244 	   0.02689 	    0.057278 	     0.165841 	     0.223119 
1100 	 7 	      115.591 	      118.543 	   0.34542 	   0.02632 	    0.060398 	     0.166990 	     0.227388 
1200 	 7 	      115.078 	      118.222 	   0.34621 	   0.02683 	    0.059552 	     0.166462 	     0.226014 
1300 	 7 	      115.388 	      117.890 	   0.34651 	   0.02672 	    0.059290 	     0.166124 	     0.225414 
1400 	 7 	      115.429 	      118.185 	   0.34507 	   0.02677 	    0.059911 	     0.166288 	     0.226198 
1500 	 7 	      114.383 	      118.192 	   0.34516 	   0.02683 	    0.060426 	     0.166329 	     0.226756 
1600 	 7 	      114.435 	      118.189 	   0.34536 	   0.02683 	    0.060546 	     0.166315 	     0.226862 
1700 	 7 	      114.467 	      118.111 	   0.34537 	   0.02680 	    0.060679 	     0.166082 	     0.226760 
1800 	 7 	      114.450 	      117.802 	   0.34539 	   0.02678 	    0.060789 	     0.165420 	     0.226209 
