NO  IND  ACTUAL  PRED
1  1  49  60.21515
2  2  2  0.51274
3  3  2  1.48662
4  4  94  52.92828
5  5  11  14.44415
6  6  15  22.74298
7  7  59  24.79273
8  8  1  2.44495
9  9  3  5.09417
10  10  12  10.31766
11  11  6  7.80845
12  12  13  9.06162
13  13  80  50.15384
14  14  8  12.40821
15  15  16  14.26439
16  16  22  28.08829
17  17  12  32.12357
18  18  34  23.53142
19  19  5  5.16119
20  20  38  37.10836
21  21  25  46.85108
22  22  1  3.26121
23  23  7  7.59003
24  24  63  55.25103
25  25  16  17.56158
26  26  5  5.83202
27  27  17  17.62346
28  28  37  32.33046
29  29  30  18.39927
30  30  1  0.69937
31  31  59  58.9532
32  32  14  14.70234
33  33  1  1.31594
34  34  79  62.36381
35  35  15  22.58325
36  36  13  14.57414
37  37  5  11.61015
38  38  56  55.77713
39  39  10  18.98141
40  40  7  12.11306
41  41  50  53.7315
42  42  40  54.1622
43  43  7  13.08007
44  44  2  0.4347
45  45  67  49.56952
46  46  28  15.30584
47  47  2  1.18791
48  48  10  16.61065
49  49  29  29.63582
50  50  22  17.95221
51  51  1  2.00114
52  52  30  37.54174
53  53  9  8.80525
54  54  4  3.28023
55  55  76  60.72407
56  56  15  14.95393
57  57  1  2.56041
58  58  24  27.22255
59  59  30  28.39848
60  60  20  18.48965
61  61  10  13.35685
62  62  2  2.31521
63  63  20  38.37356
64  64  27  19.49864
65  65  14  14.20859
66  66  15  12.11292
67  67  1  0.50548
68  68  22  14.1006
69  69  3  3.10279
70  70  18  29.63113
71  71  4  13.45695
72  72  29  27.41725
73  73  91  47.87991
74  74  66  53.67639
75  75  18  18.90642
76  76  32  39.75426
77  77  1  1.8077
78  78  69  61.78326
79  79  23  12.51255
80  80  5  5.96853
81  81  5  3.85168
82  82  9  7.17805
83  83  32  32.70176
84  84  9  9.19374
85  85  22  29.77947
86  86  11  14.99413
87  87  4  6.31012
88  88  32  22.96845
89  89  5  4.51852
90  90  24  27.981
91  91  9  3.19642
92  92  67  57.69427
93  93  36  32.77495
94  94  7  6.06555
95  95  78  64.77116
96  96  12  8.34088
97  97  71  64.34576
98  98  13  15.9573
99  99  2  2.91733
100  100  15  9.8296
101  101  12  12.58842
102  102  46  28.86515
103  103  1  1.45514
104  104  6  8.04107
105  105  4  5.62147
106  106  11  4.12749
107  107  4  3.21037
108  108  14  26.31553
109  109  8  8.66576
110  110  107  61.43312
111  111  15  24.0136
112  112  67  41.16652
113  113  16  11.20265
114  114  22  25.59939
115  115  16  27.4211
116  116  65  34.31215
117  117  14  16.24145
118  118  6  11.09459
119  119  46  41.5452
120  120  75  80.52844
121  121  41  44.73072
122  122  4  2.20469
123  123  12  8.8634
124  124  73  43.68056
125  125  18  12.82226
126  126  4  4.42216
127  127  15  15.23038
128  128  15  14.36804
129  129  37  28.86225
130  130  12  16.67935
131  131  5  3.99494
132  132  62  46.65647
133  133  13  17.65546
134  134  11  10.36512
135  135  7  10.00846
136  136  93  61.5283
137  137  17  20.24577
138  138  36  53.71773
139  139  14  14.3631
140  140  9  12.80227
141  141  19  62.60249
142  142  1  0.72843
143  143  21  17.23457
144  144  1  2.39478
145  145  98  67.7338
146  146  49  75.49201
147  147  3  4.65298
148  148  116  73.31014
149  149  13  5.84593
150  150  1  1.07863
151  151  14  16.49594
152  152  28  25.46564
153  153  14  15.7903
154  154  13  11.78997
155  155  18  31.88037
156  156  6  5.97169
157  157  19  11.96453
158  158  94  74.28319
159  159  18  24.92799
160  160  2  3.89168
161  161  19  24.66902
162  162  39  40.34414
163  163  4  3.48824
164  164  18  19.02662
165  165  6  5.15699
166  166  3  2.45516
167  167  31  39.44075
168  168  23  15.52656
169  169  12  18.33046
170  170  12  17.70629
171  171  7  10.52506
172  172  22  18.73865
173  173  7  8.5765
174  174  13  16.4594
175  175  11  18.53667
176  176  1  2.39217
177  177  77  48.39042
178  178  56  63.26065
179  179  19  23.6992
180  180  26  21.38731
181  181  4  3.64691
182  182  42  35.18788
183  183  21  8.95951
184  184  6  5.12155
185  185  6  10.58061
186  186  3  5.59806
187  187  36  40.7406
188  188  3  4.41705
189  189  16  20.0508
190  190  17  12.50747
191  191  14  5.74839
192  192  3  2.67679
193  193  72  58.3583
194  194  24  23.47644
195  195  2  2.46742
196  196  24  30.55016
197  197  53  61.93046
198  198  3  1.30287
199  199  4  1.80715
200  200  41  75.73215
201  201  15  21.88564
202  202  36  37.46685
203  203  6  5.36108
204  204  151  161.07917
205  205  5  11.774
206  206  2  0.88354
207  207  42  37.64244
208  208  180  136.66215
209  209  37  60.4855
210  210  6  4.7201
211  211  44  42.27652
212  212  54  54.79425
213  213  152  97.77414
214  214  8  19.01967
215  215  21  36.37216
216  216  22  34.27117
217  217  35  37.72466
218  218  10  16.41276
219  219  41  70.93883
220  220  45  29.19872
221  221  239  142.80794
222  222  37  62.93975
223  223  191  141.34424
224  224  46  35.55833
225  225  72  73.4083
226  226  48  65.94823
227  227  209  147.31384
228  228  76  76.26959
229  229  10  18.53041
230  230  139  75.77805
231  231  196  194.83559
232  232  172  146.77652
233  233  21  16.44256
234  234  1  2.03609
235  235  33  47.25619
236  236  185  126.78615
237  237  37  33.78627
238  238  12  19.36069
239  239  41  51.14787
240  240  42  41.89769
241  241  83  49.79186
242  242  29  38.68344
243  243  5  10.08242
244  244  161  156.38781
245  245  29  46.39256
246  246  22  64.49756
247  247  16  26.87721
248  248  226  164.52916
249  249  43  82.59778
250  250  83  95.95364
251  251  61  47.38234
252  252  27  73.6564
253  253  97  120.82
254  254  7  6.08071
255  255  76  75.90177
256  256  2  5.16637
257  257  190  154.1045
258  258  1  2.52849
259  259  143  170.48604
260  260  23  36.25178
261  261  212  152.17565
262  262  51  29.39206
263  263  3  2.34195
264  264  65  73.58244
265  265  85  64.34161
266  266  20  34.36211
